ep. 002 - 「ひまつぶし(N3)」

(00:00:00) みなさんこんにちはトモです このポッドキャストは日本語教師の友がいろいろなテーマについて話をします
(00:00:16) 教科書の真面目な日本語だけじゃ面白くない でもドラマや映画は難しすぎる
(00:00:23) そんな人の役に立てるポッドキャストを目指して頑張ります 今日は第2回
(00:00:32) 今日のテーマは 暇つぶしについてです
(00:00:37) 暇つぶしという言葉わかりますか 暇で何もすることがない面白くないそんな時にすることです
(00:00:47) 今はスマホがあるから暇つぶしが簡単になったけど でもずっとスマホだけ使っているのも面白くないし
(00:00:55) ちょっと目とか肩とかも疲れますね なので今日はスマホ以外の暇つぶし
(00:01:03) 暇な時にすることはどんなことがあるのか 考えてみましょう
(00:01:10) まず俺の場合は動くこと 前も自己紹介でちょっと話したけど運動とかスポーツが好きなので
(00:01:20) 時間があったらできるだけ動きます 動くのが体にもいいし
(00:01:28) やっぱりストレス解消 嫌なことがあっても思いっきり動いて汗をかいたりするとスッキリします
(00:01:38) 気持ちがいいですね
(00:01:40) ただちょっと問題があって
(00:01:45) 俺の趣味 つまり
(00:01:48) 俺の好きなものってインドアのものとアウトドアのものとどっちもあるんです インドアつまりドアの中
(00:01:59) 部屋の中でできることとあとはアウトドア 外に行って何かをすること
(00:02:07) 運動は好きだけど でも実は
(00:02:12) 外に出るのはあんまり好きじゃないんです
(00:02:18) めんどくさいなって思っちゃって 外に出るために
(00:02:24) 服を着替えて 準備して
(00:02:29) でもボクシングとかするなら着替えも必要だしタオルとか水とか あとはボクシングで使うグローブとか
(00:02:40) いろんなものを持っていかなきゃいけないし あとは練習する場所も
(00:02:46) 車で大体15分ぐらいのところにボクシングのジムがあるから いつもそこに行って練習しています
(00:02:54) でもそのジムも空いてる時間が決まってるし だからいつ行ってもできるというわけじゃないから
(00:03:04) ボクシングはすごく好きだけどでもちょっと 行くのはめんどくさいなっていう気持ちも少しあります
(00:03:14) で 外に出るのが
(00:03:18) めんどくさい でも体を動かすのが好き
(00:03:22) ということで あの
(00:03:25) よく俺の場合は インドアで運動 部屋の中で運動をしています
(00:03:32) 部屋の中の運動って言っても あまり激しい運動
(00:03:38) すごいもういっぱい動く走ったり飛んだりするスポーツはできないので ちょっとした運動ですね
(00:03:46) 例えばストレッチとか腹筋とか 腹筋ってわかりますか
(00:03:53) お腹の筋肉です 上を向いて寝て
(00:03:57) そして足は動かさないで体だけを起こす そしてもう1回寝る
(00:04:04) これを何回もする 体を起こす寝る起こす寝る
(00:04:10) と動くとお腹がお腹の筋肉が疲れますよね
(00:04:15) これをこの運動を腹筋って言います でまぁ家では腹筋したりとか
(00:04:23) あとは ちょっとこうシャドーボクシング
(00:04:28) 一人でボクシングの動きをしたりとかしますね まあこれこれ部屋の中で急に始めると
(00:04:36) あの別にうるさくはないんですけどこの人何してんだろうみたいなちょっと白い目で 見られることもありますが
(00:04:46) あと他の暇つぶしといえば 漫画
(00:04:51) 本も好きなんですけど漫画も大好きで 本当にこう
(00:04:58) 暇で時間がたくさんある例えば 夏の間の長い連休とか
(00:05:06) そういう時は 漫画を借りることができる店が
