ep. 003 - 夢(N2)

(00:00:00) みなさんこんにちはトモです
(00:00:09) これは日本語を勉強している人のためのポッドキャストです
(00:00:14) 教科書の日本語は面白くない
(00:00:16) でも映画やドラマは難しすぎる
(00:00:19) そんな人のために
(00:00:20) 日本語教師のトモがちょうどいい日本語で話します
(00:00:25) 今日のテーマは夢です
(00:00:27) 今日はN2とかN1中級の上の方とか
(00:00:34) 上級の人のためのちょっと難しい日本語です
(00:00:39) 難しい言葉も多くなると思うので
(00:00:42) 頑張って聞いてください
(00:00:44) じゃあテーマの夢についてだけど
(00:00:47) みなさんは夢見ますか
(00:00:49) 見ますかっていうか
(00:00:51) あの私はあんまり見ませんっていう人も時々いるけど
(00:00:56) 実は夢って誰でも見るみたいですね
(00:01:01) みんな見るんだけど忘れちゃう
(00:01:05) だから私は見てないっていう人も
(00:01:06) 実は見てるけど忘れてるだけの場合が多いみたいですね
(00:01:12) で実は俺もあんまりこうたくさん
(00:01:17) はっきり覚えてるタイプではなくて
(00:01:19) 忘れてる時が多いんですけど
(00:01:22) でもいい夢とか
(00:01:24) 逆に悪い夢っていうのはあんまり忘れないですよね
(00:01:29) 今週の月曜日なんかはすごい嫌な夢見たんです
(00:01:34) どんな夢かっていうと夢の中では木曜日だったんですよ
(00:01:39) 木曜日の夜で夢の中でも寝たんですよ
(00:01:45) お布団に入ってで布団に入る時には
(00:01:49) 明日は金曜日だ
(00:01:52) 明日仕事一日頑張れば
(00:01:55) あさっては土曜日土曜日と日曜日で仕事が休みだ
(00:01:59) よし頑張ろうって思って布団に入って
(00:02:04) で朝起きたら朝っていうのは
(00:02:07) 本当の現実の朝ね
(00:02:10) 朝起きたら月曜日の朝ですよ
(00:02:15) 夢の中では金曜日だったのに
(00:02:17) 気づいたら月曜日になってたんですよ
(00:02:20) もう1週間の始めから最悪の気分ですね
(00:02:26) ついさっきまでは仕事終わったら休みって思ってたのに
(00:02:30) 起きた瞬間これから5連勤っていう
(00:02:35) まぁそんな朝からちょっとがっかりする夢でしたね
(00:02:40) まぁこんな風に嫌な夢があったら
(00:02:43) 結構覚えてるもんなんですけど
(00:02:45) 嫌な夢って他にも怖い夢とかもありますよね
(00:02:51) 嫌な夢っていうのでちょっと思い出したんですけど
(00:02:54) 昔は結構怖い夢で
(00:02:58) ゾンビに追いかけられる夢なんかも時々見てたんです
(00:03:04) でまぁそうすると怖いじゃないですか
(00:03:06) ゾンビだしそれでよく覚えてたんですよ
(00:03:11) ただ昔よく見てたゾンビの夢って
(00:03:14) 実は怖いから覚えてただけじゃなくて
(00:03:17) 忘れなかったのには他にも理由があるんです
(00:03:21) それが何かっていうと
(00:03:23) ゾンビに追いかけられる夢って
(00:03:25) めっちゃくちゃ怖いじゃないですか
(00:03:28) もう普通ありえないからすっごい怖いんですけど
(00:03:31) ただ怖すぎて現実味があまりにもなくて
(00:03:38) 夢の中で途中であこれ夢だって気づくんですよ
(00:03:44) そんであの夢だって気づいたら
(00:03:47) もうじゃあこれは夢なんだから
(00:03:48) なんでも俺の思い通りにできるじゃんって思って
(00:03:53) じゃあ怖いのは消してしまおう
(00:03:55) ゾンビは消して
(00:03:57) あと楽しいことしようって言って
(00:04:00) 例えば空飛んだりとかね
(00:04:02) ゾンビに追いかけられてた怖い場所からちょっとワープして
(00:04:06) どっか楽しいところに行ったりとか
(00:04:10) そういうことをするんですよ
(00:04:12) こんな風に夢を自分でコントロールできる夢の中で
(00:04:17) これは夢だって気づくようなのを
(00:04:19) 名責務っていうらしいんですけどね
(00:04:22) でまぁそのゾンビに追いかけられたら
(00:04:25) 結構高い確率で夢だって気づくから名責務になって
(00:04:31) それであの夢を自分でコントロールして
(00:04:33) 楽しいことしてっていうことをしてたから
(00:04:37) だから怖い夢って結構覚えてるんです
(00:04:41) ただ最近はあんまり名責務見ないんですけどね
(00:04:46) やっぱり今でも何でかわかんないけど
