ep. 006 - お酒(N3)

(00:00:00) みなさんこんにちはトモです。 これは日本語を勉強している人のためのポッドキャストです。
(00:00:13) 教科書の日本語は面白くない。でも映画やドラマは難しすぎる。 そんな人のために日本語教師のトモがちょうどいい日本語で話をします。
(00:00:24) 今日はお酒の話です 皆さんはお酒が好きですか
(00:00:30) 俺は大好きです お酒いいですよね
(00:00:37) 美味しいし楽しくなるし 本当
(00:00:42) 昔の人は素晴らしいものを残してくれたなと思います お酒にはいろいろありますが皆さんはどんなお酒を飲みますか
(00:00:54) 俺は 一番好きなのは
(00:00:58) やっぱりビールかな ビール美味しいですよね
(00:01:03) あとはウイスキーも好きです ウイスキーとかあとは時々日本酒も日本人ですから
(00:01:11) 他には あと焼酎も好きです焼酎ってわかりますか日本のお酒です
(00:01:20) 日本酒じゃありませんよ日本のお酒だけど 作り方はウイスキーとかと同じかな
(00:01:27) いろいろなもので作りますウイスキーは麦から作るけど焼酎は麦で作る焼酎もあるし 米の焼酎もあるし
(00:01:37) あと他にも芋とか蕎麦とか いろいろですね
(00:01:43) 焼酎も好きだし時々ワインも飲むし 全部ですねお酒は全部好きです
(00:01:51) で いろいろなお酒がありますが
(00:01:55) やっぱりこれはビールが一番好きだから居酒屋に飲みに行ったら 最初は生ですね
(00:02:04) 生っていうのは生ビール 生ビールの生っていうのは
(00:02:10) なんか俺もよくビールの作り方はわからないんだけど
(00:02:16) 熱を加えてない ビール
(00:02:20) かな 確か
(00:02:22) お店で売っているビールは缶に入れたりするときに 悪くならないようにちょっと
(00:02:31) 熱を加える まあつまりとても熱くするんですね そういうことをしてからあの缶に入れて缶とか瓶とかに入れてそしてお店で
(00:02:42) 売るらしいんですけど生ビールっていうのはそういうことをしないビールです だからビールとかビールだけじゃないですけど食べ物とか飲み物って
(00:02:53) その加熱すると熱を加えると 悪くなりにくいみたいですね
(00:03:01) 食べ物とか飲み物とかの中にいる悪いものが熱で死んでしまうから だから加熱すると悪くなりにくくてお店で売るのにちょうどいいんですね
(00:03:15) でもやっぱり 加熱すると確かに悪くなりにくいんだけど
(00:03:21) 味がね味が少し変わってしまいます だから生ビールっていうのは
(00:03:29) お店で売ってる缶ビールとかと比べるとちょっと違うんですよ なんか美味しいんですね
(00:03:37) なのでもう外に飲みに行ったらとりあえず生ですね 皆さんもこの日本語ぜひ覚えてくださいとりあえず生
(00:03:48) とりあえずっていうのは最初ですね 他にどんなものを食べるかまだ決めてないけどでも最初は生
(00:03:55) 生ビールっていう時にとりあえず生って言うんです 居酒屋に行ってお店の人に何飲みますかとかお飲み物はって言われたら
(00:04:05) ビールが好きな人はとりあえず生って言ってください それでビールが出てきます
(00:04:12) 教科書では絶対教えてくれない日本語ですね
(00:04:17) さて俺はビールの他にもね色々なお酒が好きでよく飲みますが皆さんはどの くらいのペースでお酒を飲みますか
(00:04:26) ペースっていうのはまあつまり1週間に何回ぐらいお酒飲みますか 俺は多いと1週間に5日ぐらいですかね
(00:04:38) 仕事が終わってからね仕事で疲れて家に帰ってそんでビールを飲みながらゆっくり 趣味をやったり趣味って言ってもお酒を飲みながら運動はしないけどね
(00:04:50) お酒を飲みながら音楽を聞きながら本を読んだりとかね ただやっぱりお酒って美味しいし
(00:05:00) 飲むと楽しくなるしすごくいいものなんだけど 体には
(00:05:07) あんまり良くないんですよね
(00:05:11) まあみんな知ってると思うけどね 飲みすぎは体に悪いです
(00:05:17) あの俺も知ってます知ってるけど飲むんです お酒を飲む人みんな知ってますね
(00:05:25) いやお酒すごいですねみんな体に悪いって知ってるのにみんな飲むんだよ そんなものなかなかないよね
(00:05:33) でまぁあの お酒は好きだけど体に悪いからやっぱりお酒を飲まない日は作ります
(00:05:43) 皆さんは肝臓ってわかりますか お酒を飲んだ時に体の中に入ってきたアルコールを分解するところ
(00:05:54) 分解っていうのはまあつまりアルコールをなくすんですよ 肝臓っていうのはその体の中にあるもので体の中にアルコールが入ってきた時に
(00:06:05) そのアルコールをなくしてくれるところ
