ep. 016 - 夏休み(N4)

みなさんこんにちはTOMOです
これは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くない
でもドラマや映画は難しすぎる そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします
テーマはリクエストすることもできます ツイッターやメールでどんどんリクエストをください
今日はまずは皆さんに連絡です このポッドキャストのためのツイッターとインスタグラムのアカウントを作りました
ツイッターにはそれぞれのエピソードの言葉のリストを載せます まだエピソード1と2の言葉のリストしかありませんが暇な時に少しずつ載せていくので
ぜひフォローしてください
インスタグラムは 実はアカウントを作ったけどまだ何を載せるか決めていません
ですからこのポッドキャストのアイコンの画像だけ 今ありますけど
まだ他には何もありません 何か日本語を勉強するのに役に立つものを載せようと思っています
ですのでこちらの方もぜひフォローしてください それからもう一つ
これは連絡じゃなくて皆さんにお礼です ポッドキャストを聞いてもらう回数が最近どんどん多くなっています
いろんな人に聞いてもらえると嬉しいのでこれからもぜひたくさん聞いてください 日本語を勉強している友達がいたらぜひ教えてあげてください
ツイッターインスターフェイスブックなどいろいろなものを使ってぜひ いろんな人に教えてあげてください
さてそれじゃあ今日のエピソード 今日は夏休みについてです
もうすぐ8月が終わります 早いですね
皆さんはこの1ヶ月何か楽しいことがありましたか 日本の学校は7月と8月に夏休みがあります
学校によって休みの長さは違うけど だいたい1ヶ月から2ヶ月ぐらいです
いいですね2ヶ月も休むことができたら 今俺が働いている日本語学校の夏休みはだいたい1ヶ月ぐらいですけど
日本の大学とかは 2ヶ月ぐらい休みのところが多いです
夏休みに2ヶ月あとは春休みとか冬休みもあるから 日本の大学生は
だいたい1年の半分ぐらい休みです 羨ましいですね
夏休みがあるのは学生だけじゃありません 働いている大人も夏休みがもらえる人も多いです
でも大人の夏休みは 学生ほど長くないです
例えば俺の学校は 先生たちの夏休みは1週間です
だいたい8月の真ん中ぐらいに1週間の休みがあります うちの学校はみんなで一緒に1週間連続で休みますが
他の会社では連続じゃなくてバラバラに休みを取るところも結構多いですね 忙しい会社だとなかなか休みがもらえない人もいるみたいですが
でも 7月とか8月あたりに休むことができる人が多いと思います
ですから7月と8月は 日本の観光地にたくさんの人がいます
休みの時に旅行に行くのが好きな人もたくさんいると思いますが 俺はその人がたくさんいるところ
人がたくさんいるところを人ごみと言いますが その人ごみが嫌いなので
休みでもあまり旅行には行きません まあ何回か話したけど結構インドアなので
インドア、まあつまりうちの中で何かをするのが好きなんです なのでね
結構夏休みが終わるといろいろな人にどこかに行きましたかと聞かれるんだけど 俺の答えはいつもどこにも行かないで部屋で漫画を読んでいましたとか
友達とお酒を飲みに行って終わりですとか あまり面白くない話が多くなっちゃいますね
さあそれじゃあこの夏休みですけど 今日は日本人の夏休みの過ごし方を紹介したいと思います
