ep. 016 - 夏休み(N4)

(00:00:00) みなさんこんにちはTOMOです
(00:00:08) これは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くない
(00:00:16) でもドラマや映画は難しすぎる そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします
(00:00:24) テーマはリクエストすることもできます ツイッターやメールでどんどんリクエストをください
(00:00:31) 今日はまずは皆さんに連絡です このポッドキャストのためのツイッターとインスタグラムのアカウントを作りました
(00:00:41) ツイッターにはそれぞれのエピソードの言葉のリストを載せます まだエピソード1と2の言葉のリストしかありませんが暇な時に少しずつ載せていくので
(00:00:54) ぜひフォローしてください
(00:00:57) インスタグラムは 実はアカウントを作ったけどまだ何を載せるか決めていません
(00:01:06) ですからこのポッドキャストのアイコンの画像だけ 今ありますけど
(00:01:12) まだ他には何もありません 何か日本語を勉強するのに役に立つものを載せようと思っています
(00:01:20) ですのでこちらの方もぜひフォローしてください それからもう一つ
(00:01:27) これは連絡じゃなくて皆さんにお礼です ポッドキャストを聞いてもらう回数が最近どんどん多くなっています
(00:01:37) いろんな人に聞いてもらえると嬉しいのでこれからもぜひたくさん聞いてください 日本語を勉強している友達がいたらぜひ教えてあげてください
(00:01:47) ツイッターインスターフェイスブックなどいろいろなものを使ってぜひ いろんな人に教えてあげてください
(00:01:57) さてそれじゃあ今日のエピソード 今日は夏休みについてです
(00:02:03) もうすぐ8月が終わります 早いですね
(00:02:08) 皆さんはこの1ヶ月何か楽しいことがありましたか 日本の学校は7月と8月に夏休みがあります
(00:02:18) 学校によって休みの長さは違うけど だいたい1ヶ月から2ヶ月ぐらいです
(00:02:27) いいですね2ヶ月も休むことができたら 今俺が働いている日本語学校の夏休みはだいたい1ヶ月ぐらいですけど
(00:02:38) 日本の大学とかは 2ヶ月ぐらい休みのところが多いです
(00:02:44) 夏休みに2ヶ月あとは春休みとか冬休みもあるから 日本の大学生は
(00:02:54) だいたい1年の半分ぐらい休みです 羨ましいですね
(00:03:02) 夏休みがあるのは学生だけじゃありません 働いている大人も夏休みがもらえる人も多いです
(00:03:11) でも大人の夏休みは 学生ほど長くないです
(00:03:18) 例えば俺の学校は 先生たちの夏休みは1週間です
(00:03:26) だいたい8月の真ん中ぐらいに1週間の休みがあります うちの学校はみんなで一緒に1週間連続で休みますが
(00:03:38) 他の会社では連続じゃなくてバラバラに休みを取るところも結構多いですね 忙しい会社だとなかなか休みがもらえない人もいるみたいですが
(00:03:52) でも 7月とか8月あたりに休むことができる人が多いと思います
(00:04:02) ですから7月と8月は 日本の観光地にたくさんの人がいます
(00:04:11) 休みの時に旅行に行くのが好きな人もたくさんいると思いますが 俺はその人がたくさんいるところ
(00:04:21) 人がたくさんいるところを人ごみと言いますが その人ごみが嫌いなので
(00:04:29) 休みでもあまり旅行には行きません まあ何回か話したけど結構インドアなので
(00:04:38) インドア、まあつまりうちの中で何かをするのが好きなんです なのでね
(00:04:46) 結構夏休みが終わるといろいろな人にどこかに行きましたかと聞かれるんだけど 俺の答えはいつもどこにも行かないで部屋で漫画を読んでいましたとか
(00:05:01) 友達とお酒を飲みに行って終わりですとか あまり面白くない話が多くなっちゃいますね
(00:05:10) さあそれじゃあこの夏休みですけど 今日は日本人の夏休みの過ごし方を紹介したいと思います
(00:05:19) 俺の夏休みの過ごし方はね、あの今話した通りあまり面白くないので 俺の周りの人とかあとはテレビのニュースとかでよく見る話を紹介したいと思います
(00:05:34) 夏休みというのは長い休みですね まあ働いている人はあまり長くないかもしれないけど
(00:05:43) 学生は1ヶ月ぐらい休みがありますからいろいろなことができます 長い休みと言ったらやっぱりみんな旅行が好きですね
(00:05:55) 旅行と言っても 遠いところに行く旅行もあるし近いところに行く旅行もありますね
(00:06:04) 近いところ 自分の国の中の旅行を国内旅行と言います
(00:06:12) 自分の国の中、国内なら電車とかバスとか あとは車やバイクを持っている人は自分の車で
(00:06:22) 外国に行くよりも時間もお金もかけずに遊びに行くことができますね 遊びに行くところは
(00:06:31) 有名な観光地とか遊園地などだけじゃなくて 夏は暑いので海や山に行く人もとても多いです
(00:06:43) 旅行じゃないけど大きいプールに遊びに行ったりする人も多いですね 特に小さい子供がいる家族はプールに遊びに行く人も多いんじゃないかと思います
(00:06:57) 例えばプールだと 日本の福島県というところには
(00:07:05) ハワイがあります 皆さんハワイわかりますか
(00:07:10) アメリカの島の名前ですね 日本の福島県にはハワイがあるんです
(00:07:19) もちろん本物の本当のハワイじゃありませんけどね
(00:07:25) 福島県にはハワイアンズという大きいプールがあります 福島県の山の中にあるんですけどそのプールの中には
(00:07:38) いろいろなハワイのものがあります ハワイにある木もあるしそのプールでハワイのダンスを見ることもできます
(00:07:49) 俺も子供の頃に行ったことがあるけどなかなか楽しいところです ハワイに行くお金と時間がない人にはいいかもしれませんね
(00:08:01) そして他に日本人が夏休みによくすること 他には学生だとアルバイトをたくさんする人もいます
(00:08:12) 学校が休みだからいつもよりもたくさんアルバイトができます それに夏休みの間は
(00:08:21) 普通よりも仕事が多いですいろいろなアルバイトがあります 夏休みで遊びに行く人が多いからだから夏だけのアルバイトが結構たくさんあるんです
(00:08:36) 例えば海の家とかですね 海の家というのは
(00:08:43) 海の近くにある 食べ物とか飲み物とかあとは海で遊ぶものを売ったりする店です
(00:08:53) 夏になると海へ遊びに行く人が多くなるから 海で遊んでいる人が疲れたときにちょっと休んだりご飯を食べたりできる場所
(00:09:03) それが夏の間だけ海の近くにあります その海の家は夏の間しか空いていませんから
(00:09:12) 夏だけの夏休みだけのアルバイトで学生が働いたりすることが多いです それから学生のみんながすることといえば
(00:09:25) 遊ぶだけじゃなくて宿題ですね 日本の学生は夏休みになる前にたくさん宿題をもらいます
(00:09:36) 真面目な人は毎日少しずつ宿題をするから ちゃんと夏休みが終わる前に全部できるんですけど
(00:09:46) 真面目じゃない人は あまり宿題をしないので 夏休みの最後の3日ぐらい
(00:09:55) たくさんたまった宿題を 一生懸命やらなければなりません
(00:10:02) 俺はあまり真面目な学生じゃなかったので 夏休みの最後の2,3日ぐらいは毎年大変でした
(00:10:12) 毎年ねその夏休みの最後に宿題をしているときは 来年は毎日ちょっとずつやろうと思うんですけど
(00:10:24) でも 夏休みになると遊びたくなるんですよね
(00:10:30) 後で大変だっていうのはわかっているんですけどね どうしてでしょう
(00:10:35) 皆さんも同じですか
(00:10:38) さあ他に夏休みにすること 学生だけじゃなくて
(00:10:43) 大人も夏休みがあります 大人が夏休みにすることといえば
(00:10:50) 里帰りです 里帰りっていうのは自分が生まれて育ったところに帰るということです
(00:11:01) 大人になって大学に行ったりとか会社に入ったりすると 自分が生まれたうちを出て遠いところに引っ越しする人も多いです
(00:11:13) でも夏休みを使って 特にお盆の時期は
(00:11:20) 自分が生まれたうちに帰る人が多いです お盆っていうのは
(00:11:26) だいたい8月の真ん中ぐらい 8月13日ぐらいですね
(00:11:34) それがお盆の時期です どうしてお盆になるとみんな家へ帰るのかというと
(00:11:42) このお盆の時期には なんと
(00:11:47) 死んでしまった家族とか昔の人が家へ帰ってきます
(00:11:54) びっくりですね ちょっと怖いですね
(00:11:58) ですからその昔の人とか死んでしまった家族とかが家に帰ってくるので 自分も家に帰ってそして家族みんなで一緒に過ごしたり
(00:12:10) お祈りをしたりとかします ですから8月の12日とか13日ぐらいの
(00:12:20) 電車新幹線バス 全部とっても混んでいます
(00:12:27) そしてお盆が終わる15日とか16日ぐらいも やっぱりとても混んでいます
(00:12:36) 夏に日本に旅行に行きたい人はお盆の時期気をつけてくださいね 電車や新幹線に乗れないかもしれませんからね
(00:12:48) さあそれじゃあ簡単ですけどねこれが日本の夏休みの過ごし方
(00:12:55) もちろん夏休みは長いですから他にもいろいろなすることがたくさんあります 皆さんも日本の友達がいたら夏休みにどんなことをするか聞いてみてください
(00:13:09) それじゃあ今日はこの辺で終わりましょう 何か質問や意見感想などがあったらメールツイッターでお願いします
(00:13:19) 皆さんからのメッセージがこのポッドキャストをもっともっと良くしてくれます ぜひお願いします
(00:13:26) それじゃあさようなら
