ep. 019 - 就活(N2～N1)

みなさんこんにちはトモです これは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
今日は日本の就活について話したいと思います
就活 就職活動を短くした言葉ですね
まあ就活について話すと言っても俺はあんまり 普通の就活はしたことがないんですけどね
日本語の先生ってちょっと普通の仕事と違うので普通の就活とは違うんです まあそれでもね
外国の人よりは日本の就活について知っていると思うので簡単に日本の就活では どんなことをするのかっていう話をしたいと思います
このテーマはアンギさんという方からリクエストをいただきました インドネシアの方なんですけど
なんとこの人も日本語の先生だそうです 同業者ですね
同業者に聞かれるのはちょっと怖いというか緊張するんですけど まあせっかくリクエストをもらったのでね
いろいろ話したいと思います さあそれじゃあ就活についてなんですが
あの日本の一般的な就活 だいたい大学の3年生とか4年生がしているようなその就活について
いろいろ紹介したいと思います 日本で就活をするときに最初に何をするかっていうと会社を探すことじゃありません
就活だけどまだ会社は探しません 最初にするのは自己分析
自己分析です 自己分析っていうのは
ちょっと難しい言葉ですけどね 自己は自己紹介の自己、自分です
分析っていうのは何かについて詳しく調べたり勉強したりすること だから自己分析っていうのは自分についてよく知るために自分自身を研究することです
なんでこんなことをするかというと会社を探す前に 自分にはどんな仕事がいいのかとか
自分に向いている仕事はどんなものなのかっていうことを考えなければなりません まあ当たり前なんですけどね
あの人前で話すのが苦手な人が学校の先生とか絶対できないですからね まあこんなことを言いつつ実は俺も
昔は人前で話すの大嫌いだったんですけどね 今はもう日本語の先生結構長いので人前で話すの慣れましたけど
まあとにかく人によってあの得意なこととか苦手なことっていうのが違うので 自分に向いているもの自分がよくできるもの
あとまあ他にも自分が本当に面白いと思えるもの それがどんなものなのかっていうのを確認するために自己分析をします
そして自己分析が終わったら まだ会社探しません
次にするのは職種について調べることです 職種っていうのは簡単に言ったらどんな仕事をするかです
例えばジムの仕事だったら事務所の中でこう 机に向かって書類を作ったりとか電話を取ったりとか
まああまり外に出ない仕事ですね 逆に営業だったら外に出ていろんな会社の人とかお客さんですね
その人と話をしてそしていろいろな契約を取ったりとかします こういうふうに
どんな職種があってどんな職種が自分には向いているのかっていうのをよく考えます そして職種についてよくわかったら
その次にすること まだ会社は探しません
次にしなければならないのは業界について知ることです 業界とか業種って言ったりもしますけど
業界とか業種っていうのは どんなものを扱うかということです
例えば 同じ物を売るという仕事でも食べ物を扱う業界もあるし
あとは食べ物じゃなくて電気製品を売る業界もありますよね 物を売るんじゃなくてサービスを売る業種っていうのもありますけど
例えばマッサージとか あとはカラオケとかそういうアミューズメント系
なんか遊ぶところっていうのもありますね 自分に向いている業界っていうのはどんなものなのかっていうのを探します
同じ営業の仕事でもやっぱり 物を売る営業とあとはサービスの営業と全然違いますからね
ここまで終わったら 自己分析をしてどんな業種があってどんな職種があって
そして自分にどんな仕事がいいのかっていうのがわかったら ここで初めて入りたい会社っていうのは探します
この入りたい会社を探すやり方っていうのはいろいろあるんですけど 一般的なのはやっぱり
あの企業の合同説明会とかですね 大学生なんかは
みんなこういうのに参加すると思います あの広い場所にいろんな企業が集まってそして
そのそれぞれの企業の説明を聞くんです もちろん探し方はこれだけじゃありません
インターネットでも就活のためのサイトっていうのがたくさんあります 社員を募集している企業がそのいろんな就活サイトに登録をしておいて
そして就活している人が登録されている企業のリストを見て そして自分が気に入ったところがあったらそこに申し込むっていうやり方ですね
あと他にもハローワークなんかもあります ハローワークっていうのはいろんな仕事を紹介するところです
仕事を探している人がそこに行って自分がやりたい仕事とか入りたい会社の職種とか 業界とかの希望を伝えると係の人がちょうどいい会社を紹介してくれるんです
こうやっていろいろな自分の入りたい会社を探していきます そして
自分が入りたい会社を探すこの段階まで来たら他にもすることがあります 何をするかっていうとテスト勉強です
日本の会社は入るときにテストをしなければならないところがあります 特に
大きい会社有名な会社とかはそうですね 一般教養とかあとは
パズルみたいな問題とか あとは数学とかも出ますね
大人として仕事ができるだけの最低限の知識とか あとは思考力とかそういうものがあるかどうかっていうのを確認するテストです
自分が入りたい魅力的な企業を探しながらこういうテスト勉強も同時にしていきます そして自分が入りたい会社が見つかったら
次にするのはエントリーシートの作成 エントリーシートを作ります
エントリーシートっていうのは まあ簡単に言ったら自己紹介みたいなものです
名前とか住所も書くし今まで学校でどんな勉強をしたかとか 今まで学校の他にどんなところでどんな活動をしてきたか
どんなことを頑張ったかどんなことに興味があるか あとは自分の聴書書いたりとか自己PRを書いたりとかしますね
企業はそれを見て 申し込んできた人はどんな人なのかっていうのを考えます
就活するときにエントリーシートと同じようなもので履歴書っていうのも出します 履歴書もまあエントリーシートと本当すごく似てるんですけど
名前とか住所とか連絡先 あとはこれまでどんな学校に行ったか
あとは仕事の経験がある人はどんな仕事をしてきたかなどを書きます エントリーシートはその会社に入るときの例えば面接とか試験とか
そういう時に参考にするためのもので履歴書っていうのは その会社に入ってから会社に保存しておくものですね
エントリーシートを書いて履歴書も準備して そしていろいろな会社に応募をしていきます
大体の会社は最初は書類審査 そのエントリーシートとか履歴書とかを見て
ちゃんと仕事ができるかどうか魅力的な人なのかっていうのを考えます そしてその書類審査に通ったら次はテストとか
あとは面接とかですね 企業によっては面接の他にグループディスカッションとか
他に申し込んできた人たちと一緒に何かの活動とか話し合いとか そういうのをさせる会社っていうのもあります
仕事っていうのは一人でするものじゃなくていろいろなたくさんの人と一緒にするので そういうグループディスカッションとかをさせて他の人とちゃんと協力できるかとか
コミュニケーション能力があるかとかそういうのをチェックするみたいですね なので書類審査に通ったらそのグループディスカッションとか
あとは面接とかそこでちゃんと上手に話ができるかという練習をみんなします 面接ではいろいろなことを聞かれます
例えば死亡動機とかあとは自己PRをしてくださいって言われたりとか なのでそういういろんな質問が来た時にちゃんと上手に答えられるように
いろいろな話題について答える練習をします 会社にもよるけど
最初のテストそしてその次の面接 面接が2,3回あるところなんかもあります
それはね企業によって違うんですけど あまり大きくない企業だったら最初から社長とか
一番偉い人と面接するんですが大きいところだと最初は偉い人が出てこないで 人事の担当の人が面接をしてそして良さそうな人だったらその次にもっと偉い人が
出てきて という順番で面接をします
そしてこのテストとかグループディスカッションとか 面接とか全部終わって
その全部をパスしたら内定がもらえます 内定っていうのは
まだ会社には入らないけどあなたはこの後ちゃんと入れますよっていう約束ですね いやー大変ですね長いですね日本の就活
人によってはなかなか入りたい会社に入れなくて 面接を20社30社50社というふうにたくさんする人なんかもいるみたいですね
大変ですね 俺はちょっと特殊な
まあ日本語学校だからね普通の会社とちょっと違うのでそんなにたくさんはしませんでした 結構すぐ決まっちゃったので俺の就活はすごい楽でした
さて以上が日本の就活の流れですが 外国の人が日本で就活すると
まあ就活だけじゃなくてアルバイトもそうなんですが 仕事を探すときにみんな苦労しているのが履歴書の書き方ですね
履歴書って結構日本人でもね 書くのが大変で特に初めてアルバイトする大学生とかは書き方がわからなくて困る
っていう人もいるみたいです じゃあ一般的に履歴書にどんなことを書くのかっていうと
あんまり難しくないんですけどね 名前と住所と連絡先
まあつまり電話番号とかメールアドレス それを書いて次に学歴を書きます
学歴っていうのは今までいつどんな学校に入っていつ卒業したかっていうことです 普通は小学校は書かないので中学校卒業から書きますね
中学校卒業して高校とか大学に行った人はいつどこの学校に入って卒業したかを書いて
そしてその次に書くのが職歴です 学校じゃなくて今までどんな会社に入ったかっていうことですね
これもいつ入ってそしていつその会社を辞めたかっていうのを書きます 学歴と職歴が終わったらその次は資格を書きます
自分が持っている資格 まあ例えば外国の人だったら jlpt とかねあと日本人でも英語とかの外国語ができる人は
外国語の資格を書いたりとか車の免許も資格の一つだし あと他にもね自分で何か勉強して特別な資格を取ったらそういうのを書きます
それから履歴書にも簡単に志望動機とかを書く場合もあります 志望動機とかあと自己PRとかね
志望動機はどうしてその会社に入りたいのか 自己PRっていうのは自分のいいところ
自分は何ができてこの会社に入ったら会社にとってどんないいことがあってっていうのを 説明します
この履歴書って昔は日本の 変なまあ変なっていうか悪いっていうか
昔の習慣があって 全部
ボールペンを使って手で書かなければならないっていうふうに言われてました めんどくさいですね
ボールペンを使って書くと間違えた時に消すことができないですよね 皆さんはボールペンで書いて間違えたらどうしますか
多分修正液とか修正テープで消してもう1回書きますよね 日本はそれがダメだっていう人がいるんですよ
一文字でも間違えたら修正テープを使わないで 全部最初から書き直した方がいいっていう人がいるんです
めんどくさいね なんでかっていうと
ちゃんと丁寧に心を込めて書いたら 間違えるはずがないと
そしてもし間違えてそれをそのまま出したり 修正テープで直したりしたらその人は
会社に入りたいっていう気持ちが弱いっていうふうに言う人がいます まあこの考え方はもうだいぶ古いんで
あの最近では手書きじゃなくて パソコンを使ってあのワードとかを使って
それで作った履歴書でも大丈夫っていうところも多くなってきましたね 個人的にはそんな手書きじゃなきゃダメだなんていう古い考え方の会社はあんまり
良くないところじゃないかなと思いますけど まあそんなのが日本の履歴書の事情です
はいそれじゃあこんなのが日本の就活についてですね 日本で仕事を探したい人少しは参考になったでしょうか
仕事を探すって大変ですね 俺はさっきもちょっと言ったけどちょっと日本語学校っていう特殊な場所で働いているので
就活であんまり苦労はしてないんです あのなかなか就職が決まらないって言ってる大学生とか見ると大変だなと思います
皆さんの国での就活ってどうでしょう 日本みたいに大変ですかそれとも結構簡単に決まっちゃいますか
何か面白い話があったらぜひ教えてください それじゃあ今日はこの辺で終わりにしたいと思います
