ep. 019 - 就活(N2～N1)

(00:00:00) みなさんこんにちはトモです これは日本語を勉強している人のためのポッドキャストです
(00:00:17) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
(00:00:27) 今日は日本の就活について話したいと思います
(00:00:32) 就活 就職活動を短くした言葉ですね
(00:00:39) まあ就活について話すと言っても俺はあんまり 普通の就活はしたことがないんですけどね
(00:00:48) 日本語の先生ってちょっと普通の仕事と違うので普通の就活とは違うんです まあそれでもね
(00:00:56) 外国の人よりは日本の就活について知っていると思うので簡単に日本の就活では どんなことをするのかっていう話をしたいと思います
(00:01:06) このテーマはアンギさんという方からリクエストをいただきました インドネシアの方なんですけど
(00:01:15) なんとこの人も日本語の先生だそうです 同業者ですね
(00:01:22) 同業者に聞かれるのはちょっと怖いというか緊張するんですけど まあせっかくリクエストをもらったのでね
(00:01:30) いろいろ話したいと思います さあそれじゃあ就活についてなんですが
(00:01:37) あの日本の一般的な就活 だいたい大学の3年生とか4年生がしているようなその就活について
(00:01:48) いろいろ紹介したいと思います 日本で就活をするときに最初に何をするかっていうと会社を探すことじゃありません
(00:01:59) 就活だけどまだ会社は探しません 最初にするのは自己分析
(00:02:07) 自己分析です 自己分析っていうのは
(00:02:11) ちょっと難しい言葉ですけどね 自己は自己紹介の自己、自分です
(00:02:19) 分析っていうのは何かについて詳しく調べたり勉強したりすること だから自己分析っていうのは自分についてよく知るために自分自身を研究することです
(00:02:34) なんでこんなことをするかというと会社を探す前に 自分にはどんな仕事がいいのかとか
(00:02:44) 自分に向いている仕事はどんなものなのかっていうことを考えなければなりません まあ当たり前なんですけどね
(00:02:53) あの人前で話すのが苦手な人が学校の先生とか絶対できないですからね まあこんなことを言いつつ実は俺も
(00:03:04) 昔は人前で話すの大嫌いだったんですけどね 今はもう日本語の先生結構長いので人前で話すの慣れましたけど
(00:03:14) まあとにかく人によってあの得意なこととか苦手なことっていうのが違うので 自分に向いているもの自分がよくできるもの
(00:03:26) あとまあ他にも自分が本当に面白いと思えるもの それがどんなものなのかっていうのを確認するために自己分析をします
(00:03:38) そして自己分析が終わったら まだ会社探しません
(00:03:44) 次にするのは職種について調べることです 職種っていうのは簡単に言ったらどんな仕事をするかです
(00:03:56) 例えばジムの仕事だったら事務所の中でこう 机に向かって書類を作ったりとか電話を取ったりとか
(00:04:06) まああまり外に出ない仕事ですね 逆に営業だったら外に出ていろんな会社の人とかお客さんですね
(00:04:17) その人と話をしてそしていろいろな契約を取ったりとかします こういうふうに
(00:04:24) どんな職種があってどんな職種が自分には向いているのかっていうのをよく考えます そして職種についてよくわかったら
(00:04:36) その次にすること まだ会社は探しません
(00:04:41) 次にしなければならないのは業界について知ることです 業界とか業種って言ったりもしますけど
(00:04:52) 業界とか業種っていうのは どんなものを扱うかということです
(00:04:59) 例えば 同じ物を売るという仕事でも食べ物を扱う業界もあるし
(00:05:07) あとは食べ物じゃなくて電気製品を売る業界もありますよね 物を売るんじゃなくてサービスを売る業種っていうのもありますけど
(00:05:17) 例えばマッサージとか あとはカラオケとかそういうアミューズメント系
(00:05:25) なんか遊ぶところっていうのもありますね 自分に向いている業界っていうのはどんなものなのかっていうのを探します
(00:05:36) 同じ営業の仕事でもやっぱり 物を売る営業とあとはサービスの営業と全然違いますからね
