ep. 021 - 紅葉(N3)

みなさんこんにちはTomoです
これは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くない
でもドラマや映画は難しすぎる そんな人のために日本語教師のTomoがちょうどいい日本語で話をします
エピソードのテーマはリクエストすることもできます リクエストがある人はツイッターやインスタグラム
メールなどでメッセージを送ってください このポッドキャストはいつも1週間に1回新しいエピソードを作っているんですが
先週はすみませんでした ちょっと時間がなくて作ることができませんでした
なんで時間がなかったかっていうと まあもしかしたら皆さんもニュースで知っているかもしれないけど
とっても大きい もうめちゃくちゃでかい台風が来たからです
ほんと今まで見たことないぐらい大きい台風で 日本中が大騒ぎでした
俺の住んでいるところも台風が来るとニュースで言っていたので ちょっと心配で
あの 何かあった時のための食べ物とか飲み物を準備したり
あとは避難する時のための 避難っていうのは
危ないところから安全なところへ行くことです その避難するときに持っていくものを準備したりとか
そういうことをしていました 結局避難はしなかったんですけどね
俺の家の周りは風もそんなに強くなかったし 川も近くになかったからあまり危なくなかったんです
だから朝起きた時うちの外を見て 思ったより台風小さかったのかなと思ったんですけど
でも家からちょっと歩いたところ 5分ぐらい歩いたところは
道路が川みたいになっていました だから俺のうち俺の住んでいるアパートがあるところは
たまたま 水が来なかっただけで
結構近くで危ないところもあったみたいです だからまあ俺は運が良かったんですね
特に怪我もなかったし壊れたものもなかったし 何も被害はなかったんですけど
でも俺の住んでいる県では 被害がとてもひどかったところもあるので
少しでも早く元の元気な綺麗な街に戻るといいなと思います さてそれじゃあ今日のテーマなんですけど
今日は紅葉についてリクエストをもらいました このリクエストは
えーっと ちょっと名前の読み方が難しいんですけど
ベトナムの方ですね なんだろうローマ字読みだとバータさんですかね
ba ta で このバータさんから
リクエストをもらいました 紅葉についてなんですが
特に紅葉の
昔と現代とで今とで 紅葉の見方はどう違いますかっていう質問です
いやーいいリクエストですね今10月です だんだん木の葉の色が赤とか黄色とか綺麗な色になっていきますね
日本では四季があります 4つの季節を四季と言いますが
春夏秋冬 その4つの季節でそれぞれ全部楽しみ方が違います
春はもうみんな知ってますよねお花見 桜の花
そして夏は 俺が好きな綺麗なものだったらやっぱり花火ですね
まあ花火は自然のものではないけどでも昔から続いている 日本の伝統的なイベントですね
冬は日本は雪がたくさん降りますから 雪がとても綺麗です
特に北海道では雪祭りって言って雪でいろんなものを作るお祭りなんかもあります そして今の季節
秋で綺麗なものといえばやっぱり紅葉です 紅葉もしかしたら皆さんは紅葉じゃなくてもみじっていう言葉で覚えている人も
いるかもしれませんね 秋になって木の葉の色が変わるの紅葉って言います
じゃあこの紅葉なんですが 昔と今とでは
この紅葉の楽しみ方がどう違うかって言うと
まあ実はあの 申し訳ないんですが俺も
昔から生きているわけじゃないので昔の人がどうだったかっていうのを そんなによくは知らないんですけどね
あの タイムマシンがあればね昔のことを見ることもできますが
そんな便利なものはないので なので
俺もちょっといろんな本とかインターネットとかで見たことがある話だったら 皆さんに少しお話しすることができます
じゃあねその俺が 見たり聞いたりした話では昔の紅葉の楽しみ方って
どうだったかっていうと 実は昔は
紅葉ってあんまりね メジャーな楽しみ方ではなかったみたいです
もちろん あの綺麗ですからね毎年赤とか黄色とかその綺麗な色の山を楽しむっていう
人はいましたけど でも
綺麗な自然を楽しむっていうのは日本ではやっぱり 桜が一番
だから桜は 桜の木を自分の家の近くに植えたりとか
桜がいっぱいある綺麗なところっていうのが有名なところっていうのがたくさんあった みたいなんですけど
でも紅葉 特に紅葉で綺麗な有名な木といえば
楓っていう あの
葉っぱの形が 人の手の形みたいな
あの木は 桜の木みたいに自分で
うちの近くに植えたりはしなかったみたいです だからお花見桜はね結構
うちの近くとかいろいろなところで 楽しむことができたそうなんですけど紅葉はうちの近くにはそんなに綺麗なところがないから
ちょっと遠い山の中とかに行って そして楽しまなければならないだから
ちょっと花見よりも大変だったみたいです で行くのが大変だから
花見よりも紅葉を見に行く人っていうのは少し少なかったみたいですね まあもちろんこれは昔の話です
どのくらい昔かっていうと 平安時代
平安時代っていうのはだいたい今から 1200年ぐらい前ですかね
そのぐらい昔だと あのあんまり紅葉は桜ほどメジャーな楽しみ方ではなかったみたいです
でもやっぱり紅葉も綺麗ですからね だからだんだん桜みたいに紅葉を楽しむ人が多くなってきて
そしてそれが平安時代の次の時代 まあ後の時代
鎌倉時代とか江戸時代とか その後の時代になってくると今みたいに紅葉を楽しむ人が多くなってきて
そして 紅葉が綺麗な木
さっき言った楓っていう木とかそういうのを 自分の家の庭とかに植えたりして
そして 紅葉の時期に綺麗な場所っていうのがどんどん多くなってきたということです
ちなみに日本では紅葉が楽しめる場所 全国にいろいろありますが
やっぱり桜とかもみじとか 木が
綺麗な木が有名な場所と言ったら 俺が思いつくのは
京都ですかねぇ いやもちろん他にもいろんなところがありますよ
綺麗なところは日本全国たくさんありますが でも観光客が多いいろんな人が来るのは
京都のイメージが俺は強いです
まあ京都のイメージ強いけど俺京都にあんまり行ったことがないから 京都の紅葉を見たことないんですけどね
でもすごい綺麗だっていう話はよく聞きます 皆さんも日本に来て綺麗な景色を楽しみたかったらぜひ京都に行ってみてください
