ep. 021 - 紅葉(N3)

(00:00:00) みなさんこんにちはTomoです
(00:00:07) これは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くない
(00:00:14) でもドラマや映画は難しすぎる そんな人のために日本語教師のTomoがちょうどいい日本語で話をします
(00:00:23) エピソードのテーマはリクエストすることもできます リクエストがある人はツイッターやインスタグラム
(00:00:32) メールなどでメッセージを送ってください このポッドキャストはいつも1週間に1回新しいエピソードを作っているんですが
(00:00:43) 先週はすみませんでした ちょっと時間がなくて作ることができませんでした
(00:00:51) なんで時間がなかったかっていうと まあもしかしたら皆さんもニュースで知っているかもしれないけど
(00:01:01) とっても大きい もうめちゃくちゃでかい台風が来たからです
(00:01:09) ほんと今まで見たことないぐらい大きい台風で 日本中が大騒ぎでした
(00:01:18) 俺の住んでいるところも台風が来るとニュースで言っていたので ちょっと心配で
(00:01:27) あの 何かあった時のための食べ物とか飲み物を準備したり
(00:01:34) あとは避難する時のための 避難っていうのは
(00:01:39) 危ないところから安全なところへ行くことです その避難するときに持っていくものを準備したりとか
(00:01:51) そういうことをしていました 結局避難はしなかったんですけどね
(00:01:57) 俺の家の周りは風もそんなに強くなかったし 川も近くになかったからあまり危なくなかったんです
(00:02:07) だから朝起きた時うちの外を見て 思ったより台風小さかったのかなと思ったんですけど
(00:02:16) でも家からちょっと歩いたところ 5分ぐらい歩いたところは
(00:02:24) 道路が川みたいになっていました だから俺のうち俺の住んでいるアパートがあるところは
(00:02:33) たまたま 水が来なかっただけで
(00:02:38) 結構近くで危ないところもあったみたいです だからまあ俺は運が良かったんですね
(00:02:47) 特に怪我もなかったし壊れたものもなかったし 何も被害はなかったんですけど
(00:02:55) でも俺の住んでいる県では 被害がとてもひどかったところもあるので
(00:03:02) 少しでも早く元の元気な綺麗な街に戻るといいなと思います さてそれじゃあ今日のテーマなんですけど
(00:03:12) 今日は紅葉についてリクエストをもらいました このリクエストは
(00:03:20) えーっと ちょっと名前の読み方が難しいんですけど
(00:03:27) ベトナムの方ですね なんだろうローマ字読みだとバータさんですかね
(00:03:35) ba ta で このバータさんから
(00:03:40) リクエストをもらいました 紅葉についてなんですが
(00:03:44) 特に紅葉の
(00:03:48) 昔と現代とで今とで 紅葉の見方はどう違いますかっていう質問です
(00:03:59) いやーいいリクエストですね今10月です だんだん木の葉の色が赤とか黄色とか綺麗な色になっていきますね
(00:04:12) 日本では四季があります 4つの季節を四季と言いますが
(00:04:19) 春夏秋冬 その4つの季節でそれぞれ全部楽しみ方が違います
(00:04:29) 春はもうみんな知ってますよねお花見 桜の花
(00:04:35) そして夏は 俺が好きな綺麗なものだったらやっぱり花火ですね
(00:04:42) まあ花火は自然のものではないけどでも昔から続いている 日本の伝統的なイベントですね
(00:04:51) 冬は日本は雪がたくさん降りますから 雪がとても綺麗です
(00:04:57) 特に北海道では雪祭りって言って雪でいろんなものを作るお祭りなんかもあります そして今の季節
(00:05:08) 秋で綺麗なものといえばやっぱり紅葉です 紅葉もしかしたら皆さんは紅葉じゃなくてもみじっていう言葉で覚えている人も
(00:05:20) いるかもしれませんね 秋になって木の葉の色が変わるの紅葉って言います
(00:05:30) じゃあこの紅葉なんですが 昔と今とでは
(00:05:35) この紅葉の楽しみ方がどう違うかって言うと
(00:05:42) まあ実はあの 申し訳ないんですが俺も
(00:05:48) 昔から生きているわけじゃないので昔の人がどうだったかっていうのを そんなによくは知らないんですけどね
(00:05:57) あの タイムマシンがあればね昔のことを見ることもできますが
(00:06:05) そんな便利なものはないので なので
(00:06:10) 俺もちょっといろんな本とかインターネットとかで見たことがある話だったら 皆さんに少しお話しすることができます
(00:06:22) じゃあねその俺が 見たり聞いたりした話では昔の紅葉の楽しみ方って
(00:06:30) どうだったかっていうと 実は昔は
(00:06:36) 紅葉ってあんまりね メジャーな楽しみ方ではなかったみたいです
(00:06:44) もちろん あの綺麗ですからね毎年赤とか黄色とかその綺麗な色の山を楽しむっていう
(00:06:53) 人はいましたけど でも
(00:06:57) 綺麗な自然を楽しむっていうのは日本ではやっぱり 桜が一番
(00:07:04) だから桜は 桜の木を自分の家の近くに植えたりとか
(00:07:11) 桜がいっぱいある綺麗なところっていうのが有名なところっていうのがたくさんあった みたいなんですけど
(00:07:20) でも紅葉 特に紅葉で綺麗な有名な木といえば
(00:07:27) 楓っていう あの
(00:07:31) 葉っぱの形が 人の手の形みたいな
(00:07:35) あの木は 桜の木みたいに自分で
(00:07:41) うちの近くに植えたりはしなかったみたいです だからお花見桜はね結構
(00:07:50) うちの近くとかいろいろなところで 楽しむことができたそうなんですけど紅葉はうちの近くにはそんなに綺麗なところがないから
(00:08:01) ちょっと遠い山の中とかに行って そして楽しまなければならないだから
(00:08:09) ちょっと花見よりも大変だったみたいです で行くのが大変だから
(00:08:16) 花見よりも紅葉を見に行く人っていうのは少し少なかったみたいですね まあもちろんこれは昔の話です
(00:08:26) どのくらい昔かっていうと 平安時代
(00:08:31) 平安時代っていうのはだいたい今から 1200年ぐらい前ですかね
(00:08:38) そのぐらい昔だと あのあんまり紅葉は桜ほどメジャーな楽しみ方ではなかったみたいです
(00:08:49) でもやっぱり紅葉も綺麗ですからね だからだんだん桜みたいに紅葉を楽しむ人が多くなってきて
(00:08:58) そしてそれが平安時代の次の時代 まあ後の時代
(00:09:04) 鎌倉時代とか江戸時代とか その後の時代になってくると今みたいに紅葉を楽しむ人が多くなってきて
(00:09:14) そして 紅葉が綺麗な木
(00:09:18) さっき言った楓っていう木とかそういうのを 自分の家の庭とかに植えたりして
(00:09:25) そして 紅葉の時期に綺麗な場所っていうのがどんどん多くなってきたということです
(00:09:35) ちなみに日本では紅葉が楽しめる場所 全国にいろいろありますが
(00:09:42) やっぱり桜とかもみじとか 木が
(00:09:47) 綺麗な木が有名な場所と言ったら 俺が思いつくのは
(00:09:53) 京都ですかねぇ いやもちろん他にもいろんなところがありますよ
(00:09:59) 綺麗なところは日本全国たくさんありますが でも観光客が多いいろんな人が来るのは
(00:10:09) 京都のイメージが俺は強いです
(00:10:13) まあ京都のイメージ強いけど俺京都にあんまり行ったことがないから 京都の紅葉を見たことないんですけどね
(00:10:21) でもすごい綺麗だっていう話はよく聞きます 皆さんも日本に来て綺麗な景色を楽しみたかったらぜひ京都に行ってみてください
(00:10:33) まあ俺はあまり京都に詳しくないですけど 京都について知りたかったら
(00:10:40) Googleに聞いてみてください 紅葉の時期に綺麗な景色を見たりとか
(00:10:47) 綺麗な葉っぱをちょっと拾って持って帰ったりとか そういうのをもみじ狩りと言います
(00:10:56) なのでもみじ狩りで有名なところっていうのを探してみると いろいろ綺麗な場所がわかると思いますので
(00:11:05) 皆さんもぜひ日本に来てもみじ狩りっていうのをしてみてください 俺の住んでいるところではまだあまり
(00:11:16) 綺麗な赤とか黄色にはなってないんですけど もう少ししたら11月ぐらいになったら
(00:11:23) 綺麗な景色が見られると思うので そしたら俺も写真を撮りに行こうかなと思っています
