ep. 023 - 文法＜られる、させる＞(N4)

みなさんこんにちはともです これは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
テーマはリクエストすることもできます リクエストがある人はツイッターやインスタグラム
メールなどでメッセージをください 今日のテーマは
久しぶりに文法についてです 前に救急車についてのリクエストをくれた
さよこさんからのリクエストで られるとかされるっていう言葉の使い方
これについて教えてくださいと言われたので今日はこの文法についてです このされるという文法は
多分日本語を勉強しているとても多くの人が 難しいと思っている文法ですね
俺の学校の学生でも この文法を上手に使える人はあまりいません
このされるという言葉は 文法の名前は受け身っていうやつですね
この受け身ですが 結構いろいろな使い方とか意味があるので上手に使うのが難しい言葉です
全部説明すると ちょっと長くなるし難しくなるので今日はよく使われる使い方
皆さんがよく聞くだろうと思う使い方について説明したいと思います じゃあこのされるっていう言葉ですけど
多分皆さんが 教科書で勉強する
本で勉強する 一番簡単な意味は
他の人が自分に何かをするという意味ですね 例えば
先生に褒められましたとか先生に叱られましたとか でもこのされるとかられるの意味は
それだけじゃありません 他の人が自分に何かしたっていうのもまあよく使うんですけど
他にも日本人がよく使うこのられるの意味は 自分にとって嫌なことだっていう意味です
誰かが何かをした時に 私はそれが嫌だと思ったらこの受け身の形を使います
嫌だと思ってどんなことかっていうと例えば 電車に乗っている時とか
電車に乗っている時に皆さんの周りの人が嫌なことをした時 電車で周りの人がする嫌なことっていうと例えば
自分が座っている隣の席の人が うるさい大きい声で話をしたりとか
あとは 例えば夏とかだったら
夏は暑いから汗をかきますよね 汗をかいてちょっと匂いが
臭い人とかが自分の隣に座ったとか そういう自分が嫌だと思うことを他の人がしたら
電車に乗っている時に周りの人がうるさい声で話をしたじゃなくて 周りの人にうるさい声で話されたとか
ちょっと汗臭い人に隣に座られたとか 周りの人がうるさい声で話をした
話をしただけだと私の嫌な気持ちっていうのがわかりません 周りの人にうるさい声で話されたというと
私はそれは嫌ですと思う気持ちがとてもよくわかります 臭い人が隣に座るのだって嫌ですよね
だからそういう時も 臭い人に座られたというと
自分の嫌な気持ちっていうのがよくわかります 他にも
自分が嫌だって思ったことは色々なことに使えます 例えば天気とかでも
旅行に行った時に雨が降ったら嫌ですよね 旅行の時に雨が降って嫌だと思ったら
雨が降ったじゃなくて雨に降られたと言います そうすると雨が降って嫌だなという気持ちがよくわかります
結構いろいろな言葉でこのられたっていう使い方ができます 例えば他にも
友達と一緒に帰りたかったのに先に帰られたとか 冷蔵庫に入れておいたケーキを
弟に全部食べられたとか あとはお店で最後の1個の
美味しそうなお菓子を他の人に買われてしまったとか これがられたとかされたの使い方で
自分が嫌だなと思った時にこの言葉を使います
さあこれが受け身の使い方ですが ついでに
日本語を勉強している人がよくわからないっていう言葉 だいたいこの受け身と同じぐらいの時に勉強する文法
これについても少し説明しようと思います じゃあそれが何かというと
使役です。使役 使役っていうのは
されるじゃなくて させるという言葉です
ちょっと似てますよね 受け身はされる
使役はさせるです じゃあこのさせるっていうのはどんな時に使うかというと
これは他の人に何かをしてくださいということです 例えば
あの先生は毎日学生に宿題をさせる と言ったら
あの先生は学生に毎日宿題をしてくださいという という意味です
日本の学校では先生は学生にいろいろなことをしてくださいと言います 例えば宿題もそうですけど学校にいるときは
ちょっとこれ手伝ってくださいとか 教室の掃除をしてくださいとか
授業の時にうるさかったら静かにしてくださいとかもよく言いますね このしてくださいということこれがさせるです
だから先生がすることっていうのは先生は学生に 宿題をさせるとか
学生に掃除をさせる 手伝わせる
静かにさせる 何かをしてくださいっていうのがこのさせるです
学校だけじゃなくてね会社とかでも使いますね 会社の中で
偉い人上の人は 新しく入った社員とかによくいろいろなことをさせますね
例えば簡単な仕事とかをよくさせますよね コピーをさせたりお客さんが来たらお茶を入れさせたりしますね
俺も学校では あの他の先生よりも少し長いので
新しく入った先生には簡単な仕事をさせたりとか あとは机とか椅子とか何かたくさん運ばなければならないときは
学生によく手伝わせます ちょっと暇な人がいたらこの机を運ぶのを手伝ってくださいって言うと
だいたい5、6人ぐらい時間のある学生が来て手伝ってくれます
さあこの何かをしてくださいっていうのがさせるっていう言葉の使い方
最初に言ったされると 形は似てますけど意味は全然違いますね
はいそれじゃあ今日はこの2つの文法 一つ目がされるとかられるですね受け身です
他の人が自分に何かをするとかあとは 自分が嫌だと思う気持ちです
そしてさせるっていうのは何かをしてくださいということ 似てる言葉ですけど意味は全然違いますね
上手に使えるようにたくさん練習してください
前にもちょっと話しましたけどこのポッドキャストではあまり 文法の話はしません
