ep. 023 - 文法＜られる、させる＞(N4)

(00:00:00) みなさんこんにちはともです これは日本語を勉強している人のためのポッドキャストです
(00:00:13) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:23) テーマはリクエストすることもできます リクエストがある人はツイッターやインスタグラム
(00:00:30) メールなどでメッセージをください 今日のテーマは
(00:00:36) 久しぶりに文法についてです 前に救急車についてのリクエストをくれた
(00:00:43) さよこさんからのリクエストで られるとかされるっていう言葉の使い方
(00:00:51) これについて教えてくださいと言われたので今日はこの文法についてです このされるという文法は
(00:01:02) 多分日本語を勉強しているとても多くの人が 難しいと思っている文法ですね
(00:01:12) 俺の学校の学生でも この文法を上手に使える人はあまりいません
(00:01:20) このされるという言葉は 文法の名前は受け身っていうやつですね
(00:01:28) この受け身ですが 結構いろいろな使い方とか意味があるので上手に使うのが難しい言葉です
(00:01:38) 全部説明すると ちょっと長くなるし難しくなるので今日はよく使われる使い方
(00:01:48) 皆さんがよく聞くだろうと思う使い方について説明したいと思います じゃあこのされるっていう言葉ですけど
(00:01:58) 多分皆さんが 教科書で勉強する
(00:02:03) 本で勉強する 一番簡単な意味は
(00:02:08) 他の人が自分に何かをするという意味ですね 例えば
(00:02:15) 先生に褒められましたとか先生に叱られましたとか でもこのされるとかられるの意味は
(00:02:28) それだけじゃありません 他の人が自分に何かしたっていうのもまあよく使うんですけど
(00:02:38) 他にも日本人がよく使うこのられるの意味は 自分にとって嫌なことだっていう意味です
(00:02:48) 誰かが何かをした時に 私はそれが嫌だと思ったらこの受け身の形を使います
(00:03:01) 嫌だと思ってどんなことかっていうと例えば 電車に乗っている時とか
(00:03:09) 電車に乗っている時に皆さんの周りの人が嫌なことをした時 電車で周りの人がする嫌なことっていうと例えば
(00:03:21) 自分が座っている隣の席の人が うるさい大きい声で話をしたりとか
(00:03:30) あとは 例えば夏とかだったら
(00:03:35) 夏は暑いから汗をかきますよね 汗をかいてちょっと匂いが
(00:03:43) 臭い人とかが自分の隣に座ったとか そういう自分が嫌だと思うことを他の人がしたら
(00:03:53) 電車に乗っている時に周りの人がうるさい声で話をしたじゃなくて 周りの人にうるさい声で話されたとか
(00:04:07) ちょっと汗臭い人に隣に座られたとか 周りの人がうるさい声で話をした
(00:04:17) 話をしただけだと私の嫌な気持ちっていうのがわかりません 周りの人にうるさい声で話されたというと
(00:04:31) 私はそれは嫌ですと思う気持ちがとてもよくわかります 臭い人が隣に座るのだって嫌ですよね
(00:04:42) だからそういう時も 臭い人に座られたというと
(00:04:48) 自分の嫌な気持ちっていうのがよくわかります 他にも
(00:04:54) 自分が嫌だって思ったことは色々なことに使えます 例えば天気とかでも
(00:05:01) 旅行に行った時に雨が降ったら嫌ですよね 旅行の時に雨が降って嫌だと思ったら
(00:05:11) 雨が降ったじゃなくて雨に降られたと言います そうすると雨が降って嫌だなという気持ちがよくわかります
(00:05:24) 結構いろいろな言葉でこのられたっていう使い方ができます 例えば他にも
(00:05:32) 友達と一緒に帰りたかったのに先に帰られたとか 冷蔵庫に入れておいたケーキを
(00:05:41) 弟に全部食べられたとか あとはお店で最後の1個の
(00:05:49) 美味しそうなお菓子を他の人に買われてしまったとか これがられたとかされたの使い方で
(00:06:00) 自分が嫌だなと思った時にこの言葉を使います
(00:06:07) さあこれが受け身の使い方ですが ついでに
(00:06:12) 日本語を勉強している人がよくわからないっていう言葉 だいたいこの受け身と同じぐらいの時に勉強する文法
(00:06:24) これについても少し説明しようと思います じゃあそれが何かというと
(00:06:32) 使役です。使役 使役っていうのは
(00:06:37) されるじゃなくて させるという言葉です
(00:06:44) ちょっと似てますよね 受け身はされる
(00:06:49) 使役はさせるです じゃあこのさせるっていうのはどんな時に使うかというと
(00:06:59) これは他の人に何かをしてくださいということです 例えば
(00:07:07) あの先生は毎日学生に宿題をさせる と言ったら
(00:07:14) あの先生は学生に毎日宿題をしてくださいという という意味です
(00:07:23) 日本の学校では先生は学生にいろいろなことをしてくださいと言います 例えば宿題もそうですけど学校にいるときは
(00:07:36) ちょっとこれ手伝ってくださいとか 教室の掃除をしてくださいとか
(00:07:43) 授業の時にうるさかったら静かにしてくださいとかもよく言いますね このしてくださいということこれがさせるです
(00:07:55) だから先生がすることっていうのは先生は学生に 宿題をさせるとか
(00:08:03) 学生に掃除をさせる 手伝わせる
(00:08:08) 静かにさせる 何かをしてくださいっていうのがこのさせるです
(00:08:16) 学校だけじゃなくてね会社とかでも使いますね 会社の中で
