ep. 024 - 電車のマナー(N2)

みなさんこんにちはTOMOです
これは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くない
でもドラマや映画は難しすぎる そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします
テーマはリクエストすることもできます メールツイッターインスタグラムなどでメッセージをください
今日もリクエストをもらっています 今日のリクエストのテーマは
電車について 電車でのマナーについてですね
マナーというか電車の中でしてはいけないこととかした方がいいことについてですね 日本では
都会の方ではよく電車を使いますね 都会って例えば東京とか大阪とかそういう大きい町ですね
逆に田舎の方ではあんまり電車は使いませんね 多分
俺の住んでるところはすごい田舎なんですけどこの辺は電車はあまり使いません みんな自分の車を持っているのであのどこかに行くときは車で移動します
で俺も今はあの田舎に住んでるから 移動するときはいつも車なんですけど
昔ねあの10年ぐらい前までは 東京に住んでいたのでその時はよく電車使ってました
日本で旅行に遊びに来る人はみんな電車で移動すると思うので みんなじゃないかあのレンタカーって言って車を借りる人もいますね
ただ 外国で車の運転するのってちょっと怖いですしね
あのわからないことも多いからほとんどの人が電車とかバス新幹線で移動すると思います なので今日は
日本での電車に乗るときの注意について話します 電車に乗るときに気をつけることといえば
しなければならないことっていうのは まあそんなにはないかなそんなにっていうか特にないかな
なのでまあしてはいけないことですね マナー違反になる行為について
皆さんにお話しようかなと思います じゃあまずは一つ目電車の中でのマナー違反になる行為
やっぱりこれはもうねみんながすぐに思いつくことだと思うんですけど 音に関することですね
音とかあとは声です これは結構有名っていうかみんな知ってることかもしれないんですけど
日本の電車って電車の中で電話をしてはいけません あの隣の人と話すのはいいんだけどね
電話で話すのはダメなんです なんでダメかっていうのはあの俺も詳しくは知らないんですけど
まあ確かになんでだろうなっていう気はしますよね 隣の人と話すのはいいのに電話で話すのはダメなんです
なんか前に あのインターネットか何かで見たのかな
隣の人と話すのはいいのに電話はなんでダメかっていうと 電話だと話している内容がわからないから聞いてる人はなんか
ちょっとこうイライラするっていうか 何について話してるかわかんないけどでも声が聞こえるからうるさいっていうふうに
思うみたいです 隣にいる人と話してたらその会話の内容っていうのがわかるので
だから話しててもどんな話かわかるからあんまりこうイライラしないというか まあいいかっていうふうに思うみたいですね
