ep. 024 - 電車のマナー(N2)

(00:00:00) みなさんこんにちはTOMOです
(00:00:08) これは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くない
(00:00:15) でもドラマや映画は難しすぎる そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします
(00:00:24) テーマはリクエストすることもできます メールツイッターインスタグラムなどでメッセージをください
(00:00:32) 今日もリクエストをもらっています 今日のリクエストのテーマは
(00:00:38) 電車について 電車でのマナーについてですね
(00:00:45) マナーというか電車の中でしてはいけないこととかした方がいいことについてですね 日本では
(00:00:56) 都会の方ではよく電車を使いますね 都会って例えば東京とか大阪とかそういう大きい町ですね
(00:01:09) 逆に田舎の方ではあんまり電車は使いませんね 多分
(00:01:16) 俺の住んでるところはすごい田舎なんですけどこの辺は電車はあまり使いません みんな自分の車を持っているのであのどこかに行くときは車で移動します
(00:01:30) で俺も今はあの田舎に住んでるから 移動するときはいつも車なんですけど
(00:01:38) 昔ねあの10年ぐらい前までは 東京に住んでいたのでその時はよく電車使ってました
(00:01:47) 日本で旅行に遊びに来る人はみんな電車で移動すると思うので みんなじゃないかあのレンタカーって言って車を借りる人もいますね
(00:01:59) ただ 外国で車の運転するのってちょっと怖いですしね
(00:02:05) あのわからないことも多いからほとんどの人が電車とかバス新幹線で移動すると思います なので今日は
(00:02:15) 日本での電車に乗るときの注意について話します 電車に乗るときに気をつけることといえば
(00:02:25) しなければならないことっていうのは まあそんなにはないかなそんなにっていうか特にないかな
(00:02:34) なのでまあしてはいけないことですね マナー違反になる行為について
(00:02:41) 皆さんにお話しようかなと思います じゃあまずは一つ目電車の中でのマナー違反になる行為
(00:02:50) やっぱりこれはもうねみんながすぐに思いつくことだと思うんですけど 音に関することですね
(00:03:00) 音とかあとは声です これは結構有名っていうかみんな知ってることかもしれないんですけど
(00:03:08) 日本の電車って電車の中で電話をしてはいけません あの隣の人と話すのはいいんだけどね
(00:03:17) 電話で話すのはダメなんです なんでダメかっていうのはあの俺も詳しくは知らないんですけど
(00:03:26) まあ確かになんでだろうなっていう気はしますよね 隣の人と話すのはいいのに電話で話すのはダメなんです
(00:03:34) なんか前に あのインターネットか何かで見たのかな
(00:03:39) 隣の人と話すのはいいのに電話はなんでダメかっていうと 電話だと話している内容がわからないから聞いてる人はなんか
(00:03:51) ちょっとこうイライラするっていうか 何について話してるかわかんないけどでも声が聞こえるからうるさいっていうふうに
(00:04:00) 思うみたいです 隣にいる人と話してたらその会話の内容っていうのがわかるので
(00:04:07) だから話しててもどんな話かわかるからあんまりこうイライラしないというか まあいいかっていうふうに思うみたいですね
(00:04:18) だからまあそれが理由かどうかはねわかんないですけど まあとにかく
(00:04:23) 電車の中で電話で話すっていうのは日本ではダメなんです 音に関して言うと電話についてだとあの
(00:04:35) 電話で話すのもダメだしあとは 電話の着信音
(00:04:41) 電話が来た時の電話だけじゃないか電話とかメールとかラインとか そういうのが来た時の音あれを着信音って言うんですけど
(00:04:51) あの着信音がうるさいっていうのもやっぱりこうイライラする人が多いみたいですね
(00:04:59) あとは携帯 携帯っていうか
(00:05:02) まあ携帯か携帯使うから携帯で音楽を聞いてる人 音楽聞く時にもちろん皆さんイヤフォンとかヘッドフォンとか使うと思うんですけど
(00:05:13) そのイヤフォンから音が漏れてる音が聞こえてくるっていうのが みんながイライラすることの一つとしてよく言われますね
(00:05:24) ってことでまずは音について今言ったのは3つですね 電話で話す声がダメだっていうのと電話の着信音
(00:05:34) それから音楽を聞いている人は音楽の音がイヤフォンとかヘッドフォンから漏れている っていうこと
(00:05:42) 音についてはこれに気をつけましょう じゃあ次にですね
(00:05:48) 音じゃなくて自分の体ですね 周りの人に対して気をつける自分の体についてなんですが
(00:05:57) まあ当たり前だと思うんですけど自分の体が周りの人にぶつからないようにっていう のは気をつけましょう
(00:06:06) よくぶつかる場所っていうのはまずは肘 肘ってわかりますか腕の真ん中の曲げるところですね
(00:06:17) この肘が周りの人にぶつからないように気をつけてください どんな時にぶつかるかっていうと
(00:06:24) 最近だとやっぱりスマホ スマホを見ているときに
(00:06:32) スマホを自分の顔の近くに持ってくると肘が横に出ちゃいますよね その横に出た肘が周りの人に当たりやすい
(00:06:43) なのでスマホを見るときは ちゃんとこう肘が外に出ないように少し体を小さくする感じでスマホを見ないといけ
(00:06:51) ませんね 特に気をつけなきゃいけないのは両手でスマホを使う人ですね
(00:06:58) ゲームをする時とか片手じゃできないから 右手と左手両手使ってゲームやろうとすると
(00:07:06) 左右の肘が両方横に出ちゃうから結構他の人に当たりやすくなります 気をつけましょう
(00:07:14) あと他の人に当たるっていうのは自分の体だけじゃなくて自分の持っているものも そうですね
(00:07:22) 少し大きいカバンとか持っている人は気をつけましょう 特に旅行に来ている人なんかそうですね
(00:07:30) 旅行で日本に来ている人は多分大きいカバンを持っている人多いですよね でこの大きいカバンで特に気をつけなきゃいけないのがリュック
(00:07:43) リュックっていうカバンわかりますか 自分の背中に持つカバンです
(00:07:50) あれをリュックって言うんですけど大きいリュックだと 周りの人にぶつかりやすいですね
(00:07:57) 特に体の向きを変えた時 右向いたりとか左向いた時とかその時にカバンが周りの人にぶつかりやすいので
(00:08:08) 人が多い電車で リュックを持つときは背中じゃなくって自分の体の前に持ってきて
(00:08:17) ちょっとこう 両手で抱えるようにしてリュックを持つと他の人にぶつかりにくくなるのでその方が周りの人に優しい感じの持ち方になりますね
(00:08:30) これが周りの人にぶつからないように気をつけること あとは
