ep. 025 - お葬式＆結婚式(N3)

(00:00:00) みなさんこんにちは、ともです これは日本語を勉強している人のためのボッドキャストです
(00:00:12) 教科書の日本語は面白くない、でもドラマや映画は難しすぎる そんな人のために日本語教師のともがちょうどいい日本語で話をします
(00:00:23) テーマはリクエストすることもできます リクエストがある人はツイッターやインスタグラム、メールなどで連絡をください
(00:00:31) 今日のテーマは日本のいろいろな式についてです 式っていうのはいろいろな式がありますが
(00:00:41) 今日は特にお葬式とか結婚式についてです 結婚式はみんな知ってると思うんですけど
(00:00:52) 葬式、お葬式っていうのは人が亡くなってしまった時の式です
(00:01:00) 式って本当にいろいろな時にするんですが、いいことだけじゃなくてあまり良くないことでも 式っていうのはあります
(00:01:12) 日本に長い間住んでいる人はもしかしたら 日本人の結婚式とかお葬式に呼ばれたことがあるかもしれませんね
(00:01:23) それじゃあそのお葬式と結婚式 日本のお葬式と結婚式ではどんなことをするのかということについて話していきたいと
(00:01:34) 思います まずはお葬式について
(00:01:40) お葬式っていうのはさっきも言ったけど人が亡くなってしまった時にする式です どんなことをするかというと
(00:01:51) 日本では ほとんどの人が同じやり方だと思うんですけど
(00:01:57) 仏教のやり方でやります 人が亡くなった時にどうするかっていうのは国によって
(00:02:05) まあ国っていうか 宗教によって違いますね
(00:02:11) 宗教ってわかりますか 宗教っていうのは
(00:02:16) まあ簡単に言うといろいろな神様を信じること 世界にはいろいろな宗教がありますが
(00:02:26) 例えばキリスト教とか 仏教
(00:02:32) あとはイスラム教 ヒンドゥー教などがあります
(00:02:39) 日本ではこの中の仏教 あの仏様を信じる仏様って
(00:02:48) 他の国の人はよくブッダって言ったりしますけど この仏教が日本ではとても多いです
(00:02:57) 仏教だけじゃなくて神道っていう 日本の神様を信じる宗教もありますが
(00:03:05) 日本でする葬式っていうのは この仏教のやり方ですることがとても多いです
(00:03:15) では日本のその仏教のやり方でのお葬式はどんなことをするのかというと
(00:03:23) まずは亡くなった人とのお別れをします お別れってまあつまり仲が良かった人とか
(00:03:34) あの家族とか友達とかですね その仲が良かった人たちがさようならというのがお別れです
(00:03:44) だいたい日本のお葬式ではこのお別れをするのが2日ぐらいあります おつやっていうのと国別式っていう2つのお別れをする時間があります
(00:03:58) 1日目の夜に とても仲がいい友達とか家族とかがその亡くなった人の家に来て
(00:04:08) さようならを言うお別れをする それがおつやでそして次の日が国別式
(00:04:17) すごく仲が良かった友達だけじゃなくて例えば 仕事の知り合いとかあの会社の同僚とか一緒に仕事をしたことがある人とか
(00:04:30) そういう人は最初のおつやじゃなくて その2日目の国別式っていうのに出ます
(00:04:39) そしてその国別式が終わったら 日本では普通誰かが亡くなったら
(00:04:48) 仮葬します 仮葬というのは亡くなった人の体を燃やすことです
(00:04:57) 人が亡くなった時に 燃やすか
(00:05:01) どこかに埋めるか それとも川に流すかというのは
(00:05:07) 国によって違いますが日本では普通 仮葬と言って
(00:05:13) 燃やすやり方でお別れをします 体を燃やしたらもちろん骨だけになるので最後はその骨を
(00:05:26) 骨を入れる小さいあの箱みたいなものに入れて そしてそれをお墓の中に入れます
(00:05:36) これが日本で人が亡くなった時にすることです まずおつやっていうのと国別式っていうのをやって
(00:05:46) そしてその後に仮葬をします 仮葬してお墓に骨を入れます
(00:05:54) これが日本のお葬式のやり方です もしかしたらこれを聞いている人もこれからこの
(00:06:03) 日本のお葬式に呼ばれることがあるかもしれませんね
(00:06:09) 日本のお葬式に呼ばれたら 皆さんも特別忙しくなければ
(00:06:16) 行ってそして最後のお別れをしてきてください その時に気をつけることいくつかあります
(00:06:25) まずは日本でお葬式に行くときには 黒い服を着ていきます
(00:06:32) 男の人は普通はスーツを着ていきます 黒いスーツに黒いネクタイです
(00:06:41) 女の人も黒いスーツでもいいのかな すいません俺はちょっとあの女の人ではないのであまり細かいことはわからないんですけど
(00:06:52) でも女の人も男の人と同じように黒い服を着ていきます 他の国中国とかベトナムとか
(00:07:02) 別の国ではお葬式の時に黒い服じゃなくて白い服を着る国も多いそうですね 日本では普通は黒が多いので
(00:07:16) 服の色を間違えないようにしてください それからお葬式の時に持っていくものですが持っていくのはまずは
(00:07:27) お金がいります 光電って言うんですけど人が亡くなった時に
(00:07:35) 白い封筒みたいなものに入れてお葬式に持っていきます 他には仏教のお葬式だと
(00:07:45) お別れを言うときにみんなでお祈りをするんですが そのお祈りの時に珠珠っていう
(00:07:54) 小さい丸い石みたいなのがたくさんついている なんて言えばいいかな
(00:08:01) アクセサリーのブレスレットみたいなもの あれを持っていきます
(00:08:07) これがお葬式の時に持っていくものとか気をつけることですね 服の色は国によって結構違うので日本では黒だっていうのを覚えておくと
(00:08:19) いいですね それから次は結婚式について
(00:08:24) 結婚式も結構国によってやり方が違いますね 国によって結婚式のやり方もする場所も全然違う
(00:08:36) いろいろあると思うんですが日本でのやり方を 紹介したいと思います
(00:08:44) ただ日本でのやり方を紹介するって言っても 日本でのやり方もいろいろあります
(00:08:53) これもやっぱり宗教によってやり方が全然違います 宗教ってさっき言った仏教とかキリスト教とか
(00:09:04) あとは日本の仏教の神道とかです
(00:09:09) ただいろいろあるけど俺の周りでは
(00:09:15) ウェディングドレスを着て 白いドレスを着て
(00:09:20) そして男の人はタクシードを着る キリスト教のやり方で結婚式をする人がとても多いです
(00:09:30) じゃあ結婚式はどんなことをするのかっていうと まずは結婚式
(00:09:37) 教会とかチャペルとかに行ってそこで 結婚する男の人と女の人が2人で一緒に神様に
(00:09:49) これから結婚して2人で ずっと一緒に生きていきますっていう約束をします
(00:09:57) こういう神様に何か絶対に守りますっていうふうに約束するのを 誓うと言います
(00:10:05) 神様に結婚する2人の永遠の愛を誓います そしてその結婚式が終わってから今度は疲労宴っていうのをやります
(00:10:19) 疲労宴っていうのは 結婚する2人が
(00:10:25) 結婚式に来てくれたお客様に 幸せな姿を見せたりとかあとは
(00:10:34) 結婚するまで育ててくれたいろいろなことをしてくれた家族とか親戚とか あとは
(00:10:42) あのお世話になった会社の人とか学校の先生とか いろいろな人にその幸せな姿を見せるというのが疲労宴です
(00:10:53) 結婚式も疲労宴も 何人来るか
(00:10:59) どのくらい広いところでお客さんを何人呼ぶかっていうのは人によって全然違います 友達とか会社の人は全然呼ばないで家族だけで
(00:11:12) 小さいところでやる人もいるし すっごいたくさんの友達とかあの
(00:11:20) 仕事で付き合いのある人とかいろんな人を呼んで 全部で100人とか200人とか
(00:11:28) そのぐらいたくさんの人で広いところで結婚式とか疲労宴をする人もいます あとはこの疲労宴って
(00:11:39) まあつまり簡単に言うとパーティーなんですけど パーティーだから
(00:11:44) どこでやってもいいんですよ だから
(00:11:48) あの普通はパーティーって言うと ちょっと広いレストランとかホテルとかそういうところでやるんですけど
(00:11:57) 全然そうじゃなくて 例えば
(00:12:01) 結婚する男の人も女の人もどちらもキャンプが好きだったら 山の中でキャンプをしながらその結婚式というか
(00:12:13) 疲労宴ですねそのパーティーをする人とかもいますし 昔はねそういうことできなかったと思うんですが今では本当に自由になってきて
(00:12:25) 自分たちが好きなやり方で好きなところで 好きな人を呼んで自由にやる人っていうのが多くなってきています
(00:12:35) まあ自由になったって言っても一般的な普通のやり方っていうのもありますけどね それが最初に言った
(00:12:45) ホテルとか結婚式場とかで結婚を式をして 2人の愛を誓って
(00:12:53) そしてその後でホテルの中のレストランとか ちょっと場所を変えて違う綺麗なレストランとかに行ってそして疲労宴
(00:13:03) パーティーをするっていうのが 一番多い普通のやり方かなと思います
(00:13:09) 結婚式ではお葬式の時よりもあまり細かいルールはないと思います 特にさっき言った自分が好きなやり方で自由にやる結婚式だったら
(00:13:22) 細かいルールなんてほとんどないようなものだと思います ただ一般的なルールっていうかまあ普通のことで言うと
(00:13:33) 結婚式に行くときに着ていくもの お葬式は黒でしたけど結婚式の時にはもう少し明るい色の服を着ていきます
(00:13:45) 男の人はスーツを着ることが多いと思いますが お葬式みたいな真っ黒なスーツじゃなくてもう少し明るい色のスーツ
(00:13:57) 女の人も黒じゃなくて
(00:14:01) なんか綺麗な色 青とかねあの別の色のドレスを着ていきます
(00:14:07) ただルールが一つあってそれは何かって言うと 結婚する2人よりも綺麗な服かっこいい服を着てはいけないということですね
(00:14:20) 一番大事なのは結婚する2人だからその2人よりも綺麗なもの いいものっていうのは着ていってはいけません
(00:14:28) それが結婚式のルールです 持っていくものはやっぱり結婚式でもお金は持っていきます
(00:14:37) お祝いのお金です いくら持っていくかっていうのはその結婚する人と自分の関係によって変わります
(00:14:48) とても仲がいい友達とかあとは大事な家族だったらお祝いのお金は多くなりますし あの
(00:14:57) ちょっと遠い友達 あんまりね付き合いが長くないとか普段そんなにあまりたくさん話さないとか
(00:15:07) そういう人だったらお祝いに持っていくお金もあまり多くありません
