ep. 026 - 漢字の覚え方(N3)

(00:00:00) みなさんこんにちはTOMOです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:12) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします。
(00:00:23) テーマはリクエストすることもできます。リクエストがある人はメールやツイッター、インスタグラムなどで連絡をください。
(00:00:32) 今日もテーマのリクエストをもらっています。 今日のテーマは漢字の覚え方についてです。
(00:00:42) このテーマはアルゼンチンのジゼルさんって読むのかな。
(00:00:48) ジゼルさんからリクエストをいただきました。ありがとうございます。 さて漢字の覚え方ですが
(00:00:56) これは日本語を勉強している人がみんな悩むことですね。 俺の学校の学生もみんな漢字が覚えられないって言って困っています。
(00:01:10) 特に漢字は読み方は分かるけど書き方がわからないっていう人が多いようです。
(00:01:19) 今日リクエストをくれたジゼルさんも同じみたいですね。 読むことはできるけど書くことができないと言っています。
(00:01:29) それじゃあ まずは日本人がどうやって漢字の書き方を覚えるかっていう話をしてみましょう。
(00:01:37) 日本人はどうしてたくさん漢字が書けるのかっていうと これは結構簡単な理由なんですけど
(00:01:47) 日本人は漢字を書く練習を たくさんするからです。
(00:01:54) もうすごい簡単な理由ですね。 どのくらいたくさん書くのかっていうと多分もう外国の人が聞いたらびっくりすると思うんですけど
(00:02:06) 子供の時は 本当にもう毎日たくさんたくさん漢字を書く練習します。
(00:02:14) もしかしたら今の子供は 俺が子供の時よりも書く練習少ないかもしれませんけど
(00:02:23) 俺が小学生の時は どのくらいだろう?毎日
(00:02:29) ノートに3ページとかそのくらい書いてたんじゃないかな ノートっていうのは
(00:02:36) 漢字の練習のためのノートがあります。 日本の小学生とか
(00:02:44) 多分中学生もあるかな。小学生とか中学生が学校で使うノートなんですけど 漢字のためだけのノートがあります。
(00:02:55) そしてそのノートに毎日漢字を たくさん練習します。
(00:03:03) 俺は子供の時に新しい漢字を覚えるためには 同じ漢字を
(00:03:10) 何十回とかあとは多い時は100回以上 とにかくたくさんたくさん何回も書いていました。
(00:03:22) できるだけ毎日練習もするし あとは
(00:03:26) 学校で漢字のテストもありました。 学校の授業で国語って言って
(00:03:35) 本を読んだり何か書いたりする授業があるんですけど その授業の時に漢字のテストもあります。
(00:03:44) だからそのテストに出る漢字は何回も書いて たくさん練習してそれで覚えました。
(00:03:53) 漢字の覚え方については前に中国の人にも聞いたことがあるんですけど やっぱり日本と同じだそうです。
(00:04:02) 子供の時に何回も何回も書く練習をしてそれで覚えるそうです。 なので
(00:04:09) 日本人の漢字の覚え方。 日本人はどうしてそんなにたくさん漢字が書けるのかっていうと
(00:04:18) とにかくもう何回もたくさん書くからです。 それが一番覚えられます。
(00:04:26) でもすごく大変なんですけどね。 それからもう一つ日本人がたくさん漢字を覚えている理由は
(00:04:35) 毎日の生活でよく使うからです。 やっぱり漢字は使わないと忘れます。
(00:04:43) いろいろなところで読むし、あとは時々書くし、 それで毎日使っているから漢字を覚えることができます。
(00:04:53) 逆に言ったら日本人も漢字を使わないと忘れるということです。 実は日本人も
(00:05:04) 昔の方が今よりも漢字をたくさん書くことができました。 今の日本人は書ける漢字が少し少ないです。
(00:05:15) なぜかというとそれは漢字を使わなくなってきたから。 漢字を使わないっていうか漢字を書かなくなってきたからです。
(00:05:27) 昔は 何かを書くときは全部手で書いていました。
(00:05:34) ペンとか鉛筆とか。 でも今は違います。
(00:05:39) ペンは使わないでパソコンとかスマホとかタブレットとか 何か機械を使って書きます。
(00:05:48) なので最近自分の手で漢字を書かないからそれで忘れるというか あまり思い出せない
(00:05:59) そういうことが多くなってきました。 ですから昔の日本人は今よりもたくさん漢字を書くことができたと思います。
(00:06:09) 昔っていうかあの俺も多分 今よりも10年ぐらい前の方がたくさん漢字書けたんじゃないかなっていう気がします。
(00:06:20) 最近は本当に漢字を書かなくなってきたから 結構漢字を忘れてスマホで調べながら書くことも多いです。
(00:06:30) だから日本人と同じぐらい漢字をたくさん覚えたい人は やっぱり日本人と同じぐらいたくさん使ったほうがいいと思います。
(00:06:41) たくさん読んでそしてたくさん書く
(00:06:45) ただ 日本人と同じぐらいたくさん漢字を使うって
(00:06:51) 難しいですよね。 それに日本人は子供の時に
(00:06:57) 漢字をさっきも言ったけど何百回も書いたりとか たくさん練習をしてますからそれで覚えているんですけど
(00:07:07) 大人になってから日本語の勉強を始めた外国の人は 自分の生活もあるからそんなにたくさん漢字の練習できませんよね。
(00:07:19) なので 漢字を覚えるための方法としてちょっと別のことも紹介しようと思います。
(00:07:28) 漢字を覚えるポイントは 一つ一つの漢字を全部覚えないことです。
(00:07:37) 漢字を覚えるときは 漢字のパーツを覚えるという意識を持つと覚えやすいと思います。
(00:07:47) 漢字というのは いくつかのパーツに分けることができます。
(00:07:53) 例えば海という漢字は左に点を3つ書いてからその右に毎日の毎っていう字を書きますよね。
(00:08:04) だから左と右のパーツに分けることができます。 他にも思うっていう漢字だったら
(00:08:14) 上に田んぼのたを書いて下に心と書きます。 上と下のパーツに分けることができます。
(00:08:24) この一つ一つのパーツの形を覚えると あとは
(00:08:29) パズルみたいに他のパーツと組み合わせて漢字を作ることができます。 じゃあパーツを組み合わせるってどういうことかっていうと
(00:08:41) 例えばさっき言った思うっていう漢字 思うの漢字には下に心があります。
(00:08:52) この心が入っている漢字っていうのは人の気持ちとか あとは考えること
(00:09:00) そういう意味の漢字が多いです。 例えば忘れるとか
(00:09:07) 意見の意とか 悲しいとか怒る
(00:09:13) あとは 恋とか恋っていうのは人を好きになることです。
(00:09:20) この漢字には全部心が入っています。 だから人の気持ちの漢字を書くときは
(00:09:29) たぶんどこかに心っていう字があるなっていう風に まずパーツのことを考えると覚えやすくなります。
(00:09:39) 他にもこの心みたいなパーツはどんなのがあるかっていうと 最初に言った海っていう漢字だったら左に3つある点
(00:09:49) あの点は水という意味です。 だから左に3つ点があったらそれは
(00:09:58) だいたい水に関係がある言葉です。 海とか泳ぐの漢字もそうだし他にも池とか湖
(00:10:10) 水があるところですね。 あとはわかりやすいのだと魚の名前の漢字
(00:10:19) 魚の名前の漢字にはだいたい 魚っていう漢字があります。
(00:10:26) 左に魚を書いてそしてその右に何か別のものを書くと魚の漢字になります。 魚の名前の漢字って結構難しいのが多くて
(00:10:39) 日本人でも読むことができない時が多いんですけどでも日本人はそれを見たときに 左に魚って書いてあるからこの漢字は
(00:10:50) 何かの魚の名前だなっていうのがすぐわかります。 他にもわかりやすいパーツだと
(00:10:58) 体の悪いことに関係がある漢字 例えば
(00:11:04) 病気の病 病の漢字の
(00:11:09) 上と左にある形
(00:11:14) あの形は だいたい体の悪いことっていう意味です
(00:11:21) 例えば疲れるとか痛いとかも全部 病気の病と同じ形があります
(00:11:30) 病気の名前の漢字も結構難しいのが多くて日本人が読めないもの結構あるんですよ でも日本人があの形を見たら
(00:11:40) この漢字読めないけどでも何かの病気だなっていうのがすぐわかります さあこんなふうに一つ一つのパーツの意味と形を覚えるとあとはそれを
(00:11:54) パズルみたいに組み合わせると漢字ができます そうやってパーツをよく覚えると漢字が覚えやすくなります
(00:12:03) それからもう一つ漢字の書き方を覚えるときには 同じ読み方の漢字を一緒に覚えるっていうやり方があります
(00:12:15) 例えば 試験のけんという漢字
(00:12:21) ちょっと難しい感じですけど右側の形を見ると 他のけんという読み方の漢字と同じなんです
(00:12:32) 例えば 危険、危ないっていう意味の危険
(00:12:37) 危険のけんも試験のけんと半分同じ形です あとは
(00:12:46) 検査のけん
(00:12:49) あの調べるっていう意味の検査 検査のけんも同じ形があります
(00:12:56) 他にも例えば 何っていう感じの右側
(00:13:04) ちょっと難しい言葉だけど可能 できるっていう意味の言葉で可能っていうのがあります
(00:13:12) 日本語の勉強している人は可能形とか聞いたことあるかもしれませんね で可能のかの形
(00:13:23) あの形があると かと読むときが多いです
(00:13:28) 例えば歌の漢字は 左にあの同じ形がありますよね2つ
(00:13:37) だから歌っていう漢字は 歌手のか
(00:13:42) かの読み方があるし 荷物のにの漢字もそうですね
(00:13:49) 下に 何っていうのと同じ漢字がありますから
(00:13:54) あれもかと読みます 何っていうのもちょっと難しい言葉だとかって読むんですけどね
(00:14:02) こんな風に読み方が同じだと形も同じ時が多いので 同じパーツを持つ同じ読み方の漢字っていうのを探してみるとちょっと感じが
(00:14:16) 覚えやすくなります
(00:14:20) さあそれじゃあこれが漢字を覚えるときのポイント ただ書くだけじゃなくって
(00:14:28) 意味とか読み方を考えながら覚えるとちょっと覚えやすくなります
(00:14:35) あとはやっぱり最初にも言ったけど とにかくたくさん使うっていうのは一番大事ですから
(00:14:43) 普段の生活でもたくさん漢字を書いたりとか できるだけ漢字を読んだりするようにすると
(00:14:50) 多分覚えやすくなると思います 大変だと思いますけど頑張ってください
(00:14:57) では今日のテーマの漢字の覚え方
(00:15:02) ポイントはたくさん使うことそれと 意味を考えることそして
(00:15:09) 同じ読み方の漢字を探すこと 漢字がたくさん使えると日本語で読んだり書いたりがたくさんできるので
(00:15:17) 日本語を使うのがもっと楽しくなると思います 大変ですけど頑張って覚えてください
(00:15:25) それじゃあ今日はこの辺で終わりにしましょう みなさんさようなら
