ep. 027 - おすしやさん(N4～3)

みなさんこんにちはTOMOです これは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします
話のテーマはリクエストすることもできます リクエストがある人はメールやツイッター
インスタグラムなどで連絡をください 今日もテーマのリクエストをもらっています
今日のテーマは お寿司屋さんでの注文の仕方について
今日のテーマは 本当に日本っていう感じの
テーマですね 寿司っていうのは日本の昔からある
とても有名な食べ物です 外国にも寿司の店はあるかもしれませんが
やっぱり日本には外国と比べると すっごくたくさん
多くの寿司屋があります お寿司屋さんの注文の仕方について話す前にちょっと
日本にあるお寿司屋さんの種類について 少し説明したいと思います
日本では結構いろいろなところでお寿司を食べることができます 例えばスーパーとかコンビニでも寿司を買うことができます
まああのコンビニとかスーパーで買うよりお寿司屋さんに行った方が美味しいとは思い ますけど
でもちょっとだけ食べたいとか今すぐ食べたいっていう時には 近くのスーパーとかに行けばすぐ買うことができます
それから 日本で他にお寿司を買うことができるのは
持ち帰り専用のお寿司屋さんとかもあります 持ち帰りっていうのは
お店の中で食べることはできなくて持って帰るだけ お店で寿司を買って持って帰ってそして家で食べるお寿司屋さん
というのがあります それから
これが一番多いんじゃないかなと思うんですけど 日本にあるお寿司屋さんの種類でもう一つは回転寿司というのがあります
回転っていうのは回ることです その回転寿司のお店では寿司が回ります
見たことがない人はちょっとイメージするのが難しいかもしれませんが そのお寿司屋さんの中はレストランみたいにたくさんテーブルとか椅子があって
そしてテーブルの横にとても小さい
電車が走る線路みたいなものがあります そしてその上を電車じゃなくて寿司が
走るというかあの 動いて全部のテーブルの前を通ります
そして自分が食べたい寿司が自分のテーブルのところに来たらそれを取って自由に 食べることができます それが回転寿司という
寿司のお店の種類です 最近の回転寿司はだいたい
全部のテーブルにタブレットみたいなものが置いてあってそれで注文することもできます 自分のテーブルに来た寿司を取って食べることも
できるし あとは自分が食べたい寿司がなかなか来なかったらそのタブレットから
食べたい寿司を押してそして注文することもできます それからお寿司の店のもう一つの種類は
これが一番昔からある古いタイプのお寿司屋さんですが あまり大きくないお店で
お酒を飲むバーみたいに お店の中に寿司を作るお店の人が
何人か2人とか3人とか立っていて そして自分が食べたいお寿司をそのお店の人に注文するとそれを全部
自分の目の前で 作ってくれてそしてそれを食べるというタイプのお店です
このように日本ではいろいろなところで寿司を食べることができますが 俺が一番よく食べるのは
回転寿司です どうしてかというと安いからです
高い回転寿司もあるんですけど 最近の回転寿司の店だと
だいたい一つのお皿に小さい寿司が2つ乗っているんですが そのお皿1枚で100円ぐらいです
だから結構お腹いっぱいになるまで食べても 1人1000円とか1500円とかそのぐらいで済みます
でも 最後に言った
お酒のバーみたいなお店 そのお店は
俺のイメージですけど とても高いところが多いような気がします
多分ですけどね あまり高くないところももちろんあると思いますが
なんとなく俺は その最後のバーみたいなお寿司屋さんは全部高いと思っています
まあバーのお店が高いんじゃなくて回転寿司が安いだけかもしれませんけど
さあこれがお寿司屋さんのいろいろな種類ですが
テーマでリクエストのあった寿司の注文の仕方 一番難しいのはやっぱり最後のバーみたいな形のお寿司屋さんかなと思います
回転寿司は結構注文の仕方が簡単なんです なんでかというと
まず自分のテーブルのところに来たお寿司 いろいろなお寿司が来るからそれを見て食べたいと思ったものを取るだけですから
あまり難しくないです
食べたいお寿司、美味しそうなお寿司が自分の近くに来たらそれを取って食べて そして寿司が乗っていた皿はそのままテーブルの上に置いておきます
そうすると最後にお店を出るときに店の人が皿の数を数えて そして全部でいくらか教えてくれます
でも 最後に言ったあのバーの形の寿司屋
そのバーの形のことをカウンターって言うんですけど カウンターで食べる寿司っていうのは
お客さんが注文してから寿司を作るから 回転寿司みたいに食べたいものだけを取るということができません
じゃあどうするかというと お店に行ってカウンターの席に座ったら
多分自分の前とかすぐ近くにお店の人がいるから その人に自分が食べたいものを注文します
この時に ちょっと大変かもしれないけど
魚の名前を覚えていないと注文することができません 例えば
一番有名っていうか どこのお店に行ってもあるお寿司といえば
マグロです マグロという魚の寿司
でもマグロって言っても あのマグロってとても大きい魚なんですけど
魚の 体の場所によって名前が違います
例えばそのマグロの体のとても赤いところだと 普通にマグロくださいというだけで多分わかると思うんですけど
それだけじゃなくてもう少し油が多いところだと名前が変わります トロっていう名前になります
あと他にも マグロの切り方を変えたりちょっと寿司の形を変えたりすると
別の名前の寿司になります ですからそのカウンターの寿司のお店に行くときは
魚の名前とかあとはその寿司の 名前形が変わると名前が変わりますから
その名前を覚えていってそして注文します もしかしたら
外国の人のための店だったらその魚の写真とか あとは寿司の写真とかそういうものがたくさんあるかもしれませんから
お店の人にちょっと 何か寿司の写真とかありませんかって聞いてみるといいかもしれません
それか何もなかったら 絵とか写真が何もなくてそして魚の名前もわからない
そういう時はお店の人に何かおすすめの 寿司をくださいって言ったら
あの美味しいものをいろいろ 作ってくれると思います
その時に嫌いなもの例えば タコがあまり好きじゃありませんとか
私は貝を食べることができませんとかそういうふうに自分が嫌いなものを言っておくと 多分
自分が好きな魚とか あとは魚じゃなくてもちょっと別のものを使った寿司を作ってくれると思います
俺も寿司屋に行くとあの魚はだいたい食べるんですけど 魚の他の寿司
例えばイカタコ あといろいろな貝ですね
そういう寿司ってあまり食べないんですよ なので寿司屋に行く前には
あの 注文するために魚の名前を覚えて
それから行くか
それか あの魚の名前全部覚えるのはちょっと大変なので自分が食べられないもの
嫌いなものとかそれだけ覚えてお店の人にちょっと私の嫌いなもの 以外でおすすめのものをくださいというふうに言うときっといろいろ美味しいお寿司を
作ってくれます このカウンターの寿司の店
さっき あのちょっと高いイメージがあるというふうに言いましたけど
多分 高いけど
他の寿司 あの他の店の寿司スーパーとかあとは回転寿司とか
そういうところよりもすごく美味しいと思います スーパーでもコンビニでも回転寿司でも
だいたいのところは 最初にたくさん作っておいてそしてそれをお客さんが取って食べるんですけど
このカウンターのお店だとお客さんが注文してから寿司を作ります だから作ってからあまり時間が経っていない寿司なのでとても美味しいと思います
高いけど なので
美味しい寿司が食べたい人はちょっとね難しいかもしれませんけど ぜひそのカウンターの
ちょっと高い良いお寿司を食べてみてください ちなみに俺はカウンターの寿司はほとんど食べたことがありません
子供の時に1回か2回ぐらい行ったかなぁ 多分そのぐらいかなぁ
大人になってからは全然行ったことがありません いつも安い回転寿司です
これを聞いている人でカウンターの寿司を食べに行った人がいたら どうだったかっていうのをぜひ教えてください
あと回転寿司カウンターの店よりも あまり美味しくないかもしれませんけど回転寿司は
回転寿司でいろいろなものがあってそして楽しいと思うので こっちもおすすめはおすすめです
寿司に興味がある人はぜひ行ってみてください
それじゃあ今日はお寿司屋さんの注文の仕方というお話でした 皆さんもこれを聞いたらぜひお寿司屋さんにチャレンジしてください
では今日はこの辺で終わりましょうさようなら
