ep. 027 - おすしやさん(N4～3)

(00:00:00) みなさんこんにちはTOMOです これは日本語を勉強している人のためのポッドキャストです
(00:00:12) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします
(00:00:23) 話のテーマはリクエストすることもできます リクエストがある人はメールやツイッター
(00:00:29) インスタグラムなどで連絡をください 今日もテーマのリクエストをもらっています
(00:00:36) 今日のテーマは お寿司屋さんでの注文の仕方について
(00:00:43) 今日のテーマは 本当に日本っていう感じの
(00:00:49) テーマですね 寿司っていうのは日本の昔からある
(00:00:55) とても有名な食べ物です 外国にも寿司の店はあるかもしれませんが
(00:01:03) やっぱり日本には外国と比べると すっごくたくさん
(00:01:09) 多くの寿司屋があります お寿司屋さんの注文の仕方について話す前にちょっと
(00:01:18) 日本にあるお寿司屋さんの種類について 少し説明したいと思います
(00:01:26) 日本では結構いろいろなところでお寿司を食べることができます 例えばスーパーとかコンビニでも寿司を買うことができます
(00:01:37) まああのコンビニとかスーパーで買うよりお寿司屋さんに行った方が美味しいとは思い ますけど
(00:01:44) でもちょっとだけ食べたいとか今すぐ食べたいっていう時には 近くのスーパーとかに行けばすぐ買うことができます
(00:01:54) それから 日本で他にお寿司を買うことができるのは
(00:02:00) 持ち帰り専用のお寿司屋さんとかもあります 持ち帰りっていうのは
(00:02:08) お店の中で食べることはできなくて持って帰るだけ お店で寿司を買って持って帰ってそして家で食べるお寿司屋さん
(00:02:19) というのがあります それから
(00:02:23) これが一番多いんじゃないかなと思うんですけど 日本にあるお寿司屋さんの種類でもう一つは回転寿司というのがあります
(00:02:36) 回転っていうのは回ることです その回転寿司のお店では寿司が回ります
(00:02:46) 見たことがない人はちょっとイメージするのが難しいかもしれませんが そのお寿司屋さんの中はレストランみたいにたくさんテーブルとか椅子があって
(00:02:59) そしてテーブルの横にとても小さい
(00:03:05) 電車が走る線路みたいなものがあります そしてその上を電車じゃなくて寿司が
(00:03:14) 走るというかあの 動いて全部のテーブルの前を通ります
(00:03:24) そして自分が食べたい寿司が自分のテーブルのところに来たらそれを取って自由に 食べることができます それが回転寿司という
(00:03:36) 寿司のお店の種類です 最近の回転寿司はだいたい
(00:03:43) 全部のテーブルにタブレットみたいなものが置いてあってそれで注文することもできます 自分のテーブルに来た寿司を取って食べることも
(00:03:53) できるし あとは自分が食べたい寿司がなかなか来なかったらそのタブレットから
(00:04:00) 食べたい寿司を押してそして注文することもできます それからお寿司の店のもう一つの種類は
(00:04:10) これが一番昔からある古いタイプのお寿司屋さんですが あまり大きくないお店で
(00:04:20) お酒を飲むバーみたいに お店の中に寿司を作るお店の人が
(00:04:28) 何人か2人とか3人とか立っていて そして自分が食べたいお寿司をそのお店の人に注文するとそれを全部
(00:04:39) 自分の目の前で 作ってくれてそしてそれを食べるというタイプのお店です
(00:04:47) このように日本ではいろいろなところで寿司を食べることができますが 俺が一番よく食べるのは
(00:04:57) 回転寿司です どうしてかというと安いからです
(00:05:03) 高い回転寿司もあるんですけど 最近の回転寿司の店だと
(00:05:10) だいたい一つのお皿に小さい寿司が2つ乗っているんですが そのお皿1枚で100円ぐらいです
(00:05:19) だから結構お腹いっぱいになるまで食べても 1人1000円とか1500円とかそのぐらいで済みます
(00:05:30) でも 最後に言った
(00:05:33) お酒のバーみたいなお店 そのお店は
(00:05:39) 俺のイメージですけど とても高いところが多いような気がします
(00:05:47) 多分ですけどね あまり高くないところももちろんあると思いますが
(00:05:55) なんとなく俺は その最後のバーみたいなお寿司屋さんは全部高いと思っています
(00:06:04) まあバーのお店が高いんじゃなくて回転寿司が安いだけかもしれませんけど
(00:06:10) さあこれがお寿司屋さんのいろいろな種類ですが
(00:06:16) テーマでリクエストのあった寿司の注文の仕方 一番難しいのはやっぱり最後のバーみたいな形のお寿司屋さんかなと思います
(00:06:30) 回転寿司は結構注文の仕方が簡単なんです なんでかというと
(00:06:37) まず自分のテーブルのところに来たお寿司 いろいろなお寿司が来るからそれを見て食べたいと思ったものを取るだけですから
(00:06:48) あまり難しくないです
(00:06:52) 食べたいお寿司、美味しそうなお寿司が自分の近くに来たらそれを取って食べて そして寿司が乗っていた皿はそのままテーブルの上に置いておきます
(00:07:05) そうすると最後にお店を出るときに店の人が皿の数を数えて そして全部でいくらか教えてくれます
(00:07:16) でも 最後に言ったあのバーの形の寿司屋
(00:07:22) そのバーの形のことをカウンターって言うんですけど カウンターで食べる寿司っていうのは
(00:07:30) お客さんが注文してから寿司を作るから 回転寿司みたいに食べたいものだけを取るということができません
(00:07:42) じゃあどうするかというと お店に行ってカウンターの席に座ったら
(00:07:49) 多分自分の前とかすぐ近くにお店の人がいるから その人に自分が食べたいものを注文します
(00:07:59) この時に ちょっと大変かもしれないけど
(00:08:03) 魚の名前を覚えていないと注文することができません 例えば
(00:08:09) 一番有名っていうか どこのお店に行ってもあるお寿司といえば
(00:08:16) マグロです マグロという魚の寿司
(00:08:22) でもマグロって言っても あのマグロってとても大きい魚なんですけど
(00:08:28) 魚の 体の場所によって名前が違います
(00:08:35) 例えばそのマグロの体のとても赤いところだと 普通にマグロくださいというだけで多分わかると思うんですけど
(00:08:48) それだけじゃなくてもう少し油が多いところだと名前が変わります トロっていう名前になります
(00:08:59) あと他にも マグロの切り方を変えたりちょっと寿司の形を変えたりすると
(00:09:08) 別の名前の寿司になります ですからそのカウンターの寿司のお店に行くときは
(00:09:17) 魚の名前とかあとはその寿司の 名前形が変わると名前が変わりますから
(00:09:26) その名前を覚えていってそして注文します もしかしたら
(00:09:33) 外国の人のための店だったらその魚の写真とか あとは寿司の写真とかそういうものがたくさんあるかもしれませんから
(00:09:45) お店の人にちょっと 何か寿司の写真とかありませんかって聞いてみるといいかもしれません
(00:09:54) それか何もなかったら 絵とか写真が何もなくてそして魚の名前もわからない
(00:10:03) そういう時はお店の人に何かおすすめの 寿司をくださいって言ったら
(00:10:11) あの美味しいものをいろいろ 作ってくれると思います
(00:10:17) その時に嫌いなもの例えば タコがあまり好きじゃありませんとか
(00:10:25) 私は貝を食べることができませんとかそういうふうに自分が嫌いなものを言っておくと 多分
(00:10:33) 自分が好きな魚とか あとは魚じゃなくてもちょっと別のものを使った寿司を作ってくれると思います
(00:10:43) 俺も寿司屋に行くとあの魚はだいたい食べるんですけど 魚の他の寿司
(00:10:51) 例えばイカタコ あといろいろな貝ですね
(00:10:57) そういう寿司ってあまり食べないんですよ なので寿司屋に行く前には
(00:11:03) あの 注文するために魚の名前を覚えて
(00:11:09) それから行くか
(00:11:12) それか あの魚の名前全部覚えるのはちょっと大変なので自分が食べられないもの
(00:11:20) 嫌いなものとかそれだけ覚えてお店の人にちょっと私の嫌いなもの 以外でおすすめのものをくださいというふうに言うときっといろいろ美味しいお寿司を
(00:11:34) 作ってくれます このカウンターの寿司の店
(00:11:39) さっき あのちょっと高いイメージがあるというふうに言いましたけど
(00:11:45) 多分 高いけど
(00:11:48) 他の寿司 あの他の店の寿司スーパーとかあとは回転寿司とか
(00:11:56) そういうところよりもすごく美味しいと思います スーパーでもコンビニでも回転寿司でも
(00:12:04) だいたいのところは 最初にたくさん作っておいてそしてそれをお客さんが取って食べるんですけど
(00:12:14) このカウンターのお店だとお客さんが注文してから寿司を作ります だから作ってからあまり時間が経っていない寿司なのでとても美味しいと思います
(00:12:28) 高いけど なので
(00:12:31) 美味しい寿司が食べたい人はちょっとね難しいかもしれませんけど ぜひそのカウンターの
(00:12:40) ちょっと高い良いお寿司を食べてみてください ちなみに俺はカウンターの寿司はほとんど食べたことがありません
(00:12:49) 子供の時に1回か2回ぐらい行ったかなぁ 多分そのぐらいかなぁ
(00:12:56) 大人になってからは全然行ったことがありません いつも安い回転寿司です
(00:13:02) これを聞いている人でカウンターの寿司を食べに行った人がいたら どうだったかっていうのをぜひ教えてください
(00:13:10) あと回転寿司カウンターの店よりも あまり美味しくないかもしれませんけど回転寿司は
(00:13:19) 回転寿司でいろいろなものがあってそして楽しいと思うので こっちもおすすめはおすすめです
(00:13:27) 寿司に興味がある人はぜひ行ってみてください
(00:13:32) それじゃあ今日はお寿司屋さんの注文の仕方というお話でした 皆さんもこれを聞いたらぜひお寿司屋さんにチャレンジしてください
(00:13:43) では今日はこの辺で終わりましょうさようなら
