ep. 029 - ミニマリズム(N2)

みなさんこんにちはTOMOです。これは日本語を勉強している人のためのポッドキャストです。
教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします。
テーマはリクエストすることもできます。 リクエストがある人はツイッターやインスタグラムメールなどで連絡をください。
だんだんこのポッドキャストも聞いてくれる人が多くなってきたみたいで 合計再生回数
あの今までこのポッドキャストが何回聞かれたかっていうその数字なんですけど それが
もうすぐ3万ぐらいになりますありがとうございます たくさんの人に聞いてもらえると俺もこのポッドキャストを頑張ろうと思えるので
これからもよろしくお願いします よろしくついでに
皆さんからの応援のメッセージとか あとは
リクエストもそうですし あとアップルのポッドキャストで聞いている人は
評価とかあとはレビューを書いてくれるととても嬉しいです 皆さんがこのポッドキャストについていいと思っているところとか
直してほしいところもっと良くしてほしいところなどあったらいろいろ書いてください それじゃあ今日のテーマですが今日もリクエストをもらっています
今日のテーマは ちょっと難しいんですけど
ミニマリズムについて 話してくださいっていうことでした
このリクエスト前もリクエストをくれたバータさんというベトナムの方なんですけど すごい日本語上手な人で
日本語でいろいろなテーマのリクエストをくれるんですが テーマも
ちょっと難しいっていうか 単純ではないテーマをリクエストしてくれる方ですね
で今日のこのリクエストのテーマがどうしてちょっと難しいって言ったのかというと あの
なんかこういうことがすごく多くて申し訳ないんですけど ミニマリズムっていうのを
俺は知らなかったんですよ だから
ちょっとバータさんのメッセージを紹介すると 日本人はベトナム人のイメージの中で
ミニマリズムという文化がとても有名だそうです で
この バータさん曰く
世界の多くの国でも そういうイメージがあるんじゃないかと思いますとのことです
なので日本人のその文化について聞きたいですっていうことだったんですが
日本人にそんな文化があるのを 恥ずかしながら知らなかったんです
日本人はミニマリズムだそうです じゃあですねこのミニマリズムっていうのが何なのかというと
あの俺も知らなかったからね 他の人も知らない人がいるかもしれないのでちょっと説明しますね
説明って言っても俺も知らなかったからインターネットで調べたことをそのまま 言うだけなんですけど
えっと ウィキペディアとかちょっと見てみますと
ウィキペディアってみんな多分わかると思うんですけど インターネットのいろいろなことが載っている
百科事典ですがミニマリズムっていうのは 完成度を追求するために装飾的趣向を凝らすのではなく
むしろそれらを必要最小限まで省略する表現スタイルだそうです ちょっと説明も難しいですね
簡単に言うと 何かこう何か作ったりするときとかあとは自分の服とかのファッションとか
そういうものをかっこよくしたり綺麗にしたり そういうのをするときにいろんなものを使って飾ったりするんじゃなくて
その反対でできるだけものを少なくして本当に必要なものだけ もういらないものは全部使わないっていうのが
このミニマリズムっていうものだそうですね
まあ確かに言われてみたらあの日本では そのいらないものをできるだけ使わないっていう考え方をいいと思う人はたくさんいる
ような気がします そのいらないものを捨てるっていうのだと似てる言葉だと
断捨離っていうのがちょっと前にすごく流行ったような気がします ちょっと俺は日本にいなかった期間があるのでその日本にいなかったとき
日本がどうだったかっていうのはあんまり知らないんですけど 断捨離っていうのは
まあこれも簡単に言うといらないものをどんどん捨てることです
例えばあまり使わない服とか
もう読まなくなった本とか昔使ってたけど今は使わないものとか そういうものを大事に取っておくんじゃなくて
いらないものはもう使わないものはどんどん捨てるっていうのが断捨離だったと思います まあ他にも
あのちょっとこれはミニマリズムと違うかもしれないんですけど 日本の昔からあるものっていうのはシンプルなものが多いんじゃないかなという気は
しますね 例えば日本だと
あの茶道 お茶ですね
お茶を作ってお客様に出すっていう そういう文化もあるんですけどそれもお茶をする部屋っていうのは
あまり余計なものがない 小さいあの狭い部屋でそして
部屋の中には あまり余分なものは置いてなくてちょっとこう
掛け軸かなんかがかけてあって掛け軸っていうのは 昔の
絵とか字とかを書いてかけておくものなんですけどそれとあと少し花とかがあって それだけ
テーブルとか椅子とかは何にもないんです そういう部屋でお客様をもてなすっていうのが昔から日本にあるお茶の文化です
だからやっぱり日本人ってもしかしたらあの 余分なものはいらない本当に必要なものだけっていうのが好きな
国民なのかもしれませんね じゃあちょっと話がされましたけどミニマリズムの方に戻りますね
ミニマリズム まあいらないものは
使わない本当に必要なものだけ 最近の日本人の好きなものとかを見ると確かに
シンプルなものが本当に多くなったなっていうような気がします わかりやすいものだと服とかですね
日本人がよく着る服って言うと 昔はあんまり多くなかったんだけど最近はユニクロとかGUとか
その服がすごく多くなったような気がします でこのユニクロとかGUの服っていうのは本当にシンプルです
あんまり絵とかも書いてなくて色が一つだけみたいな服 そして日本人は
あの もったいないっていう言葉は結構世界で有名らしいんですけど
その物を無駄にするっていうことに対して 抵抗があるっていうか
無駄にするのは良くないっていうような考えが強いので なので
あんまり物を買いすぎず少ないもので
できるだけ良い組み合わせを探して そして良いものを作るっていうのが
日本人の好みに合ってるのかなというふうにちょっと思いました 思いましたっていうだけで完全に俺の意見ですけどね
本当に日本人がみんなそう思ってるかどうかわかんないですけど
とにかくそれがねこのミニマリズムっていうのを聞いて俺が思ったことです
さあこのミニマリズム 最初に言った通りちょっと難しいテーマですね
なんで難しいかというと俺がミニマリズムっていうものについてあまりよく知らないから だんだん喋ることがなくなってきたっていうことですね
