ep. 029 - ミニマリズム(N2)

(00:00:00) みなさんこんにちはTOMOです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:12) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします。
(00:00:23) テーマはリクエストすることもできます。 リクエストがある人はツイッターやインスタグラムメールなどで連絡をください。
(00:00:32) だんだんこのポッドキャストも聞いてくれる人が多くなってきたみたいで 合計再生回数
(00:00:42) あの今までこのポッドキャストが何回聞かれたかっていうその数字なんですけど それが
(00:00:50) もうすぐ3万ぐらいになりますありがとうございます たくさんの人に聞いてもらえると俺もこのポッドキャストを頑張ろうと思えるので
(00:01:02) これからもよろしくお願いします よろしくついでに
(00:01:08) 皆さんからの応援のメッセージとか あとは
(00:01:14) リクエストもそうですし あとアップルのポッドキャストで聞いている人は
(00:01:21) 評価とかあとはレビューを書いてくれるととても嬉しいです 皆さんがこのポッドキャストについていいと思っているところとか
(00:01:33) 直してほしいところもっと良くしてほしいところなどあったらいろいろ書いてください それじゃあ今日のテーマですが今日もリクエストをもらっています
(00:01:45) 今日のテーマは ちょっと難しいんですけど
(00:01:51) ミニマリズムについて 話してくださいっていうことでした
(00:01:57) このリクエスト前もリクエストをくれたバータさんというベトナムの方なんですけど すごい日本語上手な人で
(00:02:08) 日本語でいろいろなテーマのリクエストをくれるんですが テーマも
(00:02:14) ちょっと難しいっていうか 単純ではないテーマをリクエストしてくれる方ですね
(00:02:23) で今日のこのリクエストのテーマがどうしてちょっと難しいって言ったのかというと あの
(00:02:32) なんかこういうことがすごく多くて申し訳ないんですけど ミニマリズムっていうのを
(00:02:38) 俺は知らなかったんですよ だから
(00:02:42) ちょっとバータさんのメッセージを紹介すると 日本人はベトナム人のイメージの中で
(00:02:52) ミニマリズムという文化がとても有名だそうです で
(00:02:58) この バータさん曰く
(00:03:01) 世界の多くの国でも そういうイメージがあるんじゃないかと思いますとのことです
(00:03:09) なので日本人のその文化について聞きたいですっていうことだったんですが
(00:03:15) 日本人にそんな文化があるのを 恥ずかしながら知らなかったんです
(00:03:24) 日本人はミニマリズムだそうです じゃあですねこのミニマリズムっていうのが何なのかというと
(00:03:32) あの俺も知らなかったからね 他の人も知らない人がいるかもしれないのでちょっと説明しますね
(00:03:40) 説明って言っても俺も知らなかったからインターネットで調べたことをそのまま 言うだけなんですけど
(00:03:47) えっと ウィキペディアとかちょっと見てみますと
(00:03:51) ウィキペディアってみんな多分わかると思うんですけど インターネットのいろいろなことが載っている
(00:03:58) 百科事典ですがミニマリズムっていうのは 完成度を追求するために装飾的趣向を凝らすのではなく
(00:04:07) むしろそれらを必要最小限まで省略する表現スタイルだそうです ちょっと説明も難しいですね
(00:04:17) 簡単に言うと 何かこう何か作ったりするときとかあとは自分の服とかのファッションとか
(00:04:27) そういうものをかっこよくしたり綺麗にしたり そういうのをするときにいろんなものを使って飾ったりするんじゃなくて
(00:04:37) その反対でできるだけものを少なくして本当に必要なものだけ もういらないものは全部使わないっていうのが
(00:04:49) このミニマリズムっていうものだそうですね
(00:04:54) まあ確かに言われてみたらあの日本では そのいらないものをできるだけ使わないっていう考え方をいいと思う人はたくさんいる
(00:05:06) ような気がします そのいらないものを捨てるっていうのだと似てる言葉だと
(00:05:14) 断捨離っていうのがちょっと前にすごく流行ったような気がします ちょっと俺は日本にいなかった期間があるのでその日本にいなかったとき
(00:05:26) 日本がどうだったかっていうのはあんまり知らないんですけど 断捨離っていうのは
(00:05:32) まあこれも簡単に言うといらないものをどんどん捨てることです
(00:05:39) 例えばあまり使わない服とか
(00:05:45) もう読まなくなった本とか昔使ってたけど今は使わないものとか そういうものを大事に取っておくんじゃなくて
(00:05:55) いらないものはもう使わないものはどんどん捨てるっていうのが断捨離だったと思います まあ他にも
(00:06:04) あのちょっとこれはミニマリズムと違うかもしれないんですけど 日本の昔からあるものっていうのはシンプルなものが多いんじゃないかなという気は
(00:06:16) しますね 例えば日本だと
(00:06:20) あの茶道 お茶ですね
(00:06:23) お茶を作ってお客様に出すっていう そういう文化もあるんですけどそれもお茶をする部屋っていうのは
(00:06:33) あまり余計なものがない 小さいあの狭い部屋でそして
(00:06:40) 部屋の中には あまり余分なものは置いてなくてちょっとこう
(00:06:47) 掛け軸かなんかがかけてあって掛け軸っていうのは 昔の
(00:06:53) 絵とか字とかを書いてかけておくものなんですけどそれとあと少し花とかがあって それだけ
(00:07:02) テーブルとか椅子とかは何にもないんです そういう部屋でお客様をもてなすっていうのが昔から日本にあるお茶の文化です
(00:07:14) だからやっぱり日本人ってもしかしたらあの 余分なものはいらない本当に必要なものだけっていうのが好きな
(00:07:23) 国民なのかもしれませんね じゃあちょっと話がされましたけどミニマリズムの方に戻りますね
(00:07:33) ミニマリズム まあいらないものは
(00:07:37) 使わない本当に必要なものだけ 最近の日本人の好きなものとかを見ると確かに
(00:07:47) シンプルなものが本当に多くなったなっていうような気がします わかりやすいものだと服とかですね
