ep. 031 - ペラペラになるまでの勉強時間は？(N3)

(00:00:00) 日本語を勉強している人のための ポッドキャストです 教科書の日本語は面白くない
(00:00:14) でもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:22) テーマはリクエストすることもできます リクエストがある人はメールやツイッター
(00:00:28) インスタグラムなどで連絡をください 今日もテーマのリクエストをもらっています
(00:00:35) 今日のテーマは どのくらい日本語を勉強したら日本語がペラペラになるかということです
(00:00:45) 今日のテーマはブラジルの ジーズルさんと読むのかな
(00:00:50) ジーズルさんからいただきましたありがとうございます さあそれじゃあどのくらい勉強したら日本語がペラペラになるかっていうテーマです
(00:01:01) ちょっと今日のテーマはあれですね 日本語教師らしいテーマですね日本語の勉強についてです
(00:01:10) じゃあこのペラペラっていうのが今日のテーマですが まずはペラペラっていうのが
(00:01:17) どんな状態なのかっていうのをちょっと確認しましょう みんなもペラペラっていう言葉は聞いたことがあるかもしれないけど
(00:01:27) ペラペラっていうのは 外国語がとても上手に話せることですね
(00:01:34) ただ日本語がとても上手に話せるって言っても 結構
(00:01:41) その上手っていうのがどのくらいのレベルなのかは人によって違うと思うんですよ
(00:01:49) で 特に
(00:01:52) その日本語を勉強している人が日本に来たりとか 留学生として日本で日本語を勉強している人が日本人と話すと
(00:02:03) 結構よく 日本語上手ですねって言われると思うんですよ
(00:02:09) あの俺の学校の学生もよく言われるそうです 多分これを聞いている人も日本で日本語上手ですねって言われたことがあるっていう
(00:02:19) 人多いんじゃないかなと思います でもちょっとここで問題があって
(00:02:26) その 日本人に言われる日本語上手っていうのと
(00:02:32) 皆さんが自分で考える日本語上手っていう その2つの間に結構
(00:02:41) 違いがあるみたいなんですよね うちの学校の学生だと大体どのくらい日本語を勉強していると日本語上手ですね
(00:02:52) って言われるかというと あんまり勉強時間長くなくても上手って言われるんですよ
(00:03:01) だいたい3ヶ月くらい勉強していたら よく学校の外で日本語上手ですねって言われるみたいです
(00:03:12) でも言われる方からすると まだまだ3ヶ月なんて
(00:03:19) あの教科書は初級の教科書 まだ日本語の勉強を始めたばかりの教科書なので
(00:03:27) 学生たちは自分ではいやいやまだまだ全然自分は日本語上手じゃないですよ と思うみたいなんですよ
(00:03:36) 知らない言葉もたくさんあるしあの 言いたくても言えない難しいこともたくさんあるし
(00:03:43) こんなんじゃ全然上手じゃないっていうふうに思うみたいですね なのでどのくらい勉強したらペラペラになるのかっていう話なんですけど
(00:03:54) 結構ね 人によります
(00:03:57) 日本語の勉強について何も知らない日本人は あんまり難しいことを話せなくてもあなた日本語ペラペラだねって言うかもしれません
(00:04:08) でも 勉強している外国人にとっては
(00:04:14) やっぱり言えないことがたくさんあったりとかわからない言葉が多いっていうのは 自分ではペラペラだとは思えないと思うんですよ
(00:04:24) ってことでですねちょっとこうどのくらい勉強したら 完全にペラペラって言えるかっていうのは
(00:04:32) 人によって違うので少し難しいんですけど まあ
(00:04:37) 日本に来てペラペラって言われる その他の人に言われるのとあとは自分でも
(00:04:45) 日本語上手になったなって思えるそのレベルの真ん中ぐらいだとどのくらいかっていうのを
(00:04:54) 考えてみようかなと思います じゃあまずね日本でいろんな人に日本語上手だねペラペラだねって言われるレベルは
(00:05:03) どのくらい勉強したらいいのかっていうと だいたい初級が終わる初級っていうのは
(00:05:12) その日本語の勉強を始めてからあまり時間が経ってない簡単なレベルです その初級が終わるのがどのくらいなのかっていうと
(00:05:24) 早い人で 3ヶ月ぐらいです
(00:05:29) まあこれは毎日学校に来て 学校で2時間とか3時間とかそのくらい勉強する人
(00:05:38) 毎日学校で2、3時間勉強して 少し早く教科書を進めていったらだいたい3ヶ月くらいで初級の教科書
(00:05:48) 一応ね最初から最後まで勉強することはできます まあ1回教科書勉強したらすぐに覚えることができるわけじゃないので
(00:05:59) それだけじゃねあの教科書の勉強全部終わったとは言えないけど でも3ヶ月くらい勉強すると
(00:06:08) 一応日本人に上手だねって言われるレベルにはなると思います まあこれは学校で毎日勉強している人だから
(00:06:18) うちで自分で勉強している人とか 毎日じゃなくて1週間に2日とか3日ぐらいしか勉強しない人はもっと長い時間
(00:06:28) かかると思います 半年とか
(00:06:32) まあ1週間に1回ぐらいだったら1年ぐらいかかるかもしれませんね ちなみにうちの学校では
(00:06:40) 初級の教科書3ヶ月じゃ終わりません もっと長い時間かかります
(00:06:47) 早くても半年 遅い時は1年はかからないけど1年近く
(00:06:55) まあ10ヶ月とかそのぐらいかかる時もあります
(00:07:01) じゃあこれが 日本に行って日本人に日本語上手ですねって言われるレベル
(00:07:08) すっごい早い人だと3ヶ月くらい ゆっくり勉強する人だったら1年ぐらい
(00:07:15) でも このレベルって
(00:07:19) たぶん 上手だって言われても自分ではまだまだ上手じゃないっていうふうに思うレベル
(00:07:27) かもしれません 簡単な話はできるけど難しい言葉はまだよくわからないし
(00:07:35) 言いたくてもうまく言えないこともたくさんあると思います じゃあもっと難しい話ができるのはどんなレベルなのかっていう
(00:07:44) と 初級じゃなくて
(00:07:48) 中級って言われるレベルです 中級の中は
(00:07:53) あの中国の中 中っていう字ですね
(00:07:58) だから初めてすぐのレベルじゃなくて真ん中のレベルです 一番下じゃないけど一番上でもない真ん中のレベルが中級
(00:08:09) じゃあこの中級レベルになるにはどのくらい勉強したらいいのかっていう話ですね 中級のレベルの本が終わるのにかかる時間
(00:08:21) これももちろん人によりますが すっごく早く進めて
(00:08:27) だいたい3ヶ月から半年ぐらい これも学校に行って毎日勉強している人の話ですよ
(00:08:37) 勉強の時間が1週間に2、3回ぐらいの人はもっと長いと思います だから1年とかもしかしたらもっと長い時間
(00:08:47) なので初級の本から始めて中級の本まで全部ちゃんと勉強したかったら 学校に行って毎日たくさん勉強している人でも半年以上
(00:09:00) 日本語の勉強をゼロから始めて半年で中級まで全部っていうのは かなり難しいと思います
(00:09:10) まあ国によってはねできる人もいると思いますけど 例えば韓国の人とかね
(00:09:17) 韓国語って 日本語と文法がすごく似てるから韓国人は日本語が上手になるのが早いっていう話を
(00:09:25) よく聞きます あとは俺の知り合いで
(00:09:30) 台湾人、中国語を話す人 その人も
(00:09:35) 1年ぐらいで JLPTのN1に合格したって言ってました
(00:09:42) 中国語がわかる人は漢字がわかるし 日本語と中国語とで
(00:09:49) 似てる言葉もあるのでちょっと他の 他の国の人よりも言葉を覚えやすいみたいですね
(00:09:59) なのでこういう人たちはもしかしたら毎日たくさん勉強してれば 1年もしないで中級レベルになるかもしれませんが
(00:10:09) そうじゃない人はもう少し時間がかかって1年とか 2年とかそのぐらい時間はかかると思います
(00:10:19) じゃあそろそろ話のまとめに入りますが どのくらい勉強したら日本語がペラペラって言えるのか
(00:10:28) 他の人に言われるんだったら 早ければ3ヶ月くらい
(00:10:33) 遅くても半年ぐらい勉強して日本に来ると 日本語上手だねと言われるかもしれません
(00:10:42) でも自分ではまだまだ上手だとは思えないと思うので 自分でも日本語がちゃんと話せるようになったなって思うのは中級レベルがしっかりできる
(00:10:55) ようになってから 中級レベルがちゃんとできるのは
(00:11:00) 長い人だとやっぱり2年ぐらいかかると思います ただちょっと注意なんですけど
(00:11:08) これは本当に人によります どのくらい勉強したら日本語が上手になるかっていうのはみんな違います
(00:11:19) もちろん国によっても違うけど 同じ国の人でもすぐ上手になる人もいるし
(00:11:26) なかなか上手にならない人もいます 俺の学校でも同じ国の人で
(00:11:33) 同じ日に入学して卒業するときに n 2 jlpt の n 2に合格してすごく上手になる人もいるし
(00:11:43) 卒業するときにまだ n 3にも合格できない 中級じゃなくてまだ初級ぐらいっていう人もいます
(00:11:53) なので 2年勉強したら絶対に上手になるというわけじゃないし逆に
(00:12:01) 2年も勉強しなくても1年とかもしかしたら半年とかですごく上手になって ペラペラになる人もいるかもしれません
(00:12:12) だからあんまりねどのくらい勉強したかっていう時間を 気にしすぎない方がいいと思います
(00:12:22) どんなことにも自分のペースっていうものもあるし あとは得意不得意っていうのもあるので
