ep. 032 - 早い日本語!listening practice!(N4)

みなさんこんにちは、ともです。これは日本語を勉強している人のためのポッドキャストです。
教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のともが、ちょうどいい日本語で話をします。
話のテーマはリクエストすることもできます。 TwitterとかInstagram、メールなどで連絡をください。
今日はちょっといつもと話し方が違います。 何が違うかというと、話すのがとても早いです。
みなさん日本語を勉強していて、日本人が話すのはとても早いとか、 日本に行って日本人と話をしたけど早すぎてわからなかったということがありませんか?
俺の学校の学生もよく日本人の日本語は早すぎてわからないと言っています。 どうして外国語ってあんなに早く聞こえるんでしょうね。
俺も理由ははっきりわかりませんが、 理由の一つは多分
日本語を勉強しているとき、 日本語の教科書でいつもゆっくりな遅い簡単な日本語を聞いているからじゃないかなと思います。
なので今日はちょっと早い日本語で話してみようと思います。 どのくらい早いかっていうと、これは俺が普通の友達と話すときの日本語と同じです。
完全に同じです。 これが普通の日本語のスピードです。
でも普通の日本語と少し違います。 違うところは
言葉が簡単です。 文法も簡単です。
早いけど簡単な日本語です。 日本人が話す普通の日本語は早くて言葉も難しくて文法も難しい
だからわからないという人が多いと思います。 でも俺の日本語は
早いだけです。 言葉も文法も簡単です。
だから早い日本語を聞く練習になると思います。 今日はね普通の速さの日本語でちょっと難しいかもしれませんが、言葉はとても簡単です。
タイトル通りN4ぐらいの言葉とか文法だけで話します。 ですから頑張って聞いてみましょう。
それで今日話すテーマは 一つだけじゃなくて
ちょっとねいろいろなことについて話したいと思います。
何について話すかというと 今週のニュースです。
今週もいろいろニュースがありましたが インターネットで見た面白いニュースをいくつか皆さんに紹介したいと思います。
それじゃあまず一つ目のニュース。 一つ目は警察のニュースですね。
警察の人が東京のコンビニのトイレに 拳銃を置き忘れたというニュースです。
拳銃っていうのは ピストル、ガンです。
警察の人がコンビニのトイレにこの拳銃を忘れたっていうニュースです。 怖いですね。
ニュースによると警察の人がトイレに入って そしてその時に拳銃を取って
トイレに置いたそうです。 そしてトイレを出る時にそのまま忘れてしまって
警察に帰った。 そしてその後で
コンビニの人が 警察に
拳銃が ありますよっていうふうに連絡をしたそうです。
すごいですね。 あの誰も持っていかなくてよかったですね。
ちなみにこれは東京のニュースです。
それじゃあ2つ目。 2つ目のニュース
これは スポーツの話なんですが
ロシアの有名な フィギュアスケートの選手
ザギトワ選手。この人が スケートを辞めると言ったみたいですね。
正確には辞めるとは言ってないのかな。 活動停止。
ストップしただけなんだけど まあでも辞めるのと大体同じでしょう。
このザギトワ選手 確か以前
秋田の犬。 秋田犬をプレゼントされてましたよね。
それで あの
その犬を育てていたみたいなんですが、今回 スケートを辞めてしまうっていうことで秋田の人が残念だっていうふうに話していました。
はいそれじゃあ3つ目のニュース。 次のニュースは
水族館の話ですね。
日本の山口県っていうところにある 水族館で
珍しいタコが見られるそうです。 タコってみんなわかりますか?
あの タコ焼きは知ってるかな?日本の有名な食べ物です。
タコっていうのは 海の中にいるんですが魚じゃありません。
魚じゃなくて なんて言えばいいかな?あの足が8本ある
とても体が柔らかい 生き物です。
危ないことがあると口からスミ 黒い水を出してそして危ないところから逃げる
その生き物なんですが 普通はこのタコっていうのは
色が白じゃありません。 だいたいね茶色
茶色の体で そしていつも茶色なんじゃなくて
体の色がよく変わるんです。 周りの色と
同じ色になります。 例えば食べるものを取るときに
自分の周り 周りにあるものと同じ色になって
そして 他の生き物からちょっとわからないように
変わるんです。 そして食べ物を取ったりとか
あとは 危ない他の生き物から逃げるために
色を変えたりとかもします このタコを食べる大きい魚とかもいるんですけど
タコは自分の体の色を変えることができるから 他の魚が
見てもタコがどこにいるかわかんないんですよ でそれが普通のタコなんですけどこの水族館にいるのは
白いタコ 体の色が全然変わらない真っ白なタコなのでとても珍しいそうです
水族館の人は
食べ物を取ったりとかあとは他の危ない生き物から逃げたりするのが大変だから きっとこのタコは生活が大変だったと思いますよと話しているみたいですね
はいじゃあ今日は3つニュースの話をしました 今週あったいろいろなニュース
とても早く話しましたがわかりましたか まだ早い日本語を聞くのに慣れてない人はちょっと難しいかもしれませんが
難しい言葉は全然使っていないので わからなかった人は何回も聞いて聞く練習をしてください
このくらい早い日本語がわかるようになったら JLPTのN4とかあとは学校で勉強している日本語の本とか
そういう問題は多分とても簡単になると思います このくらい早く話す日本語どうでしょう
もっとたくさん聞きたいですかそれとも まだ難しすぎるからもう少しゆっくりな方がいいですか
皆さんの意見も聞かせてください もし早い日本語がもっと聞きたいっていう人が他にもいたらまたこうやって
簡単な言葉だけで早く話すエピソードも作りたいと思います それじゃあ今日はこの辺で終わりましょう皆さんさようなら
