ep. 035 - 敬語(N3)

みなさんこんにちはTOMOです これは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教授のTOMOがちょうどいい日本語で話をします
テーマはリクエストすることもできます リクエストがある人はメールやツイッターインスタグラムなどで連絡をください
今日もリクエストをもらっています 今日は
敬語について話してくださいということで インドのクシャグラさんという方から
リクエストをもらいました クシャグラさんありがとうございます
敬語はやっぱり どこの国の人でも
日本語を勉強している人は難しいって言いますね 実は俺も敬語の勉強は昔しました
日本人ですけど敬語があまり話せなかったんです
これね多分俺だけじゃなくてあの 結構いろんな日本人がそうだと思うんですけど
敬語が 大人になるまでちゃんと話せなかった人って多いと思うんですよ
やっぱりね日本人でも 敬語は子供の時はみんな話せないんですよ
じゃあいつ敬語を覚えるのかっていうと まずね
あの 中学生ぐらいの時に
小学生でもやるかな ちょっと覚えてないんですけど中学生は絶対やると思うんですけど
中学生の時に学校の 国語っていう日本語の授業ですね
その授業で敬語を勉強します
外国人とかその 日本語を勉強している人がやるのと同じような敬語の勉強するんですよ
だから謙譲語とか尊敬語とかね
でその時に学校で勉強はするんですけど でも
やっぱりまだ中学生ぐらいだと
学校の先生と話す時とかも あんまり敬語を使わないんですよ
家で話す時はもちろん使わないし あの学校でも使わないしあと中学生だから仕事もしてないから
だから敬語を使う機会っていうのが全然ありません なので
あの あんまりねまだ
中学生ぐらいだとあの 敬語が話せません
じゃあ日本人はいつ敬語を覚えるのかっていうと 俺の場合は大学生になってからです
多分ね他の人もそうだと思うんですけど
敬語を使い始めるのはやっぱり仕事の時 つまりアルバイトですね
アルバイトを始めるとお客さんと話す時に敬語を使わないと失礼になっちゃうから だからその時に敬語を覚えます
高校生とか大学生でアルバイトをしないっていう人も たまにいるのでそういう人は
多分会社に入ってからですかね まあもちろんちゃんと学校で勉強したりとか
あとは家でお父さんお母さんにこう 正しい言葉を話しなさいって言われている人は
敬語を覚えるかもしれませんけど でも友達と話すときは
敬語を話す人ってほとんどいないので やっぱり仕事が始まってから覚えると思います
さあそれじゃあ日本人でも難しいこの敬語ですが 敬語ってどうして勉強しなければならないと思いますか
もちろんね仕事の時に丁寧に話さなければいけないからっていうのも理由の一つです ですが
それだけじゃなくて 敬語を勉強しておくと
敬語を 使った方がいい時と使わない方がいい時っていうのもわかるんです
まあ一番わかりやすいのはやっぱり友達ですよね 友達と話すときは
あの特にとても仲がいい友達 その友達と話すときは
敬語を使わない方がいいっていう人も
います もちろん敬語は悪いものじゃないから悪い言葉じゃないから
いつでも丁寧に話しているのはいいことだっていうふうに考える人もいますけど そうじゃなくて
仲がいい友達なんだから敬語はやめて普通の言葉で話した方がいいと思う人もいます だから仲がいい友達は普通の言葉
そうじゃない人は敬語 というふうに2つの言葉を使い分けるんです
それができるようになると 他の人が
自分に話すときにどんな言葉を使っているかというのがよくわかるようになります そしてそれがわかると
自分が他の人にどう思われているのかっていうのが ちょっとねわかるようになります
例えば 日本人のね
友達とかあとは あのアルバイトが同じ人とか
会社の同僚とか そういう人が
他の人には 普通の言葉で話しているのに自分にだけ敬語を使っていたらそれはどうしてなのか
考えられるのは2つです 一つは
その人が自分のことをとても尊敬している 上の人だと思っている
もう一つは まだちょっと自分とはあまり仲良く話せないと思っている
その2つのどちらかかなと思います 例えば
同じ趣味の何かクラブとかサークルとかに入って 他の人はみんな普通の言葉で話しているのに自分と話すときだけ
みんな敬語になる そういう時は
もしかしたらちょっと
まだあの人とは 仲良く話せないっていうふうに思ってるかもしれません
これは嫌いっていう意味じゃないですよ まだそんなに仲がいい友達じゃないから
敬語を使わないと失礼だっていうふうに思われているのかもしれないっていうことです
だから もし仲良くなりたい人が
自分に敬語を使って話していたら ちょっと
距離がある まあつまり
距離があるって 遠いっていう意味ですけど
遠いって本当の場所のことじゃないですよ 気持ちの問題です
自分の気持ちとその人の気持ちがまだ遠い あまり仲がいい友達じゃないって思われているかもしれないから
だから 敬語を勉強しておけばあの人は自分に敬語を使ってる
だからまだちょっと距離があるかもしれない じゃあもう少しいろいろ話してみて仲がいい友達に
なれるように頑張ってみようっていうふうに考えることもできますね ちなみに日本人は
大人になると最初はだいたいみんな敬語で話します ですが仲良くなってくると
いい友達になってくると途中でもう敬語で使うのやめないとか 普通の言葉で話そうっていうふうに言ったりします
そしてその後から敬語をやめて普通に話します この普通に話すことを
ため口と言います だから
敬語をやめてほしいって思った時に ため口でいいよとか
敬語をやめてため口で話さないっていうふうに言ったりします ため口じゃなくてため語っていう人も時々いるかな
俺はあまり言わないんですけど 敬語ため語っていうふうに普通の言葉と丁寧な言葉ですね
それじゃあさっきも言った通り敬語っていうのは日本人でも難しいんです でも
なぜ敬語を勉強しなければならないか 敬語がわかると
仕事の時に役に立つっていうのもあるんですけどそれだけじゃなくて 日本語で話すときの人間関係
それがわかりやすくなるし いい人間関係を作るときにも役に立つっていう
それがね敬語を勉強する理由です
難しくて大変だと思いますけどぜひ頑張って ちゃんと敬語が話せるように練習してください
まあこの敬語ってね難しいんですよね みんな俺の学校の学生もみんな難しいって言ってます
だから大変だなとかあまり勉強したくないなっていう気持ちはわかるんですけど
でも やっぱり役に立ちます
覚えておいたほうが絶対いいと思います 特に大人はそうですね
日本語の勉強を始めたばかりの時は 大人でも
あの外国の人だったら敬語が話せなくても多分大丈夫です でも日本語の勉強を始めて2年3年
日本の会社にも入って日本人と一緒に仕事をしている そういう人が全然敬語を話せないと
やっぱりちょっとイメージが悪いです この人は
