ep. 035 - 敬語(N3)

(00:00:00) みなさんこんにちはTOMOです これは日本語を勉強している人のためのポッドキャストです
(00:00:12) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教授のTOMOがちょうどいい日本語で話をします
(00:00:22) テーマはリクエストすることもできます リクエストがある人はメールやツイッターインスタグラムなどで連絡をください
(00:00:32) 今日もリクエストをもらっています 今日は
(00:00:36) 敬語について話してくださいということで インドのクシャグラさんという方から
(00:00:45) リクエストをもらいました クシャグラさんありがとうございます
(00:00:49) 敬語はやっぱり どこの国の人でも
(00:00:55) 日本語を勉強している人は難しいって言いますね 実は俺も敬語の勉強は昔しました
(00:01:03) 日本人ですけど敬語があまり話せなかったんです
(00:01:08) これね多分俺だけじゃなくてあの 結構いろんな日本人がそうだと思うんですけど
(00:01:17) 敬語が 大人になるまでちゃんと話せなかった人って多いと思うんですよ
(00:01:24) やっぱりね日本人でも 敬語は子供の時はみんな話せないんですよ
(00:01:33) じゃあいつ敬語を覚えるのかっていうと まずね
(00:01:39) あの 中学生ぐらいの時に
(00:01:43) 小学生でもやるかな ちょっと覚えてないんですけど中学生は絶対やると思うんですけど
(00:01:48) 中学生の時に学校の 国語っていう日本語の授業ですね
(00:01:56) その授業で敬語を勉強します
(00:02:01) 外国人とかその 日本語を勉強している人がやるのと同じような敬語の勉強するんですよ
(00:02:12) だから謙譲語とか尊敬語とかね
(00:02:18) でその時に学校で勉強はするんですけど でも
(00:02:23) やっぱりまだ中学生ぐらいだと
(00:02:28) 学校の先生と話す時とかも あんまり敬語を使わないんですよ
(00:02:36) 家で話す時はもちろん使わないし あの学校でも使わないしあと中学生だから仕事もしてないから
(00:02:45) だから敬語を使う機会っていうのが全然ありません なので
(00:02:51) あの あんまりねまだ
(00:02:56) 中学生ぐらいだとあの 敬語が話せません
(00:03:02) じゃあ日本人はいつ敬語を覚えるのかっていうと 俺の場合は大学生になってからです
(00:03:13) 多分ね他の人もそうだと思うんですけど
(00:03:17) 敬語を使い始めるのはやっぱり仕事の時 つまりアルバイトですね
(00:03:25) アルバイトを始めるとお客さんと話す時に敬語を使わないと失礼になっちゃうから だからその時に敬語を覚えます
(00:03:36) 高校生とか大学生でアルバイトをしないっていう人も たまにいるのでそういう人は
(00:03:44) 多分会社に入ってからですかね まあもちろんちゃんと学校で勉強したりとか
(00:03:51) あとは家でお父さんお母さんにこう 正しい言葉を話しなさいって言われている人は
(00:03:59) 敬語を覚えるかもしれませんけど でも友達と話すときは
(00:04:04) 敬語を話す人ってほとんどいないので やっぱり仕事が始まってから覚えると思います
(00:04:14) さあそれじゃあ日本人でも難しいこの敬語ですが 敬語ってどうして勉強しなければならないと思いますか
(00:04:25) もちろんね仕事の時に丁寧に話さなければいけないからっていうのも理由の一つです ですが
(00:04:34) それだけじゃなくて 敬語を勉強しておくと
(00:04:40) 敬語を 使った方がいい時と使わない方がいい時っていうのもわかるんです
(00:04:50) まあ一番わかりやすいのはやっぱり友達ですよね 友達と話すときは
(00:04:56) あの特にとても仲がいい友達 その友達と話すときは
(00:05:03) 敬語を使わない方がいいっていう人も
(00:05:08) います もちろん敬語は悪いものじゃないから悪い言葉じゃないから
(00:05:15) いつでも丁寧に話しているのはいいことだっていうふうに考える人もいますけど そうじゃなくて
(00:05:22) 仲がいい友達なんだから敬語はやめて普通の言葉で話した方がいいと思う人もいます だから仲がいい友達は普通の言葉
(00:05:35) そうじゃない人は敬語 というふうに2つの言葉を使い分けるんです
(00:05:42) それができるようになると 他の人が
(00:05:47) 自分に話すときにどんな言葉を使っているかというのがよくわかるようになります そしてそれがわかると
(00:06:00) 自分が他の人にどう思われているのかっていうのが ちょっとねわかるようになります
(00:06:10) 例えば 日本人のね
(00:06:13) 友達とかあとは あのアルバイトが同じ人とか
(00:06:19) 会社の同僚とか そういう人が
(00:06:22) 他の人には 普通の言葉で話しているのに自分にだけ敬語を使っていたらそれはどうしてなのか
(00:06:34) 考えられるのは2つです 一つは
(00:06:40) その人が自分のことをとても尊敬している 上の人だと思っている
(00:06:48) もう一つは まだちょっと自分とはあまり仲良く話せないと思っている
(00:06:58) その2つのどちらかかなと思います 例えば
(00:07:03) 同じ趣味の何かクラブとかサークルとかに入って 他の人はみんな普通の言葉で話しているのに自分と話すときだけ
(00:07:15) みんな敬語になる そういう時は
(00:07:19) もしかしたらちょっと
(00:07:24) まだあの人とは 仲良く話せないっていうふうに思ってるかもしれません
(00:07:32) これは嫌いっていう意味じゃないですよ まだそんなに仲がいい友達じゃないから
(00:07:40) 敬語を使わないと失礼だっていうふうに思われているのかもしれないっていうことです
(00:07:48) だから もし仲良くなりたい人が
(00:07:53) 自分に敬語を使って話していたら ちょっと
(00:07:58) 距離がある まあつまり
(00:08:02) 距離があるって 遠いっていう意味ですけど
(00:08:06) 遠いって本当の場所のことじゃないですよ 気持ちの問題です
(00:08:11) 自分の気持ちとその人の気持ちがまだ遠い あまり仲がいい友達じゃないって思われているかもしれないから
(00:08:19) だから 敬語を勉強しておけばあの人は自分に敬語を使ってる
(00:08:26) だからまだちょっと距離があるかもしれない じゃあもう少しいろいろ話してみて仲がいい友達に
(00:08:34) なれるように頑張ってみようっていうふうに考えることもできますね ちなみに日本人は
(00:08:43) 大人になると最初はだいたいみんな敬語で話します ですが仲良くなってくると
(00:08:52) いい友達になってくると途中でもう敬語で使うのやめないとか 普通の言葉で話そうっていうふうに言ったりします
(00:09:01) そしてその後から敬語をやめて普通に話します この普通に話すことを
(00:09:09) ため口と言います だから
(00:09:14) 敬語をやめてほしいって思った時に ため口でいいよとか
(00:09:20) 敬語をやめてため口で話さないっていうふうに言ったりします ため口じゃなくてため語っていう人も時々いるかな
(00:09:30) 俺はあまり言わないんですけど 敬語ため語っていうふうに普通の言葉と丁寧な言葉ですね
(00:09:40) それじゃあさっきも言った通り敬語っていうのは日本人でも難しいんです でも
(00:09:49) なぜ敬語を勉強しなければならないか 敬語がわかると
(00:09:55) 仕事の時に役に立つっていうのもあるんですけどそれだけじゃなくて 日本語で話すときの人間関係
(00:10:05) それがわかりやすくなるし いい人間関係を作るときにも役に立つっていう
(00:10:13) それがね敬語を勉強する理由です
(00:10:18) 難しくて大変だと思いますけどぜひ頑張って ちゃんと敬語が話せるように練習してください
(00:10:28) まあこの敬語ってね難しいんですよね みんな俺の学校の学生もみんな難しいって言ってます
(00:10:37) だから大変だなとかあまり勉強したくないなっていう気持ちはわかるんですけど
(00:10:44) でも やっぱり役に立ちます
(00:10:48) 覚えておいたほうが絶対いいと思います 特に大人はそうですね
(00:10:55) 日本語の勉強を始めたばかりの時は 大人でも
(00:11:01) あの外国の人だったら敬語が話せなくても多分大丈夫です でも日本語の勉強を始めて2年3年
(00:11:12) 日本の会社にも入って日本人と一緒に仕事をしている そういう人が全然敬語を話せないと
(00:11:20) やっぱりちょっとイメージが悪いです この人は
(00:11:25) 日本語が下手なのかそれともちょっと丁寧じゃない あまり良い人じゃないのかもしれないっていうふうに思われてしまうかもしれません
(00:11:36) だから知らない人とかにそういう悪いイメージを持たれてしまうと 日本で
(00:11:44) 生活したりとか日本に遊びに来たりとかそういう時に ちょっとね嫌な思いをしてしまうかもしれないので
(00:11:52) そういうのがなくなるためにもね あの頑張ってください
(00:11:58) 今日は 敬語の
(00:12:02) 使い方とか文法とかそういう話は全然しないで どうして敬語を勉強するのかっていうそんな話でしたけど
(00:12:12) またねリクエストがあったら じゃあ敬語の使い方とか文法とか
(00:12:20) そういうことの話とかもまたできたらいいなと思います これを聞いている人で敬語がうまく話せないっていう人
(00:12:28) そういう人は ぜひ俺に敬語で何かメッセージを送ってみてください
(00:12:34) やっぱりね最初にもちょっと言ったけど 日本人も学校で敬語を勉強しても
(00:12:41) 実際にそれを使わないとあまり話すことができません 仕事を始めて本当に敬語を使うようになって
(00:12:51) それで初めて敬語が上手になります なので皆さんもたくさん敬語を使ってたくさん練習して上手になってください
(00:13:02) それじゃあ今日はこの辺で終わりにしましょう さようなら
