ep. 036 - ものの数え方(N4)

(00:00:00) みなさんこんにちはTomoです
(00:00:08) これは日本語を勉強している人のためのポッドキャストです
(00:00:12) 教科書の日本語は面白くない
(00:00:15) でもドラマや映画は難しすぎる
(00:00:19) そんな人のために日本語教師のTomoがちょうどいい日本語で話をします
(00:00:26) 話のテーマはリクエストすることもできます
(00:00:29) リクエストがある人はツイッターやインスタグラムメールなどでメッセージをください
(00:00:37) 今日のテーマは物の数え方についてです
(00:00:43) このテーマはブラジルのアレクサンダーさんからリクエストをいただきました
(00:00:50) アレクサンダーさんありがとうございます
(00:00:54) ちなみにアレクサンダーさんはメッセージを送る時に
(00:00:58) 字じゃなくて声で送ってくれました
(00:01:03) 今インスタとかLINEとかあとFacebookのメッセンジャーとか
(00:01:10) そういうのだと字じゃなくて話をして
(00:01:15) そしてその声を送ることができますね
(00:01:19) アレクサンダーさんは声でメッセージをくれました
(00:01:23) このポッドキャストのタイトル 日本語で話しましょうっていう意味です
(00:01:29) こうやって皆さんと日本語でいろいろな話ができてとても嬉しいです
(00:01:36) それじゃあ今日はこの物の数え方というテーマですが
(00:01:43) これも日本語の勉強している人は
(00:01:47) 結構みんな難しいと言いますね
(00:01:51) 日本語は物を数えるときにいろいろな言葉を使います
(00:01:57) 日本語を始めてすぐに覚える言葉は例えば
(00:02:02) 紙を数えるときの1枚2枚とかの枚
(00:02:08) あとは長いものを数えるときは本ですね
(00:02:14) 1本2本3本
(00:02:17) あとは人を数えるときは1人2人3人4人
(00:02:25) 車とかの乗り物を数えるときは1台2台
(00:02:30) この枚とか台あとは人
(00:02:35) こういうものを数える言葉を助数詞と言います
(00:02:43) 結構いろいろな言葉
(00:02:45) 日本語だけじゃなくて他の国の言葉でも助数詞はあるんですけど
(00:02:52) 日本語は特に助数詞が多くて
(00:02:57) 今あまり使わない言葉も全部数えると助数詞が
(00:03:03) 400とか500ぐらいあるそうです
(00:03:08) もちろん日本人でも助数詞が全部言える人はいないと思います
(00:03:15) 俺もそんなにわかりません
(00:03:17) 100もわからないかもしれません
(00:03:21) そのくらいたくさんあるから
(00:03:23) 日本語を勉強する人にとって助数詞はとても難しい言葉です
(00:03:30) でも全部覚えなくても
(00:03:34) 例えば
(00:03:36) 子とかつものを数えるときの
(00:03:41) 1つ2つ3つ4つとか1個2個3個
(00:03:47) こういうよく使う言葉を覚えておけば
(00:03:51) 大体のものはそれで数えてもあまり問題がありませんから
(00:03:58) だから助数詞が難しい
(00:04:02) 嫌だ
(00:04:03) 日本語の勉強は嫌だと思わないでください
(00:04:07) ちょっとぐらい間違えても大丈夫ですからね
(00:04:11) だからたくさんあって難しい嫌だと思うより
(00:04:15) いろいろあって面白いと思ってもらえると嬉しいです
(00:04:22) それじゃあ今日はこの助数詞なんですが
(00:04:26) 難しいけどでも
(00:04:30) ちょっと面白い
(00:04:32) そんな助数詞をいくつか紹介したいと思います
(00:04:38) 助数詞は本当にたくさんあって
(00:04:42) 同じものでも
(00:04:44) いつどこで数えるかによって
(00:04:48) 助数詞が変わるときがあります
(00:04:53) 例えば
(00:04:54) これはJLPTの問題とかでも時々出るんですけど
(00:04:59) 飲み物を数えるとき
(00:05:02) じゃあ例えばビールとか
(00:05:05) ビールの数え方って
(00:05:07) 何だと思いますかビールの助数詞
(00:05:11) ビールの助数詞はいろいろあって
(00:05:16) 例えば
(00:05:18) 居酒屋とかレストランとかでビールを頼むとき
(00:05:23) メニューを見て
(00:05:24) お店の人にビールをくださいっていうときは
(00:05:28) ビールを一つとか二つという風に数えます
(00:05:34) そしてお店の人が持ってきたビールを数えるとき
(00:05:39) メニューの中じゃなくて
(00:05:43) グラスとかコップとか
(00:05:46) 持つところがある大きいグラスをジョッキと言いますが
(00:05:51) ジョッキの中に入っているビールを数えるときは
(00:05:54) 1杯2杯
(00:05:57) はいと数えます
