ep. 037 - 日本で働く(N1)

(00:00:00) みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:11) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のTomoがちょうどいい日本語で話をします。
(00:00:21) 話のテーマはリクエストもできます。リクエストがある人はSNSとかメールとかで連絡をください。
(00:00:29) ただ申し訳ないんですけどリクエストが多いときは 早かった人から順番にリクエストに答えていくので
(00:00:39) 時々ちょっと リクエストしたテーマが遅くなるときもあります。
(00:00:45) 気長に待っていてください。 今日もリクエストをもらっています。今日のテーマは
(00:00:52) 外国人が日本でできる仕事についてです。 ちょっとね外国人の
(00:01:01) 日本での仕事って結構 難しいというかいろいろあるんですけど
(00:01:07) いろいろあるからちょっと全部紹介するのはできないんですけど 日本で働きたいと思っている人ができる仕事
(00:01:16) 有名っていうか やってる人が多い仕事それについて今日は少し紹介できたらいいなと思います。
(00:01:26) それじゃあ最初に 仕事の種類とかどんな仕事があるかっていうことの前に
(00:01:34) 一つ確認しておかなければいけないことがあるんですけど それは何かっていうとビザ
(00:01:41) ビザについてです 日本で働きたい人は外国人はみんなビザをもらわないとできません
(00:01:51) ビザなしで働いたら捕まりますね捕まって あの国に帰らせられます
(00:02:00) なので 日本で働きたいって思っている人はビザを取らなきゃいけないんですけど
(00:02:07) じゃあ働くためのビザ就労ビザって言うんですけど 就労っていうのはその仕事をすることね
(00:02:16) その就労ビザってどんなものがあるのか 実は外国人が日本で働くっていうのは
(00:02:25) 結構大変なところがあって それは何かっていうとどんな仕事でもできるわけじゃないっていうことです
(00:02:36) できる仕事が結構限られています
(00:02:42) なんでかっていうと外国人がみんな日本に来て それでみんながどんな仕事でも自分の好きな仕事をしてしまったら
(00:02:53) 日本人の仕事がなくなりますね 日本なのに日本人が働けないで外国人だけ働けるっていうのはまずい状況なので
(00:03:03) 外国人ができる仕事って 基本的に専門的なもの
(00:03:11) 普通の仕事じゃなくて ちゃんとこう
(00:03:15) 大学とかでしっかり勉強してあとは 自分の国でその仕事をちょっと長くやってていろんな知識とか技術を身につけて
(00:03:26) で他の人にできないような そんな専門的な仕事に限られています
(00:03:33) じゃあ専門的な仕事って何かというと 例えば
(00:03:38) 一番わかりやすいっていうか多いのが多分 外国人ですから外国語の先生
(00:03:49) やっぱり日本って他の国と比べて まだ外国語を話せる人が少ないんです
(00:03:58) 少ないけどでも最近
(00:04:03) あの インターネットも使えるし飛行機で簡単に他の他の国にも行けるしそれで前よりも
(00:04:11) 外国語の必要性っていうのが高まってきました だから今外国語を勉強している人
