ep. 038 - 読解の勉強方法(N２)

みなさんこんにちはTomoです
これは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くない
でもドラマや映画は難しすぎる そんな人のために日本語教師のTomoがちょうどいい日本語で話をします
テーマはリクエストすることもできます リクエストがある人は
Twitterやインスタグラムメールなどでメッセージをください ただし
リクエストがたくさんあると リクエストに答えるのが遅くなる時がありますすみません
遅くなっても気長に待っていてくださいお願いします それじゃあ今日のテーマ今日は
読解について
このテーマも結構前からリクエストをもらっていたんですけど 遅くなってしまいましたすいません
さて テーマの読解
読解っていうのは読むことですね
もうすぐ1月が終わります 新しい1年が始まって1ヶ月ぐらい経ちますが
皆さん新しい1年はどうでしょうか 前にもちょっと話したと思うけど1年の最初に
この1年の抱負を考える人というのがたくさんいます 皆さんももしかしたら今年は
日本語の勉強を頑張る JLPTのN3とか2とか1とか
難しいテストに合格したいという人もいるかもしれません 今日はそのテストに出てくる読解問題についてそれがテーマです
日本語のテストはいろいろありますが 有名な日本語のテストといえば
JLPT 日本語能力試験ですね
多分これが一番有名じゃないかなと思うんですけど
とても難しいテストですね 特にN2とかN1とか
上のレベルの問題は日本人でも あの時々間違えることがあるぐらい難しい問題があります
特にどこが難しいかというと 日本人なら
文法とか言葉については多分間違える人はほとんどいないんですが 読解
つまり読む問題ですね あとは聴解の方も
結構長い話だと前の話を忘れちゃって間違える時なんかがありますね この2つがすごく難しいんじゃないかなと思います
俺は 嫌いです難しいなって思います
ただ難しいからといって この問題から逃げていたらテストに合格はできません
ので 今日はその読解について
読解の勉強の仕方について話したいと思います
確かにこの読解問題ってすごく難しいし 俺のいる学校でもこの読解の点数がなかなか取れないっていう学生はたくさんいます
じゃあ読解で点数が取れない人はどんな勉強をしたらいいのか まず読解の勉強って
あの初級のうち あまり難しくないレベルですね
JLPTで言ったらN5とかN4とか そのくらいだったらあんまり読解だけの勉強っていうのはしなくても
まあ多分そんなに問題はないと思います 最初の方はやっぱり読解の練習っていうよりも言葉をたくさん覚えてるとか
あとは文法がちゃんとわかるとかそういうことの方が大切なので あまり読解練習しなくてもね
テストの読解問題できると思うんですが だんだん難しくなってくるのはN3
初級が終わるぐらいですね そのくらいになってくるとだんだん長くて難しい日本語が多くなってくるので
そうなると読解の練習っていうのが必要になります ただ個人的にはN3ぐらいだと
あんまり読解だけの特別な練習っていうのはしなくてもまあ
問題ないんじゃないかなぁとは思います 確かにすごい難しくなるんだけど
そして単語も文法もたくさん覚えなきゃいけないんだけど まだ
あんまりこのN3ぐらいのレベルっていうのは 嫌な問題
