ep. 039 - 日本留学(N4)

みなさんこんにちはTOMOです。これは日本語を勉強している人のためのポッドキャストです。
教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします。
テーマはリクエストすることもできます。リクエストがある人はTwitterやInstagramなどでメッセージをください。
待っています。
今日もリクエストをもらっています。 今日は
日本の留学について。 このテーマのリクエストも何人かの人にもらっています。遅くなってすみませんでした。
さてじゃあ日本に留学っていうことですが 留学に関係のある話だとちょっとね
いろいろな 本当に話すことがいろいろあるので
ちょっとこの1回だけでは全部は話せないんですが 大事なことをいくつか皆さんに教えたいなぁと思います
それじゃあ まずは日本に留学したい日本で勉強したいと思ったら
最初にしなければならないことは何かというと ビザです。
日本で勉強する人も仕事をする人もみんなビザをもらわなければなりません。
日本で日本語を勉強したい人は 大体の人は日本語学校に入ります。
日本にある外国の人のための 日本語を勉強する学校です。
俺が働いているところもこの日本語学校です。 日本語学校で勉強する人はどんな人かというと
まずは 多分一番多いと思うんですけど
留学のビザを持っている人です。 日本の大学とか専門学校とかそういうところで勉強する人がもらうビザです。
でも日本の大学に入るためには 日本語が話せなければいけません。
当たり前ですね。 ですから
自分で自分の国で日本語を勉強できる人はそれでもいいです。 自分の国で勉強してそして自分の国で
jlpt 日本語能力試験とか日本留学試験とかそういう試験を受けてそして合格してから 日本に来るという人もいます。
でも大学に入る前に日本語の勉強も日本でしたいという人もいるのでそういう人が 日本語学校で勉強します。
自分の国で勉強するより 日本で勉強した方が
先生ももちろん日本人だし自分の周りにいる人もみんな日本人ですから だから
日本語が上手になるのが少し早いかもしれません。 ただ
一つ問題というかちょっと大変なことがあって それは何かというとお金です。
高いですよね、学校に行くのは。 だいたい東京にある日本語学校だと
その留学生が 勉強するお金、学費と言いますが学校のお金は1年で
80万円から90万円ぐらいです。 東京は高いですね。
東京じゃなくて別のところにある学校だともう少し安いです。 例えば大阪の方だともう少し安くて
70万円ぐらいの学校もあります。 田舎の方に行くととても安いところもあります。
まあ田舎の生活はあまり面白くないかもしれませんけどね。 俺の学校も
結構学費は安いです。ただ田舎なので 東京みたいに
物がたくさん売ってたりとか遊ぶところがたくさんあったりとかそういうことがないので 日本でたくさん遊びたい人は
俺の学校はあまり良くないかもしれませんね。 そして日本で
勉強するためには学校のお金だけじゃなくて他にも日本で生活するお金がかかります。
これも大変ですね。 東京とかはすごく物価が高いので、俺もあまり東京で生活はしたくないです。
じゃあ 東京で生活するためにどのくらいお金がかかるのかっていうと
だいたい 10万円前後くらいですかね。
まず部屋のお金とか、あとは 電気とかガス、水道
そういうお金で1ヶ月に 6万円とかまあ7万円ぐらいですかね。安い部屋を探したらもっと安くなりますけど
東京だとね、俺の昔住んでた東京のアパート すごく古くてすごく安いアパートでしたけど
それでも4万円ぐらいかかりました。
それすごく古くて 狭い部屋だったんですけどしかも古くて狭いだけじゃなくて
東京の 東京の中のすごく田舎の街です
そこでも 古くて安くて田舎でも4万円ぐらいかかります。
それが駅に近いとか東京の中のもっと大きい町とか 少し新しくて綺麗なアパートとか
そういうところだと 5万円、6万円の部屋がたくさんあります。
あとは他にも生活する時には食費、食べ物のお金です。 それもかかるし
どこかに行く時には電車にも乗らなければならないし あと服を買ったり
友達と遊びに行ったり あとは携帯のお金とか
そういうのを全部払うとやっぱりだいたい月に10万円ぐらい すごく
節約。節約っていうのはお金を使わないように気をつけることですけど 節約していればもう少し安いと思いますけど
でもやっぱり東京は他の場所よりも物価が高いからお金がかかります。
留学する前に自分の国でアルバイトをしてお金を貯めてそれで その貯めたお金だけで生活できるっていう人はいいんですけど
そうじゃない人は アルバイトをしないと多分生活が厳しいんじゃないかなと思います。
ただ留学生がアルバイトをするときはちょっと注意で 留学生のビザで日本に来た人は
アルバイトができる時間が決まっています 一週間に28時間しかアルバイトをしてはいけません
なんでかっていうと留学生は勉強のために日本に来ているから アルバイトしすぎると疲れて
勉強ができませんよね ですから
1週間に28時間だけと決まっています 留学生の人がよくしているアルバイトっていろいろありますけど
コンビニとかあとは 飲食店
飲食店っていうのは何か食べたり飲んだりするお店 レストランとか喫茶店とかですね
そういうところでアルバイトをしている人が多いですが コンビニや飲食店のアルバイトのお金
1時間にだいたい東京だと900円ぐらいですかね 最近はもう少し高いのかな
ちょっと俺が東京に住んでたのはもう何年も前だから今はもう少し もう少しもらえるかもしれません
これが田舎の方だと1時間にもらえるお金 1時間のお金を時給って言うんですけど
時給はもっと安いです 俺の住んでいるところだと時給はだいたい800円ぐらいのところが多いです
時給800円で1週間に28時間のアルバイトだと1ヶ月にアルバイトでもらえるお金 だいたい10万円ぐらいですね
だから 自分の国で貯金して学校のお金を貯めて
そして日本で生活するお金はアルバイトで稼ぐという人は結構いると思います 勉強しながらアルバイトするのは大変ですけどね
でも日本でアルバイトすると日本語は上手になるので まあそれも勉強の一つだと思うといいかもしれません
さあ今話しているのは留学生の話です 留学生は大学や専門学校などに入る前に
2年日本語学校で勉強することができます 2年だけです
2年半とか3年は日本語学校に行くことができません 2年より短いのはいいんですけどね
