ep. 039 - 日本留学(N4)

(00:00:00) みなさんこんにちはTOMOです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:07) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします。
(00:00:21) テーマはリクエストすることもできます。リクエストがある人はTwitterやInstagramなどでメッセージをください。
(00:00:29) 待っています。
(00:00:32) 今日もリクエストをもらっています。 今日は
(00:00:37) 日本の留学について。 このテーマのリクエストも何人かの人にもらっています。遅くなってすみませんでした。
(00:00:48) さてじゃあ日本に留学っていうことですが 留学に関係のある話だとちょっとね
(00:00:56) いろいろな 本当に話すことがいろいろあるので
(00:01:01) ちょっとこの1回だけでは全部は話せないんですが 大事なことをいくつか皆さんに教えたいなぁと思います
(00:01:12) それじゃあ まずは日本に留学したい日本で勉強したいと思ったら
(00:01:20) 最初にしなければならないことは何かというと ビザです。
(00:01:26) 日本で勉強する人も仕事をする人もみんなビザをもらわなければなりません。
(00:01:36) 日本で日本語を勉強したい人は 大体の人は日本語学校に入ります。
(00:01:45) 日本にある外国の人のための 日本語を勉強する学校です。
(00:01:53) 俺が働いているところもこの日本語学校です。 日本語学校で勉強する人はどんな人かというと
(00:02:04) まずは 多分一番多いと思うんですけど
(00:02:09) 留学のビザを持っている人です。 日本の大学とか専門学校とかそういうところで勉強する人がもらうビザです。
(00:02:22) でも日本の大学に入るためには 日本語が話せなければいけません。
(00:02:30) 当たり前ですね。 ですから
(00:02:33) 自分で自分の国で日本語を勉強できる人はそれでもいいです。 自分の国で勉強してそして自分の国で
(00:02:46) jlpt 日本語能力試験とか日本留学試験とかそういう試験を受けてそして合格してから 日本に来るという人もいます。
(00:02:59) でも大学に入る前に日本語の勉強も日本でしたいという人もいるのでそういう人が 日本語学校で勉強します。
(00:03:10) 自分の国で勉強するより 日本で勉強した方が
(00:03:16) 先生ももちろん日本人だし自分の周りにいる人もみんな日本人ですから だから
(00:03:27) 日本語が上手になるのが少し早いかもしれません。 ただ
(00:03:34) 一つ問題というかちょっと大変なことがあって それは何かというとお金です。
(00:03:44) 高いですよね、学校に行くのは。 だいたい東京にある日本語学校だと
(00:03:53) その留学生が 勉強するお金、学費と言いますが学校のお金は1年で
(00:04:01) 80万円から90万円ぐらいです。 東京は高いですね。
(00:04:10) 東京じゃなくて別のところにある学校だともう少し安いです。 例えば大阪の方だともう少し安くて
(00:04:21) 70万円ぐらいの学校もあります。 田舎の方に行くととても安いところもあります。
(00:04:32) まあ田舎の生活はあまり面白くないかもしれませんけどね。 俺の学校も
(00:04:39) 結構学費は安いです。ただ田舎なので 東京みたいに
(00:04:46) 物がたくさん売ってたりとか遊ぶところがたくさんあったりとかそういうことがないので 日本でたくさん遊びたい人は
(00:04:55) 俺の学校はあまり良くないかもしれませんね。 そして日本で
(00:05:02) 勉強するためには学校のお金だけじゃなくて他にも日本で生活するお金がかかります。
(00:05:12) これも大変ですね。 東京とかはすごく物価が高いので、俺もあまり東京で生活はしたくないです。
(00:05:24) じゃあ 東京で生活するためにどのくらいお金がかかるのかっていうと
(00:05:31) だいたい 10万円前後くらいですかね。
(00:05:39) まず部屋のお金とか、あとは 電気とかガス、水道
(00:05:45) そういうお金で1ヶ月に 6万円とかまあ7万円ぐらいですかね。安い部屋を探したらもっと安くなりますけど
(00:05:58) 東京だとね、俺の昔住んでた東京のアパート すごく古くてすごく安いアパートでしたけど
(00:06:07) それでも4万円ぐらいかかりました。
(00:06:12) それすごく古くて 狭い部屋だったんですけどしかも古くて狭いだけじゃなくて
(00:06:18) 東京の 東京の中のすごく田舎の街です
(00:06:24) そこでも 古くて安くて田舎でも4万円ぐらいかかります。
(00:06:30) それが駅に近いとか東京の中のもっと大きい町とか 少し新しくて綺麗なアパートとか
(00:06:40) そういうところだと 5万円、6万円の部屋がたくさんあります。
