ep. 040 - スラング(N3)

みなさんこんにちはTOMOです。これは日本語を勉強している人のためのポッドキャストです。
教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします。
テーマはリクエストすることもできます。リクエストがある人はSNSやメールなどでメッセージをください。
みなさんからのリクエスト待ってます。 さあそれじゃあ今日のテーマは
スラング
これ結構 言葉を勉強している人ってスラング好きな人
多いと思うんですけどどうですかね 俺は
あの英語の勉強している時とかは 教科書の言葉だけじゃ面白くないからスラングの勉強っていうか
教科書にはないけどでも
そのアメリカとかイギリスとかそういう英語の国で使っている言葉 普通の人が友達と話すときの言葉っていうのが
面白いなと思って いろいろ調べたりして
覚えたりしてましたけど 多分日本語の勉強している人もそういうの好きな人多いんじゃないですかね
でえっとまぁこのスラング ということで
今日は教科書ではなかなか勉強することができない でも
日本語を話す人ならみんなよく使う言葉 みんなよく使うしテレビとかでもねよく聞く言葉をいくつか紹介したいと思います
じゃあ今日はそのテーマがスラングだから話し方をちょっと変えようと思います じゃあどんな風に変えるかというといつも俺が話すときって
丁寧体っていうやつなんだけど 丁寧体っていうのは
ですとかますとかね みんなが教科書で勉強する敬語よりは
丁寧じゃないけどでも友達と話すときよりはちょっと丁寧な話し方 いつもそういう話し方なんだけど今日はじゃあ今からあの
その丁寧な話し方をやめて普通に話すね じゃあねえっとまずは
スラングなんだけど 最初は
い形容詞 い形容詞から紹介するね
よく使う言葉だと すごいとかやばいっていう言葉
すごいはねあの教科書でも結構出るんだけど でも
使い方がちょっと違うかなぁと思うんだよね じゃあどんな風に使うかというとすごいはとてもと
同じような使い方 例えばなんか美味しいものを食べた時に
あーこれすごい美味しいとか 今日すごい寒いねって言ったりとか
これがすごいの使い方
本当はまあ 正しい文法だとすごい美味しいじゃなくてすごく美味しいって言わないといけない
んだけど まあそれは会話の時話すときに
全部ね教科書と同じ正しい文法では話さないから
すごい美味しいっていう人も多いし俺も すごい美味しいっていう時の方が多い
日本語の先生だけどねちょっと間違った文法かもしれないけどでもその方がよく使う し俺は話しやすい
でもう一個よく使う言葉 よく使うイケヨシはやばい
これはね絶対教科書には出ないと思うんだけど
特にね初級の教科書とかねみんなが日本語の勉強を始めた時に見た日本語の教科書には 絶対ない言葉だと思うんだけど
これはね すっごいたくさん使う
もう絶対毎日使うと思う じゃあどんな風に使うかというと
これね使い方いろいろあってちょっと難しいんだけど すごく良いものにもやばいっていうし
逆にすっごく悪いものにもやばいっていう だからいつでも何でもやばいって言えるね
だからすごい便利なんだけど使い方が多すぎてね難しいかもしれないけど じゃあ例えばどんな風に使うかというと
美味しいものを食べた時に
何か食べてあこれ 美味しいこれとても美味しいですっていう時に
これやばいって言ったりする 食べ物がやばいっていうね
で逆に全然美味しくないめっちゃくちゃまずいものを食べた時にもやばいっていう
うわこれやばいとかね だからもうとにかくね何でもやばいで大丈夫
すっごく良いものとっても良いものにもやばいって言うし反対にすごく悪いもの 悪いものもやばいって言う
悪いものとかなんか危ないものとか じゃあ良いものと悪いものでどっちもやばいだったら意味がわかんないんじゃないか
と思うかもしれないけどそこは話している人の顔とか あとは話し方でどっちの意味なのかっていうのを考える
だからね笑いながらすごいこういい顔でこれやばいって言ったらそれは すごく良いものだっていう意味だし逆にねあの
