ep. 041 - 日本の政治(N2)

(00:00:00) みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のTomoがちょうどいい日本語で話をします。
(00:00:21) テーマはリクエストすることもできます。リクエストがある人はメールやインスタグラム、ツイッターなどでメッセージをください。
(00:00:29) みなさんからのメッセージ待っています。
(00:00:33) 今日もリクエストをもらっています。今日のリクエストは 日本の政府について
(00:00:41) またちょっと難しいというかすごい真面目な感じのリクエストですね。 このリクエスト
(00:00:50) 本名はわからないですけどツイッターでリクエストもらいました。ef さんからですね。 読み方はefさんでいいのかな?わかんないけど。リクエストありがとうございました。
(00:01:04) それで特に気になることというか興味のあることっていうのが 政府というか日本の政治ですかね
(00:01:15) 投票とかだから日本の選挙でしょうね 選挙とかあとは日本の政党
(00:01:22) そして政治で論争の的になっている問題っていうのが 興味のあることだっていうことなので
(00:01:31) この辺の話についてねちょっと俺の知ってることとかを言いたいと思いますが あんまり
(00:01:38) あのこのポッドキャストは政治のね ポッドキャストじゃないので俺の政治に対する意見とかそういうのはちょっとね
(00:01:47) 個人的な意見はなしにして 一般的な
(00:01:52) 知識じゃないけどそういうものをねちょっとみんなに日本でどんなことをしているのかっていうのを お話できたらいいなと思います
(00:02:01) それじゃあですねまずは日本の政治についてなんですけど 簡単に日本の政治はどうやっているのかっていうのをちょっとね説明しておきたい
(00:02:12) と思います 国によって政治の仕方って全然違いますからね
(00:02:18) 日本の政治っていうのは当たり前ですけど一人でするもするものじゃないですね たくさんの人がいるんですが
(00:02:26) そのたくさんの人が大きく2つのグループに分かれて政治をしています その2つのグループっていうのがまず一つは衆議院っていうグループ
(00:02:39) そしてもう一つが参議院というグループです この議員
(00:02:46) まあ議員ってその政治をするグループの名前ですけど 2つの議員で日本の政治をしています そしてこの
(00:02:57) 衆議院と参議院2つの議員は 何年仕事をするかっていうその期間がそれぞれ違います
(00:03:07) 衆議院は4年だけ そして参議院は6年です
(00:03:14) この衆議院のメンバーになったら4年間日本の政治について仕事をする 参議院のメンバーになったら6年仕事をします
(00:03:23) これが日本の政治のやり方ですね 衆議院と参議院2つのグループです
(00:03:30) ちなみにこの議員を選ぶのは選挙でやるんですけど 選挙っていうのは
(00:03:37) 日本人一人一人が 誰に政治をしてもらいたいかっていうのを紙に名前書いてそしてそれを箱に入れて
(00:03:46) であのその議員のメンバーを選ぶこれを選挙って言うんですけど この議員のメンバーは選挙で選びます
(00:03:55) そして日本ではこの選挙に行けるのは18歳からです 前は20歳からだったんですけど最近ちょっと法律が変わりまして
(00:04:07) 今は18歳から選挙に行けるようになりました 選挙はねあの
(00:04:14) さっきも言ったように衆議院は4年そして参議院は6年仕事の期間があるので 毎年やるものではないんですけど
(00:04:23) 最近だと去年選挙がありました さてそれじゃあこれが日本の選挙なんですけど
(00:04:32) じゃあこの選挙に出て政治の仕事をしようっていう その人たちっていうのは一人だけで活動しているわけではありません
(00:04:44) だいたい同じ考えの人 考え方が似てる人がみんな集まって
(00:04:51) それであの大きいグループを作ってみんなで一緒に活動しています この政治についての考え方が同じ人たちっていうのは政党と言います
(00:05:07) で日本にはいろいろな政党があります 政治の考え方って本当にいろいろあって
(00:05:16) そのみんな考え方が違ったら考え方が違うそれぞれのグループを作るから だから政党がたくさんあります
(00:05:26) じゃあその中でも有名な政党って まあ有名っていうか大きい政党ですね
(00:05:32) 大きい政党ってどんなものがあるのかっていうと まず日本で一番その知られている有名な人っていうと
(00:05:42) 安倍晋三つまり今のこの2020年2月の時点での 総理大臣ですね首相
(00:05:52) この人が所属している政党 それは自由民主党っていうところです
(00:06:00) 自由民主党ちょっと長いですね 長いので普通日本語では全部言わないで長い言葉は短く言います
(00:06:11) 自由民主党短く言うと自民党です さあこの自民党今
(00:06:18) 首相の安倍晋三がいるところですけど どんな政党かというと
(00:06:25) よく言われているのは保守的な政党です 保守的っていうのはあんまりこう
(00:06:34) 新しい考え方とかを入れないで昔のやり方をずっと続けていくとか そういうのが保守的な政党ですね
(00:06:45) それじゃあこの保守的な政党の反対ってどんなのがあるかっていうと 保守的っていうのがあまり考え方を変えない
(00:06:57) 昔からのやり方をやる それの反対は
(00:07:01) リベラルとか革新とか言ったりしますけど こういう政党もあります
(00:07:08) どんなところかっていうどんなところっていうかどんな名前の政党かっていうと 例えば
(00:07:15) 共産党 日本共産党とかあとは社会民主党とか
(00:07:23) そういうところは 昔のやり方をずっと変えないでやるんじゃなくて
