ep. 042 - 山遊び(N2)

みなさんこんにちはTomoです これは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のTomoがちょうどいい日本語で話をします
テーマはリクエストすることもできます リクエストがある人は sns やメールなどで連絡をください
待ってます 今日もリクエストをもらってます
今日のテーマは山について 山というか山でできるいろいろなアクティビティについてですかね
このテーマのリクエストは えっとこれはルーシアさんって読むのかな
インスタグラムでリクエストをもらいましたありがとうございます このルーシアさんが日本で過ごした時にこういろんな山を見てそれでこの山についての
話が聞きたいと思ったそうなんですけど 確かに日本は山が多いです
前にねちょっと話したことがあるかもしれませんけど 日本ってすごい山が多くて日本の確か7割ぐらいが山だったかな
なので人が住める場所って実は日本はすごく少ないんです もう山ばっかり
特にね一番有名な山日本で一番高い有名な山といえば富士山ですね でその富士山以外にもたくさん有名な山とかあの綺麗な山登って楽しい山っていうのがある
ので 今日はねその山についてのいろんな話ができたらいいなと思います
それじゃあ今ちょっとこう富士山の話が出ましたけど 富士山についてねまず日本の山といえば富士山ですから少し話をすると
富士山の 富士山に関わるアクティビティといえばやっぱり
まあ普通の登山ですね富士山に登る じゃあねこの日本で一番高い日本で一番有名な山
富士山 この富士山に登ったことがある日本人ってどのくらいいるのかっていうと
とりあえずね俺は登ったことがありません 俺の家族
誰も登ったことがありません 俺の
同僚の先生 今の学校だと一人だけ登ったことがあるって言ってました
前にいた学校だと2人かな 2人登ったことがあるって言ってました
まあ先生は10人以上いるんですけどね
ってことはつまり日本人で富士山に登ったことがある人って 実はそんなに多くないんです
俺もねどのくらい多いか多いというかどのくらい少ないか知らなかったから今ちょっとね インターネットで富士山に登ったことがある人ってどのくらいなのかなっていうのを
ちょっと調べてみたら だいたい10%くらいじゃないかっていうふうに書いてありました
もしかしたらね一番上まで登った人はもっと少ないかもしれません 富士山はね有名だしあの綺麗な山なんですけど
日本人は見るのは結構好きかもしれない 昔から富士山の有名な絵とか写真とかたくさんあるから
ただ登るとなると結構ね 富士山高いから大変なんですよ
一番上まで登るのって普通にこう散歩に行くみたいに登ることはできないから ちゃんと登山の準備をしてそれで登らないといけないので
でしかもあの 富士山ってすごい大きい高い山だから
自分が住んでいる町からは結構遠いんですよね だから日本人も
有名な山ではありますが登ったことがある人は結構少ないんです ただね富士山の一番上から見る景色ってすごい綺麗だし
あの富士山の上から見る太陽が出てくる五雷光って言うんですけどね それはすごい有名だし一回は見たほうがいいっていうふうにはよく聞きますね
なのでまあ俺は登ったことはないけど日本の 有名な山のアクティビティといえばやっぱり富士山の登山かなっていう気がします
ただ山ですることって別に登山だけじゃないですからね 登山の他にも山でできる遊びっていうかねいろんな活動があるので
じゃあその話をしようと思うんですがじゃあ登山じゃなくて山を歩くっていうのは 他に何があるかというと
まずはトレッキングですね トレッキングっていうのは
登山とちょっと似てるんですけど まあ簡単に言うと山の中を歩くことです山を歩くだけ
登山は山の一番上まで登ります トレッキングは一番上まで行かなくてもいいんです
山の中を歩いて散歩と似てますね散歩とかハイキングとか ただ普通の散歩よりもちょっと
あの 山の中だからね道とかも普通の道よりはちょっと歩きにくいので
登山に似てる ちょっと登山に近い服装とか荷物とかを持っていきます
そういうのがトレッキングです ただの散歩とかハイキングとはちょっと違ってやっぱり時々結構歩くのが大変な道とかもあるから
トレッキングもね登山とちょっと 似てるところがあってしたことがない人初めての初心者とかが
一人でいきなりやろうとするとちょっとね大変というか危ないかもしれないですね この登山とかトレッキングとかは
一人では本当に初めての人が一人でやるのはちょっと 難しいっていうか
もう富士山みたいな高い山だとほとんど無理じゃないかなと思うので なので日本でこういう登山トレッキングをしたかったら
結構ねツアーがあります さっきも言ったけど富士山とかって自分が住んでる町とかからは結構遠いんですよ
だから一人で車に乗ってそこまで行って一人で山の中歩いてそしてまた一人で帰って くるっていうのも全部大変なので全部やるのは大変なので
あの トレッキングとか登山が好きな人が集まってでみんなで一緒にバスに乗ってそしてみんなで
一緒に山に登ってそしてまた帰りもバスでみんなで一緒に帰るっていうような ツアーを旅行会社がやってたりとかするので
日本でねこの山に登ったりするのをしたいっていう人はそういう ツアーとかを探してみるといいですね
特に初心者の人 もちろん世界中でいろんな山に登ったことがあるっていうような人はそんなことしないで
あの一人でどんどん登っても大丈夫だと思いますけどね 富士山とかはあの確かに高くて登るのは大変なんですけど
それでも有名なところだからまあある程度道もちゃんとしてるし 途中で休むところとかもあるので
だからまあ危なすぎる場所ではないですからね さあそれじゃあ他に山でするアクティビティってどんなものがあるのか
もちろんね山がたくさんあるんですからそんな 歩くだけなんてそんな面白くない話じゃありませんよ
あの山ですることはたくさんあります もちろん登山とかも面白いんでしょうけどね
好きな人がいたらちょっと面白くないとか言っちゃってすいませんね ただまあ山でねすることって本当にいろいろあって特に日本は山が多い
山が多ければ川も多い だから山を歩くだけじゃなくて川でする遊びっていうのも結構たくさんあります
例えばまあ川ですることといえばね 水があればもちろん魚もいるから
