ep. 042 - 山遊び(N2)

(00:00:00) みなさんこんにちはTomoです これは日本語を勉強している人のためのポッドキャストです
(00:00:13) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のTomoがちょうどいい日本語で話をします
(00:00:23) テーマはリクエストすることもできます リクエストがある人は sns やメールなどで連絡をください
(00:00:30) 待ってます 今日もリクエストをもらってます
(00:00:34) 今日のテーマは山について 山というか山でできるいろいろなアクティビティについてですかね
(00:00:43) このテーマのリクエストは えっとこれはルーシアさんって読むのかな
(00:00:50) インスタグラムでリクエストをもらいましたありがとうございます このルーシアさんが日本で過ごした時にこういろんな山を見てそれでこの山についての
(00:01:02) 話が聞きたいと思ったそうなんですけど 確かに日本は山が多いです
(00:01:09) 前にねちょっと話したことがあるかもしれませんけど 日本ってすごい山が多くて日本の確か7割ぐらいが山だったかな
(00:01:20) なので人が住める場所って実は日本はすごく少ないんです もう山ばっかり
(00:01:27) 特にね一番有名な山日本で一番高い有名な山といえば富士山ですね でその富士山以外にもたくさん有名な山とかあの綺麗な山登って楽しい山っていうのがある
(00:01:41) ので 今日はねその山についてのいろんな話ができたらいいなと思います
(00:01:48) それじゃあ今ちょっとこう富士山の話が出ましたけど 富士山についてねまず日本の山といえば富士山ですから少し話をすると
(00:01:59) 富士山の 富士山に関わるアクティビティといえばやっぱり
(00:02:05) まあ普通の登山ですね富士山に登る じゃあねこの日本で一番高い日本で一番有名な山
(00:02:14) 富士山 この富士山に登ったことがある日本人ってどのくらいいるのかっていうと
(00:02:24) とりあえずね俺は登ったことがありません 俺の家族
(00:02:30) 誰も登ったことがありません 俺の
(00:02:35) 同僚の先生 今の学校だと一人だけ登ったことがあるって言ってました
(00:02:42) 前にいた学校だと2人かな 2人登ったことがあるって言ってました
(00:02:51) まあ先生は10人以上いるんですけどね
(00:02:55) ってことはつまり日本人で富士山に登ったことがある人って 実はそんなに多くないんです
(00:03:07) 俺もねどのくらい多いか多いというかどのくらい少ないか知らなかったから今ちょっとね インターネットで富士山に登ったことがある人ってどのくらいなのかなっていうのを
(00:03:17) ちょっと調べてみたら だいたい10%くらいじゃないかっていうふうに書いてありました
(00:03:25) もしかしたらね一番上まで登った人はもっと少ないかもしれません 富士山はね有名だしあの綺麗な山なんですけど
(00:03:36) 日本人は見るのは結構好きかもしれない 昔から富士山の有名な絵とか写真とかたくさんあるから
(00:03:45) ただ登るとなると結構ね 富士山高いから大変なんですよ
(00:03:52) 一番上まで登るのって普通にこう散歩に行くみたいに登ることはできないから ちゃんと登山の準備をしてそれで登らないといけないので
(00:04:05) でしかもあの 富士山ってすごい大きい高い山だから
(00:04:11) 自分が住んでいる町からは結構遠いんですよね だから日本人も
(00:04:18) 有名な山ではありますが登ったことがある人は結構少ないんです ただね富士山の一番上から見る景色ってすごい綺麗だし
(00:04:30) あの富士山の上から見る太陽が出てくる五雷光って言うんですけどね それはすごい有名だし一回は見たほうがいいっていうふうにはよく聞きますね
(00:04:43) なのでまあ俺は登ったことはないけど日本の 有名な山のアクティビティといえばやっぱり富士山の登山かなっていう気がします
(00:04:56) ただ山ですることって別に登山だけじゃないですからね 登山の他にも山でできる遊びっていうかねいろんな活動があるので
(00:05:07) じゃあその話をしようと思うんですがじゃあ登山じゃなくて山を歩くっていうのは 他に何があるかというと
(00:05:15) まずはトレッキングですね トレッキングっていうのは
(00:05:20) 登山とちょっと似てるんですけど まあ簡単に言うと山の中を歩くことです山を歩くだけ
(00:05:28) 登山は山の一番上まで登ります トレッキングは一番上まで行かなくてもいいんです
(00:05:37) 山の中を歩いて散歩と似てますね散歩とかハイキングとか ただ普通の散歩よりもちょっと
(00:05:46) あの 山の中だからね道とかも普通の道よりはちょっと歩きにくいので
(00:05:53) 登山に似てる ちょっと登山に近い服装とか荷物とかを持っていきます
(00:06:00) そういうのがトレッキングです ただの散歩とかハイキングとはちょっと違ってやっぱり時々結構歩くのが大変な道とかもあるから
(00:06:10) トレッキングもね登山とちょっと 似てるところがあってしたことがない人初めての初心者とかが
(00:06:20) 一人でいきなりやろうとするとちょっとね大変というか危ないかもしれないですね この登山とかトレッキングとかは
(00:06:30) 一人では本当に初めての人が一人でやるのはちょっと 難しいっていうか
(00:06:36) もう富士山みたいな高い山だとほとんど無理じゃないかなと思うので なので日本でこういう登山トレッキングをしたかったら
(00:06:46) 結構ねツアーがあります さっきも言ったけど富士山とかって自分が住んでる町とかからは結構遠いんですよ
(00:06:58) だから一人で車に乗ってそこまで行って一人で山の中歩いてそしてまた一人で帰って くるっていうのも全部大変なので全部やるのは大変なので
(00:07:09) あの トレッキングとか登山が好きな人が集まってでみんなで一緒にバスに乗ってそしてみんなで
(00:07:17) 一緒に山に登ってそしてまた帰りもバスでみんなで一緒に帰るっていうような ツアーを旅行会社がやってたりとかするので
(00:07:27) 日本でねこの山に登ったりするのをしたいっていう人はそういう ツアーとかを探してみるといいですね
(00:07:35) 特に初心者の人 もちろん世界中でいろんな山に登ったことがあるっていうような人はそんなことしないで
(00:07:43) あの一人でどんどん登っても大丈夫だと思いますけどね 富士山とかはあの確かに高くて登るのは大変なんですけど
(00:07:52) それでも有名なところだからまあある程度道もちゃんとしてるし 途中で休むところとかもあるので
(00:08:01) だからまあ危なすぎる場所ではないですからね さあそれじゃあ他に山でするアクティビティってどんなものがあるのか
(00:08:11) もちろんね山がたくさんあるんですからそんな 歩くだけなんてそんな面白くない話じゃありませんよ
(00:08:19) あの山ですることはたくさんあります もちろん登山とかも面白いんでしょうけどね
