ep. 043 - ビーガンの食事(N3)

みなさんこんにちはTOMOです これは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします
テーマはリクエストすることもできます リクエストがある人はメールとかインスタグラム
twitter などでメッセージをください みなさんからのメッセージ待ってます
今日もテーマのリクエストをもらってます 今日のテーマは
ビーガンの食事についてですね 特にそのビーガンの人が日本で食事をするときにどうすればいいのかということです
このリクエストは
ちょっと名前の読み方が難しいですね 外国の名前って難しいですね
けいしゃさんって読むのかな? けいしゃさんからリクエストをもらいましたありがとうございます
この方はビーガンの人なんですけど じゃあビーガンって何かっていうのをまず説明します
ビーガンっていうのは
肉とか動物から作る食べ物を まあ食べ物って言ったらちょっと失礼かもしれないけど
動物に関係があるものを全部食べないというのがビーガンです
例えば 肉とか魚はもちろん食べませんが他にも卵とか牛乳とか
あとはだしとかもそうですね だしって知ってる人いますか?
多分あまりいませんよね 日本で料理を作るときに
スープを作るときもそうだし あとまあ何かいろいろな料理を作るときに使う
で 味をつけるためのスープみたいなものをだしって言うんですけど
そのだしのスープっていうのは日本では 魚を使って作ることが多いんです
魚をお湯の中に入れてそしてそのお湯の中に魚の味が出て日本料理を作るときの
スープができるそれがだしの作り方で ビーガンの人はこのだしとかも食べることができない
あと他にもバターとかチーズとかそういうのも全部ダメらしいので なので日本で食事をするときに
ビーガンの人はどうしたらいいのか教えてくださいっていうのが今日のテーマです じゃあ最初に
あの日本でビーガンの食事って 日本人はみんな知ってるのかどうかっていうその答えなんですけども
はっきり言うと日本人はそのビーガンについてあまり知らないと思います 俺も聞いたことはあのビーガンっていう言葉を聞いたことはあったんですけど
でも 俺は全然ビーガンの食事はしないし俺の周りにもその
ビーガンの食事をしている人っていうのは全然いません 外でご飯を食べるときレストランとか飲食店に行ったときも
肉が入ってるかどうかっていうのを書いている店は最近は前より多くなったと思いますが でもビーガンの食事っていうのを置いている店は
俺は見たことがありません ですから日本に旅行に来る人は
ビーガンの人は結構あの大変だと思います ただ
ビーガンの人は日本で全然食べるものがないのかって言うとそんなことはありません まあちょっとだけですけどね少ないですけど
ビーガンの食事もできます ただビーガンの食事ができるところは
東京が一番多いと思います まあ東京は日本で一番大きい街ですからね
東京にはビーガンの人のためのレストランとか あとは食べ物を売っている店とかそういうのも少しだけあります
あまり多くないけど日本でビーガンのための あの日本食っていうか
まあ日本人がよく食べるようなレストランとか そういうのをやっているところも少しだけあるようです
ただ俺は行ったことがないので あのじゃあ行ったことがないのになんで知ってるのかっていうと
インターネットで見ただけなんですけどね ただ日本は昔と比べて
外国からいろんな人が来るようになったから その外国から来るいろんな人の文化に合わせて
日本でのいろんなものが楽しめるようにちょっとずつ 今まで日本になかった文化のものが多くなってきているみたいですね
でもやっぱり日本料理ってそのさっき言っただしとか あともちろん卵とか肉とか魚とかそういうのを使う料理がとても多いので
日本料理の店でビーガンの食事をするのは結構大変だと思います 日本料理じゃなくて
インドとか外国の料理ですね 外国の料理のレストランとか飲食店に行くと
ビーガンの食事は日本料理よりはちょっと食べやすいと思います でもそれでもやっぱり日本料理の店も一度行ってみたいっていう人は
お店に入ってそのビーガンの食事ができるかどうか聞いてみるといいと思います ただちょっと注意なんですけど
日本で私はビーガンですって言っても わからない人も多いかもしれません
なので説明するときには私はビーガンですだけじゃなくて もっと詳しくどんなものが食べられるかどんなものが食べられないかという説明をした方がいいと思います
じゃあどんな説明したらいいかっていうと 日本人でもベジタリアンっていう言葉は知ってる人が多いと思うので
それを最初に言うとわかりやすいかもしれません ただベジタリアンとビーガンは違うのでもう少し説明をしなければなりませんけど
ですから最初にお店の人に私はビーガンですと言って ビーガンってわかりますかって聞いてお店の人がわからないって言ったら
ベジタリアンと似ています でもベジタリアンよりもっと厳しいです
肉、魚、卵、他にも牛乳とか魚の出汁とかバターとか 動物や生き物を使う食事は全部できませんと言ったらわかると思います
他にも一つ一つの料理について質問するときに この料理は
魚の出汁を使っていますか?とか このスープは肉で出汁をとっていますか?とか聞くとわかりやすいと思います
レストランだけじゃなくてコンビニとかスーパーとか 外で何か食べ物とかお弁当とかを買うときも今みたいな説明をするとわかりやすいと思います
お店の人に私はヴィーガンですって言ってからさっきみたいに ベジタリアンよりももっと厳しくて
動物とか生き物を使う食べ物は全部ダメですって言ってから 例えばバターとか魚の出汁とかも全部ダメですって言って
