ep. 043 - ビーガンの食事(N3)

(00:00:00) みなさんこんにちはTOMOです これは日本語を勉強している人のためのポッドキャストです
(00:00:13) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします
(00:00:24) テーマはリクエストすることもできます リクエストがある人はメールとかインスタグラム
(00:00:30) twitter などでメッセージをください みなさんからのメッセージ待ってます
(00:00:37) 今日もテーマのリクエストをもらってます 今日のテーマは
(00:00:43) ビーガンの食事についてですね 特にそのビーガンの人が日本で食事をするときにどうすればいいのかということです
(00:00:54) このリクエストは
(00:00:59) ちょっと名前の読み方が難しいですね 外国の名前って難しいですね
(00:01:08) けいしゃさんって読むのかな? けいしゃさんからリクエストをもらいましたありがとうございます
(00:01:16) この方はビーガンの人なんですけど じゃあビーガンって何かっていうのをまず説明します
(00:01:25) ビーガンっていうのは
(00:01:28) 肉とか動物から作る食べ物を まあ食べ物って言ったらちょっと失礼かもしれないけど
(00:01:36) 動物に関係があるものを全部食べないというのがビーガンです
(00:01:44) 例えば 肉とか魚はもちろん食べませんが他にも卵とか牛乳とか
(00:01:52) あとはだしとかもそうですね だしって知ってる人いますか?
(00:02:00) 多分あまりいませんよね 日本で料理を作るときに
(00:02:06) スープを作るときもそうだし あとまあ何かいろいろな料理を作るときに使う
(00:02:14) で 味をつけるためのスープみたいなものをだしって言うんですけど
(00:02:22) そのだしのスープっていうのは日本では 魚を使って作ることが多いんです
(00:02:31) 魚をお湯の中に入れてそしてそのお湯の中に魚の味が出て日本料理を作るときの
(00:02:41) スープができるそれがだしの作り方で ビーガンの人はこのだしとかも食べることができない
(00:02:50) あと他にもバターとかチーズとかそういうのも全部ダメらしいので なので日本で食事をするときに
(00:03:00) ビーガンの人はどうしたらいいのか教えてくださいっていうのが今日のテーマです じゃあ最初に
(00:03:08) あの日本でビーガンの食事って 日本人はみんな知ってるのかどうかっていうその答えなんですけども
(00:03:18) はっきり言うと日本人はそのビーガンについてあまり知らないと思います 俺も聞いたことはあのビーガンっていう言葉を聞いたことはあったんですけど
(00:03:32) でも 俺は全然ビーガンの食事はしないし俺の周りにもその
(00:03:39) ビーガンの食事をしている人っていうのは全然いません 外でご飯を食べるときレストランとか飲食店に行ったときも
(00:03:50) 肉が入ってるかどうかっていうのを書いている店は最近は前より多くなったと思いますが でもビーガンの食事っていうのを置いている店は
(00:04:05) 俺は見たことがありません ですから日本に旅行に来る人は
(00:04:13) ビーガンの人は結構あの大変だと思います ただ
(00:04:21) ビーガンの人は日本で全然食べるものがないのかって言うとそんなことはありません まあちょっとだけですけどね少ないですけど
(00:04:32) ビーガンの食事もできます ただビーガンの食事ができるところは
(00:04:39) 東京が一番多いと思います まあ東京は日本で一番大きい街ですからね
(00:04:48) 東京にはビーガンの人のためのレストランとか あとは食べ物を売っている店とかそういうのも少しだけあります
(00:04:59) あまり多くないけど日本でビーガンのための あの日本食っていうか
(00:05:07) まあ日本人がよく食べるようなレストランとか そういうのをやっているところも少しだけあるようです
(00:05:16) ただ俺は行ったことがないので あのじゃあ行ったことがないのになんで知ってるのかっていうと
(00:05:22) インターネットで見ただけなんですけどね ただ日本は昔と比べて
(00:05:29) 外国からいろんな人が来るようになったから その外国から来るいろんな人の文化に合わせて
(00:05:38) 日本でのいろんなものが楽しめるようにちょっとずつ 今まで日本になかった文化のものが多くなってきているみたいですね
(00:05:49) でもやっぱり日本料理ってそのさっき言っただしとか あともちろん卵とか肉とか魚とかそういうのを使う料理がとても多いので
(00:06:01) 日本料理の店でビーガンの食事をするのは結構大変だと思います 日本料理じゃなくて
(00:06:09) インドとか外国の料理ですね 外国の料理のレストランとか飲食店に行くと
(00:06:17) ビーガンの食事は日本料理よりはちょっと食べやすいと思います でもそれでもやっぱり日本料理の店も一度行ってみたいっていう人は
(00:06:30) お店に入ってそのビーガンの食事ができるかどうか聞いてみるといいと思います ただちょっと注意なんですけど
(00:06:40) 日本で私はビーガンですって言っても わからない人も多いかもしれません
(00:06:49) なので説明するときには私はビーガンですだけじゃなくて もっと詳しくどんなものが食べられるかどんなものが食べられないかという説明をした方がいいと思います
(00:07:05) じゃあどんな説明したらいいかっていうと 日本人でもベジタリアンっていう言葉は知ってる人が多いと思うので
(00:07:15) それを最初に言うとわかりやすいかもしれません ただベジタリアンとビーガンは違うのでもう少し説明をしなければなりませんけど
(00:07:26) ですから最初にお店の人に私はビーガンですと言って ビーガンってわかりますかって聞いてお店の人がわからないって言ったら
(00:07:37) ベジタリアンと似ています でもベジタリアンよりもっと厳しいです
(00:07:44) 肉、魚、卵、他にも牛乳とか魚の出汁とかバターとか 動物や生き物を使う食事は全部できませんと言ったらわかると思います
(00:08:03) 他にも一つ一つの料理について質問するときに この料理は
(00:08:09) 魚の出汁を使っていますか?とか このスープは肉で出汁をとっていますか?とか聞くとわかりやすいと思います
(00:08:21) レストランだけじゃなくてコンビニとかスーパーとか 外で何か食べ物とかお弁当とかを買うときも今みたいな説明をするとわかりやすいと思います
(00:08:34) お店の人に私はヴィーガンですって言ってからさっきみたいに ベジタリアンよりももっと厳しくて
(00:08:42) 動物とか生き物を使う食べ物は全部ダメですって言ってから 例えばバターとか魚の出汁とかも全部ダメですって言って
(00:08:52) そして一つ一つの 食べ物についてこれは魚の出汁を使っていませんか?とか聞くといいと思います
(00:09:03) 他にも日本語を話すのがまだちょっと大変だとか 日本人と話すのは緊張するとか
(00:09:11) そういう人は食べることができないものとか 反対に食べることができるものっていうのを
(00:09:19) 紙とかに書いてリストを作っておいて そしてお店の人にそれを見せるとわかりやすいと思います
(00:09:29) 日本人でもヴィーガンの人ってあまり多くないけどゼロではないです 少しいます
(00:09:36) その人たちはどうしているかって言うと やっぱり外ではこう
(00:09:43) 野菜を使うサラダだけとか あとは自分で作ったりとかして食事をとっているみたいですね
