ep. 045 - カルチャーショック 台湾編(N2)

(00:00:00) みなさんこんにちはトモです。これは日本語を勉強している人のためのポッドキャストです。教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のトモがちょうどいい日本語で話をします。
(00:00:22) テーマはリクエストすることもできます。リクエストがある人は sns やメールなどで連絡をください。みなさんからのメッセージ待ってます。
(00:00:32) さて今日は
(00:00:35) カルチャーショックについて話が聞きたいということだったのでその話をしたいと思います。 カルチャーショックっていうのは
(00:00:45) 例えば外国に遊びに行ったとか外国に住むでもいいんですけどね あとは外国の人が自分の国に来たとかそういう時に他の国の文化とか習慣とか
(00:00:59) そういうものに触れてそしてびっくりすることっていう意味ですね これがまあ一般的なカルチャーショックの意味
(00:01:09) 実は専門用語でカルチャーショックっていうとちょっと別な意味とかもあるんですけど まあ一般的にね言われるカルチャーショックってそういうものなので今日はその
(00:01:21) 外国の文化に触れてそしてびっくりしたこと そのカルチャーショックについて話をしたいと思います
(00:01:29) ただねあの俺が住んだことのある国って日本以外では台湾しかないので 今日はねタイトルに書いてある通り
(00:01:39) カルチャーショックの台湾編です そしてあの台湾編って書いてあるけどあの他の国のバージョンがあるわけじゃないので
(00:01:49) これで終わりなんですけどね まあとにかく今日はその俺が台湾に住んでてそしてこう日本と違う文化とか習慣とかで
(00:02:00) びっくりしたことについて話したいと思います 台湾人の人で今日のこの話を聞いている人がいたら他の国の人よりも
(00:02:09) あのもっと面白いんじゃないかなと思います じゃあねまずはその俺がびっくりしたことについてですけどいろんなものがあるんですが
(00:02:18) とりあえず食べ物の話から行くと 初めてその台湾に行って
(00:02:25) すっごいびっくりしたことがあってそれが何かというと お茶です
(00:02:31) お茶を飲んでびっくりしました 台湾に行ってそして飛行機を降りて駅に行ってそして喉が渇いたからそこの駅の中に
(00:02:41) あったコンビニで ウーロン茶を買ったんですよ
(00:02:47) そんでそのウーロン茶を飲んでみたら びっくりしました
(00:02:53) 甘かったんです 日本では基本的に
(00:02:58) 紅茶以外のお茶に砂糖は入れません 日本で飲むお茶っていろいろあるけど多いのは緑茶
(00:03:07) ウーロン茶あとはほうじ茶とかもあるんですけどね 全部砂糖は入れません
(00:03:16) なのであのそのコンビニでねウーロン茶って書いてあって 日本にいるのと同じつもりで甘くないのを想像してたから
(00:03:26) それを一口飲んでびっくりしてなんだこれと思ってペットボトルのラベルを見たら ウーロン茶って書いてあって
(00:03:35) 台湾のお茶って甘いのかっていうのでびっくりしました その後でねあの台湾の人に台湾のお茶って甘いものが多いから砂糖が入って
(00:03:46) ないのを飲みたかったら 無糖とかあとは日本式って書いてあるお茶を買わないとダメだって教えて
(00:03:53) もらったんですけどね 食文化食べ物の文化ってやっぱりこう国によって全然違うから
(00:04:02) もう隣の国とも全然違うぐらいだから むしろもう隣の国っていうか同じ国の中でも場所が変わると結構変わるものも
(00:04:10) あるから本当にびっくりするものは多いですね あとねあの
(00:04:17) びっくりって言うほどでもないんですけどこれも習慣の違いかなーって思うものがあって ニンニクの使い方
(00:04:28) ニンニクって日本人も好きでよく食べるんですけど ただ
(00:04:32) ニンニクって食べた後、食べてしばらく経った後とか次の日とか 息が臭くなりますよねニンニクの匂い
(00:04:43) 日本人でもニンニクが好きな人はとても多いし俺もニンニクってすごい好きなんだけど でも
(00:04:51) 仕事の時とかあとはまあ家族とか 近くにいる人にニンニク臭い息を出しているとすごい迷惑をかけるから好きだけど
(00:05:02) ニンニクって実はあんまり俺は食べらんないんです 同じような考えの人って結構多くてだからニンニクを食べるなら
(00:05:11) 休みの日の前とかねそういう時だけって決めてる人は結構多いと思います でも台湾の料理って
(00:05:19) これは台湾だけじゃないと思うんですけどね 俺の学校にいる他の国の人とかもみんなご飯作るときに
(00:05:26) ニンニクをすっごいたくさん入れますよね だからニンニクたくさん入ってて美味しいんですけど
(00:05:32) 日本人は普段そんなにニンニクを大量に使ったりはしないからそれもね結構びっくり しました
(00:05:40) 台湾に行ってお弁当買ってあの 食べてたらニンニク
(00:05:46) でっかいニンニクの塊がごろっと入っているなんていうこともしょっちゅうあったので 最初の頃はね
(00:05:52) これ食べたらちょっと口臭くなるから仕事の時に あの授業の学生とかあとは隣の席の同僚とかに迷惑だろうなぁと思ってました
(00:06:04) まあ俺ニンニク好きだからその後もしばらく台湾に住んでたらね 気にしなくなって普通に食べるようになったんですけどね
(00:06:12) あとはまあちらっと今お弁当って言ったんですけど これは食べ物っていうか生活習慣の違いだと思うんですけど
(00:06:20) 台湾って あの
(00:06:23) 外食がすっごい多くてそれもちょっとびっくりしました 日本だと基本的にそんなに外食ってしないんですよ
(00:06:33) だいたい家で作って食べる でも台湾の俺の住んでたアパートって
(00:06:39) 家の中にそもそも台所がないんですよね 家で料理をする人が少ないから一人暮らしの人の部屋ってみんな台所がないっていうふうに言ってました
(00:06:53) なのであのそれもびっくりしましたね 初めて部屋に行った時にあれここ台所ないんですかって言ったら台所がない部屋の方が台湾は多いよって言われました
