ep. 046 - コロナウイルス(N4)

(00:00:00) みなさんこんにちはTomoです これは日本語を勉強している人のためのポッドキャストです
(00:00:11) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のTomoがちょうどいい日本語で話をします
(00:00:23) テーマはリクエストすることもできます リクエストがある人はメールやSNSなどでメッセージをください
(00:00:30) みなさんからのメッセージ待ってます
(00:00:34) さあ今日は世界中で話題になっている コロナウイルス
(00:00:41) これについてちょっと話をしたいと思います
(00:00:46) 多分 このポッドキャストを聞いている人はみんなよくインターネットを使う人だと思うのでみんな知ってると思いますが
(00:00:56) インターネットを使う人じゃなくても知っていると思いますが 今世界中でコロナウイルス
(00:01:05) これが問題になっています ウイルスっていうのは
(00:01:11) とっても小さいものでこれが体の中に入ると人は病気になってしまいます 今このウイルスなんですけど新しいウイルスが発見されて
(00:01:25) そしてこのウイルスで病気になる人がとても多くて 世界のいろんなところで問題になっています
(00:01:35) 最初は中国が多かったんですが今日本でもこのウイルスで病気になる人がとても 多くなっています
(00:01:45) 今日のニュースでも 病気について研究している専門の人が今から2週間ぐらい
(00:01:54) この病気にならないように いろんなことに気をつけないといけないと言っていました
(00:02:01) この2週間頑張って気をつけていれば このウイルスは日本であまり広がらない
(00:02:09) でもこの2週間ちゃんと気をつけていないと もう日本の全部の場所でこのウイルスが広がってしまう
(00:02:18) そんなニュースがありました じゃあそのこのウイルスが体の中に入らないようにするために
(00:02:27) どんなことに気をつければいいのかということを みんなでね一緒に確認しましょう
(00:02:35) 一番この病気にならないようにするために確実な方法は すごい簡単です
(00:02:45) 外に行かないことです ずっと家の中にいて
(00:02:49) 外にいる人と話をしたりしないで 家の中だけで生活するそうすれば病気にはなりません
(00:02:59) 当たり前ですけどね ですから
(00:03:04) 大人はねちょっとそれはできないかもしれませんが 小さい子供はできるだけ外には行かないで家の中にいた方が安全ですね
(00:03:16) 大人になると学校とか仕事とかいろいろ外に行かなければならない用事があるので その人たちはずっと家にいることができないから
(00:03:28) この方法はダメですね じゃあ
(00:03:32) どうしても外に行かなければならない人はどうしたらいいのか 外に出るときはできるだけ人が多い場所に行かないようにするといいみたいですね
(00:03:46) まあこれも当たり前というか簡単な方法ですけど このウイルスは人から人に移るので
(00:03:55) 自分の周りに病気の人がいなければ自分も病気になりません ですからできるだけ人が多いところには行かないようにするといいです
(00:04:07) だから今日本ではいろいろなイベントが中止になっています できるだけ人が集まるイベントはやめるようにしてこのウイルスが広がない
(00:04:19) 広がらないように気をつけています 例えば大きいイベントだと東京マラソンとかが中止になりました
(00:04:29) 中止っていうか一般の人の参加が中止になりました 一般の人っていうのはあの趣味とかでマラソンに出ている人ですね
(00:04:41) オリンピックとかそういう大きい大会は関係なくて自分の趣味でそのマラソンに出たいって 言ってそしてマラソンに出る人を一般参加って言うんですけど
(00:04:54) 今回のこの東京マラソンは一般参加は全部中止になりました こんなふうに日本では今いろいろなイベントが中止になっているんですけど
(00:05:05) これは全部その病気を広げないようにするためです 人が多いところに行くとこのウイルスが移りやすいからですね
(00:05:15) ただ日本ではイベントを中止しても東京とか大阪とかそういう人が多い街だと 電車に乗ったりとか
(00:05:27) どこかに行くときに必ずみんなが行く場所、人が集まる場所っていうのがあるので イベントを中止しても他の人と同じ場所に行かなければならないことがあります
(00:05:40) なので 外に出てそして他のいろんな人がいるところに行ったら
(00:05:49) 気をつけることは 家に帰ってきたらすぐに手を洗う
(00:05:55) そしてうがいをする この2つが大事だそうですね
(00:06:00) うがいっていうのは口の中に水を入れて そして口の中を洗う
(00:06:07) そしてその洗った水はまた口の外に出す これがうがいです
(00:06:13) 特に手を洗うっていうのはすごく重要で 石鹸とかアルコールとかそういうものを使ってそして30秒以上しっかり手を洗う
(00:06:27) これでかなりウイルスを殺すことができるので病気になりにくいそうですね なので皆さんも日本にいる人は
(00:06:37) もちろんそうですね ですが他の国の人も
(00:06:41) ウイルスって今は飛行機でいろんな国 世界中の国に行くことができるから 今自分の国にこのウイルスがなくてもこれから入ってくるかもしれませんから
(00:06:54) ですから皆さんもこの手を洗う そしてうがいをするっていうことを忘れないように気をつけてください
(00:07:03) 俺の住んでいるところはまだこのコロナウイルスはないみたいなんですけど でも日本のね国の中で
(00:07:13) このコロナウイルスにかかった人がとても多くなってきてるから そろそろ俺の住んでるところにもこのウイルスが来るんじゃないかなと思ってちょっと心配してます
(00:07:25) 特に俺の働いているところは学校だから学生が毎日100人以上学校に来るから人が多い ところなのでちょっとね他の人よりも病気になりやすいかなと思っているので俺も
(00:07:39) ちょっと気をつけて手を洗ったりうがいしたりするようにしています さあそれじゃあ
(00:07:47) 今日はねあんまり面白い話はありませんでしたけど でも今世界中で問題になっているとても大切なことだったので
(00:07:57) 皆さんもぜひ気をつけてください それから
(00:08:02) 病気にならないようにするために手を洗うとかうがいをするとか こういう言葉をね日本語で覚えておくといいですね
(00:08:12) じゃあ俺も気をつけるけど皆さんもね気をつけてください お互い病気にならないように気をつけてそしてこの病気が終わるまで元気に
(00:08:23) いましょう 俺は元気に日本語を教えるので皆さんも元気に日本語を勉強してください
(00:08:31) それじゃあ今日はこの辺でさようなら
