ep. 047 - 令和(N3)

みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。
教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のTomoがちょうどいい日本語で話をします。
テーマはリクエストすることもできます。リクエストがある人は SNSやメールなどで連絡をください。
皆さんからのメッセージ待ってます さあ今日は日本の
年の数え方についてお話ししようと思います 実はこの年の数え方について関係のあるリクエストは
去年もらってたんですけど すみませんちょっとあのインスタグラムの使い方慣れてなくて
あの写真のコメントのところに リクエストが書いてあったんですけど気づかなくてですね
今になってしまいましたリクエストをくれたのは james さんって読むのかな
すいません遅くなって あの足湯のところですね足湯の写真に
足湯カフェか足湯カフェの写真にコメントをくれてましたね さあそれじゃあこのリクエストのあった令和についてなんですけども
まず日本のこの年の数え方っていうのについて あまり知らない人もいると思うのでまずはそこの説明からしたいと思います
日本では今何年かっていうその年の数え方は2つあります 一つはいろんな世界で使われている
まあ皆さんも知ってると思うんですけど 西暦っていう数え方です
この西暦で数えると今2020年ですね 去年が2019年で今2020年そして来年が2021年
この数え方が西暦です西暦 ちなみにこの西暦の西っていうのは西の漢字です
日本語で西っていうのはヨーロッパの方のことですね でこの西暦っていうのは日本に昔からある数え方じゃなくて
ヨーロッパの方から入ってきた数え方 それが西暦で今西暦2020年
そしてこの西暦の他に 昔から日本で使われている年の数え方があります
それが和暦っていうものです 和暦の和は日本の日本という意味の和
多分みんな和食とか和室とかそういう言葉知ってると思うんですけど 和っていうのは日本っていう意味を持っている漢字です
そしてこの和を使って和暦 じゃあこの日本で昔からしている数え方ってどんなものかって言うと
これは去年結構いろんな国でニュースになったんじゃないかなと思うんですけど リクエストにもあった令和です
去年令和になったから今令和2年ですね 日本ではこの令和とかあとは令和になる前は平成
そして平成の前は昭和
この年の前に昭和とか平成とか令和とかいろんな言葉をつけて そして1年2年3年と数えます
それが日本の数え方和暦っていうものです この和暦っていうのは日本で結構昔から使われていて
初めてのこの和暦を使った数え方っていうのは 確か大和だったかな大和
大和と言って年を数えてました 大和の大は大きいっていう感じで和は文化の和ですね
でこの大和とか今は令和 令和の前は平成
この年の前につける言葉を元号と言います 元号です
今の日本の元号は令和です この元号っていうのは基本的には今は
天皇が変わると元号も変わるというルールがあります なので去年はその天皇が
今の前の天皇からその天皇の子供の子供に変わって それで一緒に元号も平成から令和に変わりました
今まではこの元号が変わるのは天皇が亡くなった時でしたね 天皇が亡くなって
それで天皇が亡くなってからその子供に変わる それが普通だったんですけど去年はそれまでとちょっと違って
あの 前の天皇は亡くなってませんまだ元気です
まだ元気なんですけどでも あのだんだんお年を召してきたって言うんですけど
あの年を取ることを丁寧に言うとお年を召してきたって言うんですけどね そのだんだん前の天皇の人が年を取ってきて体も弱くなってきて
それで 今の天皇の仕事がだんだんできなくなってきたから
だから もっと体が弱くなってあの仕事が全然できなるとできなくなるとかあとは
亡くなってしまう前にあの元気なうちに次の子供に 天皇を変わってもらった方がいいと言ってそれで去年は新しい天皇に変わりました
ちなみにですねあの今は天皇が変わった時だけ言語が変わるんですけど 昔はそうじゃありませんでした
昔はねあの天皇が変わってなくても結構たくさん言語を変えてました でそのね言語を変える理由も
変な理由が結構多かったみたいですね これが本当かどうかわかんないですけど
まあ有名な話だから多分本当だと思うんですけど どんな理由があったかっていうと例えば
空に綺麗な雲があったから変えたとか あとは
珍しい亀をもらったから 亀っていう名前が入っている言語に変えたとか
そういうね変な変なっていうかその時の人はそれがすごいことだと思ったんでしょう けど
今の人から考えるとねあのちょっと変だなって思うような そんな理由で言語が変わってたことがありました
これは本当に昔の話ですけどね だから今は言語って
その天皇が変わる時だけだから そんなに短い期間で何回も変わるっていうことはないんですけど
昔の言語はすぐに変わるっていうこともあったみたいです 1年だけとか
すごく短いと 2ヶ月くらいだっけな
まあとにかくすぐね新しい言語に変えたりしたそうですね さっき言った珍しいものがあったとかそういう理由だけじゃなくて何か
縁起が悪いこととか嫌なことっていうのがあった時にも言語を変えるっていうことが よくあったみたいです
縁起が悪いとか嫌なこととかっていうのは例えば
大きい地震があったとか あとは食べるものがなかなか取れないとかそういう理由ですね
さあこれが日本の年の数え方 和暦です そしてその和暦で使う言語です
日本では昔から和暦を使っていたから もちろん昔の人は和暦だけで年を数えてたんですけど
今は最初に言った西暦 西暦もあるから和暦を使わないで西暦を使う人もたくさんいます
特にあの外国の人が多いところとかは 西暦の方がわかりやすいから和暦はあまり使わないで西暦を使うっていう人が多い
みたいですね ただ日本の
国とかあとは県とか市とかそういう仕事をしているところでは 日本の
数え方和暦っていうのは日本のものですから 西暦は使わないでみんな和暦を使っています
ただねちょっと問題っていうか去年話題になったのは 外務省っていうその国の仕事なんですけど
外国とあのいろんな仕事をする国の機関ですね その外務省では和暦は使わないで西暦だけにしたいっていう話をしていました
日本の国の仕事をする人たちが和暦をやめたいって言ったので それがねあの大きい大きいかな
結構ニュースになりました なんで和暦をやめたいのかっていうと
令和に変わったばかりだからその新しいものね せっかく
新しい令和っていう言語ができたんだからそれを使えばいいんだけどでも 言語は
時々変わるからわかりにくいんですよね 例えば去年も去年の最初はまだ令和じゃありませんでした
平成でした そして途中で令和に変わりました
だから2020年は令和2年っていうのはわかりやすいんですけど 2019年は
最初は平成でした だから2019年1月だから平成だとか
2019年の7月だからもう平成じゃない同じ2019年だけど 令和にしなきゃとか
それがねちょっと大変でわかりにくいし 間違えてしまうかもしれないからだから
あの西暦だけの方がわかりやすい簡単だっていう そういう意見ですかね多分
ただこれについては他の政治家他の日本の国の仕事をしている人たちね 他の人は
外務省っていうその日本の国の仕事をする人が 和暦を使わないで西暦だけにするっていうのは
そんなのは絶対ダメだっていうふうに言ってました まあ去年は令和っていう新しい言語ができたばかりでしたからね
特にその令和を使わないなんて絶対ダメだっていうふうに思ったんでしょうね きっと
まあこんなのがその日本の年の数え方です 西暦と和暦と2つあって和暦っていうのは言語がたくさんあります
昔からいろんな言語が使われてました そして去年日本では新しい天皇に変わったから新しい言語ができて
それで今日本の年の数え方は 令和という数え方です2020年は令和2年です
正直俺もねその西暦と和暦とで2つ一緒に覚えるのはちょっとめんどくさいなって 思う時もあります
昭和って何年までだっけとか あの平成の最初の年は西暦何年だっけとか忘れちゃう時があるので
だからまあどっちか一つだけの方がわかりやすいなとは思うんですけど でもね日本で昔から
何百年もずっと和暦っていうものを使ってたので それがなくなるのもそれはそれでちょっと寂しいなと思うので
これからもね ちょっとわかりにくいけどでも言語
