ep. 047 - 令和(N3)

(00:00:00) みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のTomoがちょうどいい日本語で話をします。
(00:00:21) テーマはリクエストすることもできます。リクエストがある人は SNSやメールなどで連絡をください。
(00:00:29) 皆さんからのメッセージ待ってます さあ今日は日本の
(00:00:36) 年の数え方についてお話ししようと思います 実はこの年の数え方について関係のあるリクエストは
(00:00:46) 去年もらってたんですけど すみませんちょっとあのインスタグラムの使い方慣れてなくて
(00:00:55) あの写真のコメントのところに リクエストが書いてあったんですけど気づかなくてですね
(00:01:03) 今になってしまいましたリクエストをくれたのは james さんって読むのかな
(00:01:10) すいません遅くなって あの足湯のところですね足湯の写真に
(00:01:17) 足湯カフェか足湯カフェの写真にコメントをくれてましたね さあそれじゃあこのリクエストのあった令和についてなんですけども
(00:01:28) まず日本のこの年の数え方っていうのについて あまり知らない人もいると思うのでまずはそこの説明からしたいと思います
(00:01:42) 日本では今何年かっていうその年の数え方は2つあります 一つはいろんな世界で使われている
(00:01:52) まあ皆さんも知ってると思うんですけど 西暦っていう数え方です
(00:01:57) この西暦で数えると今2020年ですね 去年が2019年で今2020年そして来年が2021年
(00:02:10) この数え方が西暦です西暦 ちなみにこの西暦の西っていうのは西の漢字です
(00:02:21) 日本語で西っていうのはヨーロッパの方のことですね でこの西暦っていうのは日本に昔からある数え方じゃなくて
(00:02:32) ヨーロッパの方から入ってきた数え方 それが西暦で今西暦2020年
(00:02:40) そしてこの西暦の他に 昔から日本で使われている年の数え方があります
(00:02:48) それが和暦っていうものです 和暦の和は日本の日本という意味の和
(00:02:57) 多分みんな和食とか和室とかそういう言葉知ってると思うんですけど 和っていうのは日本っていう意味を持っている漢字です
(00:03:08) そしてこの和を使って和暦 じゃあこの日本で昔からしている数え方ってどんなものかって言うと
(00:03:19) これは去年結構いろんな国でニュースになったんじゃないかなと思うんですけど リクエストにもあった令和です
(00:03:30) 去年令和になったから今令和2年ですね 日本ではこの令和とかあとは令和になる前は平成
(00:03:41) そして平成の前は昭和
(00:03:46) この年の前に昭和とか平成とか令和とかいろんな言葉をつけて そして1年2年3年と数えます
(00:03:56) それが日本の数え方和暦っていうものです この和暦っていうのは日本で結構昔から使われていて
(00:04:07) 初めてのこの和暦を使った数え方っていうのは 確か大和だったかな大和
(00:04:15) 大和と言って年を数えてました 大和の大は大きいっていう感じで和は文化の和ですね
