ep. 049 - ゲーム(N4)

(00:00:00) みなさんこんにちはTomoです これは日本語を勉強している人のためのポッドキャストです
(00:00:12) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のTomoがちょうどいい日本語で話をします
(00:00:23) テーマはリクエストもできますリクエストがある人はメールやSNSなどで連絡をください その時に一緒にどのくらいのレベルの話がいいかも教えてください
(00:00:37) みなさんからのメッセージ待ってます 今日もリクエストをもらっています
(00:00:42) 今日のリクエストはえっとノーパルさんですかね ノーパルさんからリクエストをもらいました
(00:00:52) 今日は 日本のゲームについてです
(00:00:58) ゲームがとても好きな人だそうですね で今日のリクエストは今人気があるゲームについて話してください
(00:01:09) っていうことなんですが ちょっとねあの
(00:01:14) 俺は今 最近のゲームっていうのはあまりわからないので 申し訳ないんですが今人気のゲームはわからないけどでも
(00:01:26) 昔人気だったゲームはわかります すみません俺はもう若くないのでちょっと今のゲームじゃなくて昔の話にしますね
(00:01:39) ただ昔人気だったゲームは今でも人気があるものも多いです ですから
(00:01:47) 昔のゲームの話でも今の人もわかるかもしれません それじゃあまずは最近のゲームでどんなのが人気なのか
(00:01:58) 俺は詳しくわからないけどでもインターネットで どのゲームがよく売れているかを見ることができるので
(00:02:07) せっかくなので少しそんな話もしたいと思います じゃあですね今一番売れているゲームが何かというのを
(00:02:19) インターネットで調べると 一番上に出てくるのは
(00:02:24) ポケモンです ポケットモンスター
(00:02:29) 多分これは結構世界でも有名なゲームだから 知っている人もたくさんいるんじゃないかと思います
(00:02:38) ピカチュウとか有名だよね 俺は実はあんまりポケモン知らないんですけど
(00:02:44) このポケモンも 俺が子供の時のゲームだから実は結構古いゲームですね
(00:02:52) 何年前だろう えーっと
(00:02:56) 20年以上前 かな
(00:03:01) 多分そうですね 23、4年ぐらい前かな
(00:03:08) そのくらい昔のゲームですね どんなゲームかというと
(00:03:13) RPG ロールプレイングゲームって言うんですけど
(00:03:18) ロールプレイングゲームっていうのはゲームのキャラクターが 旅をするんです
(00:03:25) 旅っていうのは旅行とねちょっと似てるんですけど あのいろんなところに行くんですが
(00:03:32) でも旅行みたいに遊びに行くのではありません ロールプレイングのキャラクターは
(00:03:40) 例えば悪い人がいて その悪い人と戦いに行ったりとか
(00:03:48) あとは人じゃなくていろいろな悪いモンスター モンスターって
(00:03:55) 怖い動物みたいなものですね そのモンスターとかと戦ってそして世界を平和にする
(00:04:04) そういうのがロールプレイングでよくある話です ポケモンはこのRPGのゲームで昔からあるゲームですが
(00:04:13) 今売れているのはその昔のポケモンじゃなくて ちょっと新しいポケモンですね
(00:04:21) あと他には3位だと俺も知ってる マインクラフト
(00:04:27) これもよく売れてますね 実は俺はやったことがないのでどんなゲームかわかんないんですけど
(00:04:34) あと他にもマリオカート
(00:04:37) マリオカートは
(00:04:40) これもちょっと古いゲームですが俺も子供の時によくやりました 皆さんマリオというのを知ってるでしょうか
(00:04:50) マリオはキャラクターの名前ですがこれもゲームのキャラクターで そのマリオっていうキャラクターが車に乗って他のキャラクターとレースをする
(00:05:04) それがマリオカートです このマリオカートも今から20年以上
(00:05:11) 25年とかもしかしたらもうちょっと前かもしれませんね そのぐらい古いゲームなんですが今売れているのは新しいマリオカートで
(00:05:21) マリオカート8って書いてあります ナンバー8まで出てますとても新しいマリオカートですね
(00:05:30) あと他にも俺が知っているゲームだと 8スーパーマリオ今言ったマリオカートのキャラクターですけど
(00:05:38) スーパーマリオメーカーっていうゲームも売れています スーパーマリオのいろいろなコースを自分で作ることができるゲームです
(00:05:50) みんなスーパーマリオっていうゲームを知ってるかな スーパーマリオっていうのはマリオっていうキャラクターを
(00:05:57) そのテレビの画面の左から右に走らせて そして邪魔のものをジャンプして避けたり
(00:06:08) あとは敵のキャラクターいろいろなモンスターとか そういうのがいるからそれをジャンプして踏んだりして
(00:06:16) そしてゴールに行くっていうそういうゲームです このマリオも昔からあるゲームなんですが
(00:06:24) これどのぐらい昔からあるんだろう30年ぐらい前じゃないかな まあ昔からあるとても有名な人気のあるゲームですが
(00:06:33) このマリオは人気がありすぎてみんながたくさんやってたから だからマリオのコースは
(00:06:41) 上手い人は全部簡単すぎて面白くない だから自分で難しいコースを作ろうっていうのがこのスーパーマリオメーカーです
(00:06:52) 自分でマリオのコースを作ることができます こういうのが最近売れているゲームなんですが
(00:06:59) でも俺は最近あまりゲームをしないので今言ったゲームはあの どんなゲームかは
(00:07:08) なんとなくわかるんですけどでもちゃんとやったことはありません じゃあ俺がちゃんとやったことがあるゲームってどんなものかというと
(00:07:20) 俺が好きなゲームは2つです まず一つはファイナルファンタジー
(00:07:27) そしてもう一つがドラゴンクエスト ファイナルファンタジーもドラゴンクエストもどちらもポケモンみたいな
(00:07:35) RPGですロールプレイングゲーム 俺と同じぐらいの年齢の人はこのドラゴンクエストを短くするとドラクエって言うん
(00:07:46) ですけどドラクエとあとはファイナルファンタジー FFって言いますが
(00:07:53) このドラクエとFFをしたことがない人の方が したことがある人より少ないんじゃないかなと思うんですけど
(00:08:03) どうですかね俺の周りではみんなしてました 実はこのドラクエとFFって最近あの日本のゲームでちょっと話題になったんですけど
(00:08:16) まずドラクエは去年 ドラクエウォークっていう新しいゲームを出してそれがとても人気があってみんながしていました
(00:08:28) どんなゲームかというと 多分ポケモンGOとちょっと似てるのかな
(00:08:34) 俺はポケモンGOをやったことないんですけどゲームを開いてそして そのこれスマホのアプリなんですけど
(00:08:43) そのスマホを持ってそして外を歩くと 中のキャラクターも自分と一緒に動いてそして
(00:08:52) 自分が外を歩いていると外でモンスターとかに会ってそしてそのモンスターを倒して 他にもそれだけじゃなくていろいろな人に会ったりとか
(00:09:04) いろんな街に行ったりとかしてそして話を進めていくっていうゲームです これはずっと家の中にいて一人でやるんじゃなくて
(00:09:14) 実際に家の外に出て街を歩きながらするゲームなので自分が本当に ゲームのキャラクターじゃなくて自分が旅をしているみたいでそれで面白くて人気です
(00:09:30) 俺もちょっとやりましたけど面白かったです それからもう一つFF
(00:09:36) これも最近実はちょっと話題になったんですけど どうしてかというと
(00:09:42) 昔出たゲームが新しくリメイクされます このFFって
(00:09:50) FF1から 今何まで出てるかな15とか6ぐらいまであるのかな
(00:09:58) 俺がやったことがあるのは10までなんですけど その中でも特に人気があったFF7
(00:10:06) ファイナルファンタジーの7 このゲームが
(00:10:11) 最近システムもあとはあの映像も全部新しくなって綺麗になって そして
(00:10:21) 新しいゲームとして売られます このFF7は初めて売られたときはソニーの
(00:10:29) PlayStationっていうゲームのソフトだったんですけど 今度を出るときはPlayStationじゃなくて
(00:10:37) プレイステー…プレ… プレイステーション4かな
(00:10:43) 多分その新しいゲーム機でやるソフトです 昔と比べて
(00:10:49) あの デザインとかも音楽も全部綺麗になってそして難しいこともできるから
(00:10:58) すごく面白そうなゲームです 俺プレステ4は持ってないんですけど
(00:11:04) プレステってプレイステーションのことね プレイステーションでは長いからプレステと言いますが
(00:11:11) 俺はプレステを持ってないんですけど このFF7のリメイクをするためだけに
(00:11:20) ちょっとプレステ4を買おうか 悩んでいます
(00:11:26) このプレステ4高いんですけどね 高いですから
(00:11:31) あのあまりお金は使いたくないんですけど でもそのくらいこのFF7
(00:11:38) FF7っていうのはとても面白くて人気がある ゲームなので
(00:11:45) きっとすごく面白いと思います あの
