ep. 051 - 神道(N3)

みなさんこんにちはTOMOです これは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします
テーマはリクエストもできます リクエストがある人はSNSやメールなどでメッセージをください
リクエストするときはレベルも教えてください だいたいN3ぐらいとかそんな感じで大丈夫です
皆さんからのメッセージ待ってます さあ今日もらったリクエストは
浸透について紹介してくださいっていうリクエストです
前も1回リクエストくれたことがある人なんですけど 姉さんさんという人ですね
浸透に関する ポッドキャストを作ってくださいませんか
よく耳にするのに僕はあまり説明されたことがありませんから 紹介していただけませんかっていうことです
確かにねあの日本語の教科書とかにはあんまり宗教の話はありませんね 宗教っていうのは
神様を信じること 例えば仏教とかキリスト教とか
日本だったら仏教の人が多いですが その他にも浸透っていう宗教が日本にはあります
その浸透について教えてくださいっていうリクエストです 確かにねこの浸透についてよく知っている外国の人っていうのはあまりいないかも
しれません 日本人もまぁあの詳しく知っているかどうかっていうと
そんなに詳しくは分からないと思うんですけど でも
一応日本人ですからね日本の宗教ですから俺の知っていることをちょっと話をしたいなぁ と思います
じゃあまずその浸透でどんな神様を信じるかっていう話なんですけど
ちょっとこれは浸透の特別なところだと思うんですけど 浸透では
たくさんの神様を信じています 他の宗教だと普通神様一人だけですよね
キリスト教とか仏教とか でも日本では昔から神様はたくさんいると思っていました
例えば食べ物の神様とか水の神様とか 薬の神様とか病気の神様とか
もう本当にいろんな神様です 日本語には八百万の神々っていう言葉があるんですけど
八百万っていうのは とってもたくさんという意味です
そしてそのたくさんの神 神が2回で神々
八百万の神々 これでたくさんの神様っていう意味です
昔からこの八百万の神様っていうのが日本にいて そして浸透っていうのはそのたくさんの神様を信じる
そういう宗教です この浸透って神様がたくさんいるだけでも他の宗教と全然違うなっていうのが
わかると思うんですけど 結構ね他にも違うところがたくさんあります
例えば浸透って基本的に 広めようとしません
他の宗教は結構あなたも神様を信じませんかっていうふうに 信じる人を多くしようとすると思うんですけど
浸透はそういうことをしません 信じたい人は
自分で信じてくださいっていう感じですね あと他にも
他の宗教は結構その宗教の建物 例えばキリスト教だったら教会とか
仏教だったらお寺とか その建物に行ってそこにいる人にいろいろ話を聞いたりとかすると思うんですけど
浸透ではそういうことがありません 浸透の建物は神社ですね
その神社にちゃんと観主っていう その神社の仕事神様の仕事をする人がいるんですけど
でもその人が 浸透を信じる人はこういうことをしなければなりませんよとか
こんなことをしちゃいけませんよとかそういう話は全然しないんです 結構宗教ってルールがたくさんあると思うんですけど
あの肉を食べてはいけないとか こういうことをしてはいけないこれをしなきゃいけないっていう
でも浸透ってさっきも言ったように神様がたくさんいるから ルール多分作れないんですよね
ヤホヨロズの神って漢字で書くと800万って書きますから 神様が800万そんなにたくさんいるんです
だから一人一人の神様に合わせてルールを作ることはできないですね ただ浸透を信じている人が何もしないかというとそういうわけじゃありません
日本の家の中には神棚って言って 小さい神社みたいな神様の家みたいなものがあります
その神棚の前にお供え物 水とかお酒とかご飯とかそういうものを置いておきます
そしてその神棚に向かって礼をしたり 浸透ではそういうことをします
ただこれも面白いところだと思うんですけど 日本ってその神様がたくさんいるっていうふうに考えているから
日本の浸透の神様も 他の宗教の神様も一緒に信じることができます
だから日本って浸透だけじゃなくて仏教
仏陀ですね あの日本語だと仏様って言うんですけど
その仏教を信じている人も多いんですが 浸透と仏教と2つ一緒に信じている人もたくさんいます
日本の昔のうちにはさっき言った神棚っていうのが 結構あったんですけどその神棚の他に実は一緒に
仏壇って言って仏教のものも置いているうちがとても多かったです 仏教の神様と
浸透の神様と同じ部屋に2人いるんです 結構ねこれ他の宗教から考えると変なことじゃないかなっていう気がするんですけど
日本では神様がたくさんいるのでこういうことができます こんな風に日本の浸透っていうのは神様がたくさんいて他の宗教の神様とも
仲良くできるっていうか日本人はどんな宗教でも神様はみんな神様っていうふうに考えるので 他の宗教を信じている人から見るとちょっと
特別なっていうか変なっていうか 他と違う宗教だなっていう感じがするかもしれません
日本に遊びに来てそして神社に行ってみたいっていう人は日本には神社がたくさんあるので どんな神様の神社に行きたいかっていうのをよく調べておくといいと思います
日本に神様はたくさんいてもちろんそのそれぞれの神様の得意なこともみんな違います 例えば
勉強の神様もいるし 縁結びって言って
彼女ができますようにとか結婚できますようにとか素敵な人に会えますように っていうお願いを聞いてくれる神様もいます
他にも 健康の神様とか
お金の神様とかいろんな神様がいます 日本で神様に何かお願いするときは間違えてその違う神様
お願いしたいことと違う神様のところに行かないように気をつけなければなりません さてこんなのが日本の神道ですが
日本のその神様についてもっといろいろ知りたかったら 日本の神様がどうやって生まれたか
どんな神様がいてその神様はどうしてそこにいるのかとか そういう話が書いてある本もあります
すっごく古い本で昔に書かれた 古事記とか日本書紀っていう本なんですけど
この本には どうやって日本という国が作られたのかとか
どんな神様がいるのかっていう話が書かれています 昔の本でもちろん本物は読むことができませんが
今の人がわかりやすいように 古い日本語じゃなくて今の日本語に書き換えられた本とかが本屋に売ってますので
まぁちょっと難しいですけどね 多分JLPTのN2とかN1とかがないと読んでもわからないかもしれませんが
興味がある人はこういうのを読んでみてください 日本の神様についてわかると思います
さてこんなのが日本の神道についてです さっきも言ったけどね日本にはいろんな神様がいるので
もし日本に来て神社に行ってみたいっていう人は そこの神社にどんな神様がいるのかってのも気をつけて見てみてください
結構ねどんな神様がいて その神様はどうやって生まれたのかとか
そういう話も一緒に聞いてくるととても楽しいと思います それじゃあ今日はこの辺で終わりにしたいと思います
皆さんもリクエストがあったらぜひメッセージを送ってください 待ってます
それじゃあさようなら
