ep. 051 - 神道(N3)

(00:00:00) みなさんこんにちはTOMOです これは日本語を勉強している人のためのポッドキャストです
(00:00:10) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします
(00:00:20) テーマはリクエストもできます リクエストがある人はSNSやメールなどでメッセージをください
(00:00:27) リクエストするときはレベルも教えてください だいたいN3ぐらいとかそんな感じで大丈夫です
(00:00:34) 皆さんからのメッセージ待ってます さあ今日もらったリクエストは
(00:00:41) 浸透について紹介してくださいっていうリクエストです
(00:00:48) 前も1回リクエストくれたことがある人なんですけど 姉さんさんという人ですね
(00:00:55) 浸透に関する ポッドキャストを作ってくださいませんか
(00:01:01) よく耳にするのに僕はあまり説明されたことがありませんから 紹介していただけませんかっていうことです
(00:01:10) 確かにねあの日本語の教科書とかにはあんまり宗教の話はありませんね 宗教っていうのは
(00:01:21) 神様を信じること 例えば仏教とかキリスト教とか
(00:01:28) 日本だったら仏教の人が多いですが その他にも浸透っていう宗教が日本にはあります
(00:01:37) その浸透について教えてくださいっていうリクエストです 確かにねこの浸透についてよく知っている外国の人っていうのはあまりいないかも
(00:01:48) しれません 日本人もまぁあの詳しく知っているかどうかっていうと
(00:01:55) そんなに詳しくは分からないと思うんですけど でも
(00:02:00) 一応日本人ですからね日本の宗教ですから俺の知っていることをちょっと話をしたいなぁ と思います
(00:02:08) じゃあまずその浸透でどんな神様を信じるかっていう話なんですけど
(00:02:15) ちょっとこれは浸透の特別なところだと思うんですけど 浸透では
(00:02:21) たくさんの神様を信じています 他の宗教だと普通神様一人だけですよね
(00:02:30) キリスト教とか仏教とか でも日本では昔から神様はたくさんいると思っていました
(00:02:40) 例えば食べ物の神様とか水の神様とか 薬の神様とか病気の神様とか
(00:02:50) もう本当にいろんな神様です 日本語には八百万の神々っていう言葉があるんですけど
(00:02:59) 八百万っていうのは とってもたくさんという意味です
(00:03:04) そしてそのたくさんの神 神が2回で神々
(00:03:10) 八百万の神々 これでたくさんの神様っていう意味です
(00:03:16) 昔からこの八百万の神様っていうのが日本にいて そして浸透っていうのはそのたくさんの神様を信じる
(00:03:25) そういう宗教です この浸透って神様がたくさんいるだけでも他の宗教と全然違うなっていうのが
(00:03:34) わかると思うんですけど 結構ね他にも違うところがたくさんあります
(00:03:41) 例えば浸透って基本的に 広めようとしません
(00:03:48) 他の宗教は結構あなたも神様を信じませんかっていうふうに 信じる人を多くしようとすると思うんですけど
(00:03:57) 浸透はそういうことをしません 信じたい人は
(00:04:02) 自分で信じてくださいっていう感じですね あと他にも
(00:04:07) 他の宗教は結構その宗教の建物 例えばキリスト教だったら教会とか
(00:04:16) 仏教だったらお寺とか その建物に行ってそこにいる人にいろいろ話を聞いたりとかすると思うんですけど
(00:04:25) 浸透ではそういうことがありません 浸透の建物は神社ですね
(00:04:32) その神社にちゃんと観主っていう その神社の仕事神様の仕事をする人がいるんですけど
(00:04:40) でもその人が 浸透を信じる人はこういうことをしなければなりませんよとか
(00:04:47) こんなことをしちゃいけませんよとかそういう話は全然しないんです 結構宗教ってルールがたくさんあると思うんですけど
(00:04:57) あの肉を食べてはいけないとか こういうことをしてはいけないこれをしなきゃいけないっていう
(00:05:03) でも浸透ってさっきも言ったように神様がたくさんいるから ルール多分作れないんですよね
(00:05:12) ヤホヨロズの神って漢字で書くと800万って書きますから 神様が800万そんなにたくさんいるんです
(00:05:21) だから一人一人の神様に合わせてルールを作ることはできないですね ただ浸透を信じている人が何もしないかというとそういうわけじゃありません
(00:05:35) 日本の家の中には神棚って言って 小さい神社みたいな神様の家みたいなものがあります
(00:05:46) その神棚の前にお供え物 水とかお酒とかご飯とかそういうものを置いておきます
(00:05:55) そしてその神棚に向かって礼をしたり 浸透ではそういうことをします
(00:06:03) ただこれも面白いところだと思うんですけど 日本ってその神様がたくさんいるっていうふうに考えているから
(00:06:14) 日本の浸透の神様も 他の宗教の神様も一緒に信じることができます
(00:06:23) だから日本って浸透だけじゃなくて仏教
(00:06:29) 仏陀ですね あの日本語だと仏様って言うんですけど
(00:06:34) その仏教を信じている人も多いんですが 浸透と仏教と2つ一緒に信じている人もたくさんいます
(00:06:47) 日本の昔のうちにはさっき言った神棚っていうのが 結構あったんですけどその神棚の他に実は一緒に
(00:06:58) 仏壇って言って仏教のものも置いているうちがとても多かったです 仏教の神様と
(00:07:08) 浸透の神様と同じ部屋に2人いるんです 結構ねこれ他の宗教から考えると変なことじゃないかなっていう気がするんですけど
(00:07:22) 日本では神様がたくさんいるのでこういうことができます こんな風に日本の浸透っていうのは神様がたくさんいて他の宗教の神様とも
(00:07:35) 仲良くできるっていうか日本人はどんな宗教でも神様はみんな神様っていうふうに考えるので 他の宗教を信じている人から見るとちょっと
(00:07:48) 特別なっていうか変なっていうか 他と違う宗教だなっていう感じがするかもしれません
(00:07:57) 日本に遊びに来てそして神社に行ってみたいっていう人は日本には神社がたくさんあるので どんな神様の神社に行きたいかっていうのをよく調べておくといいと思います
(00:08:11) 日本に神様はたくさんいてもちろんそのそれぞれの神様の得意なこともみんな違います 例えば
(00:08:22) 勉強の神様もいるし 縁結びって言って
(00:08:29) 彼女ができますようにとか結婚できますようにとか素敵な人に会えますように っていうお願いを聞いてくれる神様もいます
(00:08:39) 他にも 健康の神様とか
(00:08:44) お金の神様とかいろんな神様がいます 日本で神様に何かお願いするときは間違えてその違う神様
(00:08:55) お願いしたいことと違う神様のところに行かないように気をつけなければなりません さてこんなのが日本の神道ですが
(00:09:05) 日本のその神様についてもっといろいろ知りたかったら 日本の神様がどうやって生まれたか
(00:09:16) どんな神様がいてその神様はどうしてそこにいるのかとか そういう話が書いてある本もあります
(00:09:25) すっごく古い本で昔に書かれた 古事記とか日本書紀っていう本なんですけど
(00:09:35) この本には どうやって日本という国が作られたのかとか
(00:09:41) どんな神様がいるのかっていう話が書かれています 昔の本でもちろん本物は読むことができませんが
(00:09:51) 今の人がわかりやすいように 古い日本語じゃなくて今の日本語に書き換えられた本とかが本屋に売ってますので
(00:10:01) まぁちょっと難しいですけどね 多分JLPTのN2とかN1とかがないと読んでもわからないかもしれませんが
(00:10:11) 興味がある人はこういうのを読んでみてください 日本の神様についてわかると思います
(00:10:19) さてこんなのが日本の神道についてです さっきも言ったけどね日本にはいろんな神様がいるので
(00:10:27) もし日本に来て神社に行ってみたいっていう人は そこの神社にどんな神様がいるのかってのも気をつけて見てみてください
(00:10:39) 結構ねどんな神様がいて その神様はどうやって生まれたのかとか
(00:10:45) そういう話も一緒に聞いてくるととても楽しいと思います それじゃあ今日はこの辺で終わりにしたいと思います
(00:10:54) 皆さんもリクエストがあったらぜひメッセージを送ってください 待ってます
(00:10:59) それじゃあさようなら
