ep. 052 - 老後の生活(N2)

(00:00:00) みなさんこんにちはTOMOです。これは日本語を勉強している人のためのポッドキャストです。教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします。
(00:00:21) テーマはリクエストすることもできます。リクエストがある人はメールとかSNSで連絡をください。
(00:00:29) リクエストするときは大体のレベルも教えてくれるとありがたいです。 みなさんからのメッセージ待ってます。
(00:00:38) さてそれじゃあ今日のテーマですが今日は 老後の生活です。
(00:00:46) これはベトナム人のテイさんという方からリクエストをもらいました。
(00:00:53) いつもポッドキャストを聞くだけなので今回はリクエストを送ってみたいなと思っております。 とのことです。
(00:01:01) リクエストありがとうございます。
(00:01:04) このテイさん5ヶ月くらい日本に住んでいて 毎週
(00:01:11) 多文化共生センターというところに行って高齢者と日本語で話しています。 先日広告を見たら東京にある高齢者向けの老人ホーム
(00:01:22) 毎月27万円ぐらいかかるそうです。 すごく高くてびっくりしました。ということでそれで今日は老後の生活についてリクエストを
(00:01:32) くださいました。 この老後の問題ですが
(00:01:38) 日本では今、今だけじゃないねもう結構前からですけど すごい問題になっているテーマです。
(00:01:47) なんでかっていうと日本では 少子高齢という問題があります。
(00:01:55) 少子っていうのは少は少ないで子は子供の子 それで少子
(00:02:02) 高齢はあの年齢が高いっていう高齢ですね 高いと年齢の例で高齢です。
(00:02:11) じゃあこの少子高齢っていうのがどうして問題になるのかっていうと まあいろいろ問題はあるんですけど
(00:02:20) まずは日本での簡単なシステムをちょっと説明しようと思います。 日本に住んでいる人はみんな
(00:02:30) 税金を払いますがその払わなければならないお金のお金の中に 年金っていうものがあります。
(00:02:40) 年金って何かというと 日本に住んでいる人はみんな毎月
(00:02:46) 20歳以上の人だけなんですけどお金を払わなければならないんです でそのお金は何のためなのかというと
(00:02:54) 高齢者 あの年齢が高い人ね
(00:02:58) その人の生活のために使われます 高齢者って
(00:03:05) 昔はねこの年金もらえるのは60歳からだったんですけど 今は60歳ぐらいでも働く人が多くなってきて
(00:03:14) 働くっていうか働かなければならない人かなどっちかっていうと まあそれで65歳ぐらいまで働く人が多いから今は65歳からもらえます
(00:03:26) 若い人が若いっていうか20歳以上の人ね その人が毎月お金を払ってそしてその払われたお金が65歳以上の人に支給され
(00:03:37) ます で65歳とか年を取って仕事ができなくなった人も毎月お金がもらえるのでそれで
(00:03:45) 生活ができるっていうそういうシステムです で昔はこの年金
