ep. 053 - 文法〈は vs が〉(N3)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
トピックはリクエストもできます何かリクエストがある人は sns やメールなどでメッセージをください
今日は久しぶりに文法の話です このリクエストはツイッターで
えっと茶漬けさんに頂きました お茶漬けの茶漬けかな
お茶漬けは日本の食べ物ですね
えっと リクエスト内容は
文法なんですけど 特に助詞の使い方が多いですね
結構 助詞の使い方難しいっていう人は多いですけど
その中でも特にみんながわからないってよく言うのが 和とがの使い方
あとは あの文法用語だと終助詞って言うんですけど
一番最後につける助詞 簡単なのだと質問の時のかとかですけど他にも日本語は
ねとかよとかいろんな助詞があります そういうね色々な文法の使い方について今日は話をしたいと思います
じゃあまずはそのみんな難しいっていう 和とがの使い方ですけど
これは 結構
説明が難しくて日本人でもうまく説明できないとか どんな時に和を使うのかどんな時にがを使うのかわからないっていう人が多いです
そのくらい あの
いろんな使い方があって説明が難しいんですけど 今日はそのいろいろな使い方の中のわかりやすいものをいくつか紹介したいと思います
じゃあまずわかりやすいもの一つ目 はの使い方なんですけど
形容詞とかあとは名詞の時は 和を使います
例えば車は便利ですとか 夏は暑いですとか
日本語は面白いとか この便利とか面白いとかこういうのは形容詞ですね
日本語を勉強している人はいい形容詞とかな形容詞と勉強したと思います あとは名詞っていうのは例えば私は学生ですとか
あと これは私の携帯ですとか
この学生とか携帯っていうのが名詞ですね こういうふうに形容詞とか名詞が最後の文
この時はだいたいはを使います でもちょっと注意で形容詞とか名詞でもはじゃなくてがを使うときもあります
それはどんな時かっていうと 何かの中の一つだけの話をしたいとき
例えば 私の友達は綺麗です
これは私の友達は綺麗です 綺麗はな形容詞だからはです
綺麗なのはその友達全部です じゃあ友達全部の話じゃなくて友達の何か一つだけの話をしたいとき
例えば私の友達は髪が長いです
こういうふうに言うと私の友達全部が長いんじゃないですね 全部が長いってちょっと変ですね
友達の中の一つだけ髪の毛だけ その一つだけを言いたいときは私の友達は髪が長いです
髪は長いじゃなくて髪が長いと言います あともう一つがの使い方があってそれは質問の時
例えば あの喫茶店のコーヒーは美味しいですって言ったら美味しいはいい形容詞だからコーヒーは美味しい
なんですけどこれを質問にするとき あの喫茶店は何が美味しいですか
何はっていうふうには絶対言いません 質問するときはがです
あと質問されて答えるときもがです だから何が美味しいですかって聞かれたらコーヒーが美味しいです
コーヒーがですコーヒーはじゃありません これが最初のはの使い方形容詞とか名詞の時ははと言いましょう
でねあのこの話をすると時々あの 日本語の教科書でちゃんと日本語を勉強してた人は
好きとか上手とかはなけよしなのにいつもがですよねどうしてですかっていうふうに 聞いてくるんですけど
これは 好きとか上手っていうのは絶対に誰か人のことですよね
だからです まあ人じゃなくて動物とかでもいいんですけどね
私は コーヒーが好きですとか
これは私の中の好きなもの何か一つだけを話しているから コーヒーが好きです
上手とか下手もそうですね 私の先生は話が上手ですとか
私の先生は英語が下手ですとか いつも上手とか下手っていうのは誰かの中の一つだけの話をしているから
そういう時にははじゃなくてがを使います さあそれじゃあ今度は
今形容詞と名詞の使い方ではを使いますって言ったけど今度は形容詞じゃなくて 動詞だったらどうなのかという話です
形容詞ははを使います動詞ははじゃなくてがを使います いつもじゃないですけどね
自分の話するときは私はっていう時多いですけど 他の人の話とか他のものの話するときにはがを使います
例えば電車が来ましたとか雨が降っていますとか 他にも明日友達は遊びに来ますじゃなくて友達が遊びに来ますって言ったりとか
先生は私に日本語を教えてくれましたじゃなくて先生が私に日本語を教えてくれました とか
これが動詞の時のがの使い方です どうしてはがを使います
ここまでががの使い方の 動詞のがの使い方の簡単なルールなんですけど
じゃあその次ちょっと難しい使い方を言いますね 実は動詞でもがじゃなくてはを使うときがいっぱいあります
だからねみんなわかんないんだと思うんですけど じゃあどんな時にがじゃなくてはを使うのか
まず一つ目 反対の時ははを使います
これは動詞でも形容詞でも全部同じなんですけど 例えばさっきの友達が遊びに来ます
これを友達がじゃなくて友達はって言ったら 家族は遊びに来ないでも友達は遊びに来る
来ないの反対だっていう意味になります まあ別に家族じゃなくても何でもいいんですけど
はって言ったら その後とか前にでもって言って何か反対のことを言ってるっていう感じが
します だから他にも明日雨が降るじゃなくて明日雨は降るって言ったら
雪は降らないけど雨は降るみたいな感じでやっぱり反対 つまり雨が降るんだったら別のものは降らない
何か反対のものがあるっていう意味です このはの使い方を話すときにあの学校でね
いつも俺の学生に教えるときに例として出すのが 日本人を褒めるときは気をつけなさいっていうんです
なんでかというと例えば こうクラスメイトでも日本人の知り合いでも誰でもいいんですけど
綺麗な人がいたらあなたは今日は綺麗ですねって言ったら すごく失礼だからやめなさいっていう話をするんですよ
これなんでかっていうと今日は綺麗ですって言ったら それはつまり
今日は綺麗だけどでも 昨日は綺麗じゃなかったとか今日は綺麗だけどでもいつもは綺麗じゃないとか
そういうふうに反対の意味 今日が綺麗だったら他の時は綺麗じゃないっていう反対の意味になっちゃうんです
だから誰かを褒めるときははに気をつけなきゃいけないんですよ あの持っているものとかでも何でもそうなんですけど
友達が可愛い服を着てたらあその服は可愛いねって言うと 他の服は可愛くないとか
あそのカバンはかっこいいねって言うと他のカバンはかっこよくないとかね こんな風にはは反対の意味になっちゃうから
だから褒めるときははって言っちゃダメだよっていうふうに話してます だから綺麗っていう時も綺麗ですね
だけだったり服とかカバンとかを褒めるときも その服はかっこいいじゃなくてその服かっこいいねとか
その服可愛いね 服はって言ってはいけません
これがはの使い方で 反対の意味になるっていうものです
あとねもう一つはの使い方があります それは何かというと
2回目の時ははと言います 例えば
私には仲がいい友達がいます その友達は来年日本に留学します
今友達って2回言ったのわかりましたか 私には仲がいい友達がいます
最初はがです友達が そしてその次その友達は来年日本へ留学します
友達2回目の時がじゃなくてはになりました 最初に何か話をしてその後2回目とか
3回目でもいいんですけど 最初だけがにしてその後ははにします
他にも例えば 私の学校には
とてもいい先生がいますその先生はいつも優しく日本語を教えてくれますとか 先生って言ったのが2回目2回目の時ははを使います
こんなのがはとがの使い方です もちろん他にもいろんな使い方っていうのがあるんですけど全部説明するとすごく長く
なっちゃうのでとりあえず今日はここまで じゃあとりあえずはとがの使い方について話しましたが
えっとちょっと時間が長くなってきたので今日は1回ここまで 次ねまた別のもう少し文法の使い方について話をしたいと思います
皆さん最後まで聞けたでしょうか途中で眠くなりませんでしたか 文法は難しいかもしれないけど文法をたくさんしていると日本語も上手になると思うので
頑張って聞いてください もちろん文法だけじゃなくて他にも何か聞いてみたいことがあったらどんどんリクエストを送って
ください それじゃあ今日はここで終わりにしましょう
また次も文法の話になると思いますが 文法が好きな人は楽しみに待っていてください
それじゃあさようなら
