ep. 053 - 文法〈は vs が〉(N3)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:10) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:20) トピックはリクエストもできます何かリクエストがある人は sns やメールなどでメッセージをください
(00:00:28) 今日は久しぶりに文法の話です このリクエストはツイッターで
(00:00:35) えっと茶漬けさんに頂きました お茶漬けの茶漬けかな
(00:00:41) お茶漬けは日本の食べ物ですね
(00:00:45) えっと リクエスト内容は
(00:00:49) 文法なんですけど 特に助詞の使い方が多いですね
(00:00:55) 結構 助詞の使い方難しいっていう人は多いですけど
(00:01:01) その中でも特にみんながわからないってよく言うのが 和とがの使い方
(00:01:09) あとは あの文法用語だと終助詞って言うんですけど
(00:01:15) 一番最後につける助詞 簡単なのだと質問の時のかとかですけど他にも日本語は
(00:01:24) ねとかよとかいろんな助詞があります そういうね色々な文法の使い方について今日は話をしたいと思います
(00:01:34) じゃあまずはそのみんな難しいっていう 和とがの使い方ですけど
(00:01:41) これは 結構
(00:01:45) 説明が難しくて日本人でもうまく説明できないとか どんな時に和を使うのかどんな時にがを使うのかわからないっていう人が多いです
(00:01:59) そのくらい あの
(00:02:02) いろんな使い方があって説明が難しいんですけど 今日はそのいろいろな使い方の中のわかりやすいものをいくつか紹介したいと思います
(00:02:14) じゃあまずわかりやすいもの一つ目 はの使い方なんですけど
(00:02:20) 形容詞とかあとは名詞の時は 和を使います
(00:02:26) 例えば車は便利ですとか 夏は暑いですとか
(00:02:34) 日本語は面白いとか この便利とか面白いとかこういうのは形容詞ですね
(00:02:43) 日本語を勉強している人はいい形容詞とかな形容詞と勉強したと思います あとは名詞っていうのは例えば私は学生ですとか
(00:02:56) あと これは私の携帯ですとか
(00:03:02) この学生とか携帯っていうのが名詞ですね こういうふうに形容詞とか名詞が最後の文
(00:03:11) この時はだいたいはを使います でもちょっと注意で形容詞とか名詞でもはじゃなくてがを使うときもあります
(00:03:22) それはどんな時かっていうと 何かの中の一つだけの話をしたいとき
(00:03:30) 例えば 私の友達は綺麗です
