ep. 054 - 文法〈ば、たら、なら〉(N4)

(00:00:00) みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
(00:00:11) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:23) テーマはリクエストもできますリクエストがある人はメールとか sns でメッセージをください みなさんからのメッセージ待ってます
(00:00:33) さあそれじゃあ今日は前回の続きで文法について話をしたいと思います 文法は難しいのでね眠くなる人もいると思いますが頑張って聞いてください
(00:00:48) じゃあ今日の文法は この前が助詞の話だったので今日は助詞じゃなくて別の文法の話をしたいと思います
(00:00:59) 何の文法かというと ばとたらとならの3つの違いです
(00:01:08) この3つの文法はとてもよく使うので多分皆さんも教科書で勉強したことがあると 思いますが
(00:01:16) どんな時にどれを使えばいいかわからないという人も結構いると思います 確かにこの3つは全部
(00:01:26) もしっていう時に使うことができる文法なので少し難しいかもしれませんね じゃあこの3つの文法ですがまずは
(00:01:38) それぞれのばとたらとならの使い方で使い方で ちょっと特別なものそれを紹介したいと思います
(00:01:49) まず一つ目ばの使い方ですけどばは もしっていう時だけじゃなくてちょっと特別な文法があります
(00:02:01) それは何かというとばとほどを一緒に使う文法です 例えば
(00:02:09) 日本語をたくさん話せば話すほど上手になるとか お菓子は甘ければ甘いほど体に悪いとか
(00:02:25) このばとほどを一緒に使うと一つが変わると もう一つも一緒に変わるっていう意味です
(00:02:36) 例えばさっきの勉強すればするほど上手になる たくさん勉強するそしたら日本語が上手になる
(00:02:47) もっと勉強するもっと上手になる この勉強するそうしたらその次に上手になる
(00:02:55) こういうふうに2つのものが一緒に変わる あと他にもお菓子は甘ければ甘いほど体に悪い
(00:03:03) お菓子が甘くなると砂糖がたくさんですから体に悪い もっと甘くなるともっと悪くなる
(00:03:12) この甘くなると体に悪くなる 一緒に変わりますね
(00:03:17) これがばとほどを一緒に使う特別な文法 じゃあその次たらの使い方ですが
(00:03:27) たらはいろんな使い方があって もしっていう意味もあるんですけどそれだけじゃなくて
(00:03:36) 何かをしてからその次にっていう意味もあります 例えば電車がついたら電話をしてくださいとか
(00:03:46) これは電車が駅についてからその次に電話をするっていう意味ですね 他にも
(00:03:54) 雨が止んだら買い物に行きますとか 風邪が治ったら友達と遊びに行きますとか
(00:04:04) これは全部もしっていう意味じゃありません じゃあその次にならの使い方ですが
(00:04:12) ならっていうのは もしの意味もあるけどもう一つの使い方
(00:04:18) 誰かの話を聞いてそしてその話について何か言うときです 例えば友達が日本へ旅行に行くって聞いたら
(00:04:31) じゃあ日本へ行くなら 何か
(00:04:37) 面白いお土産買ってきてってお願いしたりとか 日本へ行くなら
(00:04:44) 早くホテルを予約した方がいいよとか こんな風に誰かの話を聞いてそしてそれについて話すのは
(00:04:54) ならを使います 誰かがお腹が痛いって言ってたらお腹が痛いなら薬を飲んだ方がいいよとか
(00:05:06) 車が欲しいって言ったら 車を買うならトヨタがいいよとか
(00:05:14) 家族が買い物に行くって言ったら じゃあ買い物に行くならチョコレート買ってきてとか
(00:05:22) このならの使い方は今言ったみたいに何かお願いしたりとか アドバイスしたりとかそういう時によく使います
(00:05:32) じゃあこれがあの3つの文法のそれぞれの特別な使い方ですが じゃあもう一つ今度は
(00:05:42) もしっていう意味の時の使い方についてです バッドたらとならは全部もしっていう時も使えるんですけど
(00:05:54) その使い方でちょっと特別なのがあります それは
(00:05:59) ならの使い方 実は場とたらは
(00:06:05) だいたい同じ使い方ができるので ばっていう時はだいたいたらでも大丈夫です
(00:06:13) 最初に話した場とほどを一緒に使うのはたらだとダメですけどでも他のはだいたい たらって言っても大丈夫です
(00:06:22) でもならはこのたらとか場と交換できない時があります たらの使い方なんですけどたらっていうのは
(00:06:35) 何かをしてそしてその次に何かをする っていう使い方ちょっとわかりにくいね
(00:06:43) 例えば もし日本へ行ったら寿司を食べたいとか
(00:06:51) 日本へ行ったら友達に会いたいとか これは日本へ行ったらっていうのは日本へ行ってそしてその次ですね
(00:07:03) これは場の使い方も同じで日本へ行けば綺麗な桜が見られるとか 日本へ行けば日本語が上手になるとか
(00:07:18) 日本へ行けば日本語が上手になる 日本へ行ってそしてその次に日本語が上手になります
(00:07:26) でもこれはならだと意味が違って 日本へ行くならって言ったら
(00:07:34) 日本に行く前の話も行った後の話もどっちもできます 例えば日本へ行くならその前にたくさん日本語を勉強しようとか
(00:07:49) 日本へ行くならたくさん貯金しといた方がいいとか これは日本へ行く前の話ですね
(00:07:58) ならっていうのはこの何かをする前のことも話すことができます ならはこの前の話もできるしあとは後ろの話もできます
(00:08:10) もし日本へ行くなら絶対花見をした方がいいとか これは日本へ行ってそしてその次のことですね
(00:08:19) ですから行くならっていうのは日本へ行く前のことと後のこと どっちも話すことができます
(00:08:27) ばとかたらっていうのは日本へ行った後のことだけです これがばとたらそしてならの使い方の違いです
(00:08:41) 全部ねもしっていう時に使うことができますが使い方が違う時があるので気をつけて ください
(00:08:49) えっと今日は他にももう一つ助手の使い方の説明をしようと思っていたんですけど でも
(00:08:59) これから助手の話をするとちょっと長すぎるかもしれないので 今日は1回まあちょっとねいつもより短いですけどここで終わりにして
(00:09:11) そしてこの続き別の文法についてまたもう1回 新しいエピソードを作りたいと思います
(00:09:20) 次で文法の話は終わりかな3回連続文法だと聞いてる人もちょっと疲れると思うから その次は文法じゃない話をします
(00:09:31) それじゃあ今日はこの辺で終わりましょう皆さんさようなら
