ep. 055 - 文法〈文末表現〉(N2)

みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマ映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
テーマはリクエストもできますリクエストがある人は sns とかメールとかでメッセージをください 皆さんからのメッセージ待ってます
さあ今日は 文法の話3つ目今日で文法終わりです
今日は 文末表現ですね
文末文の最後に使う言葉 助詞とか文法とかいろいろあるんですけど
その分の文の最後に使う言葉をいろいろ紹介したいと思います 日本語の文で最後に使う言葉
まあ助詞が多いですけど これ結構日本語の勉強の最初から出てくるけどでも使い方がよくわからないっていう人多い
と思います よくみんなが聞くのはねとかよとかですね
俺もよく使うんだけど あのこれは結構初級の日本語
最初の方ですね そこから出てくるので皆さんもよく聞くしよく使うと思うんですが
でも結構使い方を間違えている人多いです じゃあどんな時に使うのか
もちろんこのねとかよとかこれは助詞なんですけど 助詞って意味が一つだけのものって少ないので
結構ねいろんな使い方あるんですがその中でも代表的なもの よく使うものを紹介します
まずはよの使い方 よっていうのは
何かを教えるときによく使います 例えば友達に
雨が降ってるよとか明日はテストだよとか これ美味しいよ
あの映画面白いよ こんな風に何かを教えるときに使います
じゃあこのよをねに変えるとどうなるかというと 例えばさっきの明日はテストですよっていうのを
明日はテストですねにするとどうなるか ねにすると確認になります確認です
知っていることを あの他の人に聞くのが確認です
明日はテストですよって言われたらその言われた人話を聞いている人は 明日テストだっていうことを知らないかもしれません
でも明日はテストですねって言ったら話を聞いている人は明日テストだっていうことを 知っています
話してる話してる人も聞いている人も明日はテストだっていうことを知ってるけど でももう1回確認するそれがねの使い方
あとはちょっとこのねと似ている言葉でよねっていう言葉 テストですねじゃなくてテストですよね
ねだけじゃなくてよも一緒に使うと今度は さっきの最初に言ったよと違うんですよ
明日はテストですよねって言ったら テストですねとちょっと似てる確認なんだけどでもよねの方が
ちょっとわからない気持ちが強いです だから明日はテストですねっていうのは
もう明日絶対テスト間違いないっていう気持ちが強い でも明日はテストですよねって言ったらもしかしたら明日じゃないかもしれない
もしかしたら自分が間違ってるかもしれない そういう気持ちが少しあります
それが明日はテストですよ明日はテストですね そして明日はテストですよねの使い方の違いです
まあこの辺の助手の使い方は さっきも言った通り教科書の結構最初の方から出てくるから知ってる人も多いと思うん
ですが 他の文末表現
あの文の最後に言う言葉 初級の教科書ではなかなか出てこない言葉もたくさんありますよね
例えばはとかさを最後につける時もあります これは自分の意見をちょっと強く言いたい時とかに使う言葉です
例えば 友達が
今度の試験ダメかもしれないって言ったらそれに対して いやお前なら大丈夫さきっとできるよって言ったりとかね
はも自分の意見というか考えたことを言うんですけど 特に何ここびっくりした時とか感動した時とかに使う時が多いです
例えば綺麗なものを見たときに綺麗だわって言ったり これがさとかはの使い方なんですけど
ただちょっとねこの佐藤はは使い方注意です 注意することいくつかあるんですけどまず一つ目
さとかはは丁寧な言葉じゃないので気をつけましょう あの敬語で話すときは基本的に使いません
ですのでビジネスシーンでは絶対使わないでください それからもう一つ
はは普通男の人は使いません 辞書とか見てもだいたい書いてあるんですけどはっていうのは
あの女の人がよく使う言葉で男の人が使うとちょっと変です 逆にさっていうのは男の人がよく使います
女の人はあんまり使いません そして最後にもう一個注意
これは多分っていうかちょっと俺の感覚なんだけど はとかさっていうのは
最近使う人は少ないと思います 漫画とかアニメとかではまだ結構見ると思うんですけど
でも普段話すときによくこのはとかさを使う人っていうのは昔と比べて多分少ないん じゃないかなと思います
このはとかさはさっきも言った通り男の人が使うとか女の人が使うとか ちょっとこう性別で使い方違うんですけど最近の日本語はその男女の差が少なく
なっているので 女の人だけの言葉とかそういうのが昔よりちょっと少ないと思います
ただ今でもよく使うさっていうのが一つあってこれはさっき話したのとちょっと 使い方が別で
手と一緒に使うてさっていう言い方 これは俺もよく使っていると思います
このポッドキャストではあんま使わないですけどね友達と話すときによく使うんですが 誰かに聞いた話を伝えるときに最後にてさと言います
多分ねあのみんながよく知っている言葉だと最後にそうですって言ったりとか ということですって言ったりとか
この言葉を聞いたことあると思うんですがこれと使い方だいたい同じです だから例えば天気予報で見たんですけど今日は雪が降るそうです
っていう時に今日は雪が降るってさと言ったりします これがさの使い方で今でもよく使うものです
ただこれもさっき言った通り丁寧な話では使わない言葉なので気をつけてください さあこれがあの助手の使い方なんですけども
文の最後につけるのは助手だけじゃなくて他にもいろんな文法があります 例えばでしょとか
前にもらったリクエストではこのでしょうの使い方とあとはもう一つ やっぱり最後につける言葉でじゃないっていう言葉
この2つの違いがわかんないので教えてくださいっていうことでした 確かにじゃないとでしょってちょっと使い方が似ているところがあります
簡単に言うと何が違うかというとでしょっていうのは 自分であんまり間違いがないと思っているとき
でじゃないっていうのは ちょっと違うかなーって思ってる時です
まあ違うかなとかあとはわかんないっていう気持ちがある時ですね 例えば友達と話してて明日雨が降ると思うって聞いた時に
降るでしょうって言われたらそれは友達は 明日きっと雨が降ると思っています
でもこの時に降るんじゃないって言われたらその友達も降ると思うけど でもちょっとどっちかわかんないなーっていう気持ちがあります
これがじゃないとでしょうの使い方の違いです ちなみに質問にはじゃないとでしょうともう一つだろうについても書いてあったんです
が だろうっていうのはでしょうと同じです同じ言葉です
ただでしょうの方がちょっと丁寧な感じがします だろうは男の人はよく使うかもしれないですね
俺も友達と話すときはでしょうも使いますがだろうもよく使います でも家族と話すときはだろうはあんまりっていうか全然使わないかな
やっぱり友達と話す時だけですね 家族にもあの普通は敬語とか全然使わないであの丁寧な話し方はしないんですけど
だろうは 自分よりもまあ家族といっても親は自分より上の人ですからね
だからだろうはちょっと失礼かなという気がしてあの使いません 友達と話すときはでしょうもだろうもよく使います使い方は同じです
明日雨降ると思うって言われたら きっと降るって思ってたら降るだろうというふうに言います
じゃあこれが文末表現分の最後に使う言葉です あの実は他にももう少し質問されてたことあったんですけど
まあ全部に答えなくてもいいですよって言ってくれたし ちょっとね文法の話が多くなっちゃったので今日はここまでにしたいと思います
また機会があれば文法の話ももっとしたいと思うので他にも あの文法の話とか聞きたいと思う人はそれまで楽しみに待っていてください
他の人からもねもっとリクエストもらったらまたいろんな文法の話もしたいと思います もちろん文法だけじゃなくて他のいろんなテーマについて
リクエストがあればどんどんメッセージをください 皆さんからのメッセージ待ってます
それじゃあ今日はこの辺で終わりにしたいと思います さようなら
