ep. 055 - 文法〈文末表現〉(N2)

(00:00:00) みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
(00:00:10) 教科書の日本語は面白くないでもドラマ映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:20) テーマはリクエストもできますリクエストがある人は sns とかメールとかでメッセージをください 皆さんからのメッセージ待ってます
(00:00:30) さあ今日は 文法の話3つ目今日で文法終わりです
(00:00:38) 今日は 文末表現ですね
(00:00:42) 文末文の最後に使う言葉 助詞とか文法とかいろいろあるんですけど
(00:00:49) その分の文の最後に使う言葉をいろいろ紹介したいと思います 日本語の文で最後に使う言葉
(00:00:59) まあ助詞が多いですけど これ結構日本語の勉強の最初から出てくるけどでも使い方がよくわからないっていう人多い
(00:01:08) と思います よくみんなが聞くのはねとかよとかですね
(00:01:14) 俺もよく使うんだけど あのこれは結構初級の日本語
(00:01:21) 最初の方ですね そこから出てくるので皆さんもよく聞くしよく使うと思うんですが
(00:01:28) でも結構使い方を間違えている人多いです じゃあどんな時に使うのか
(00:01:36) もちろんこのねとかよとかこれは助詞なんですけど 助詞って意味が一つだけのものって少ないので
(00:01:45) 結構ねいろんな使い方あるんですがその中でも代表的なもの よく使うものを紹介します
(00:01:53) まずはよの使い方 よっていうのは
(00:01:58) 何かを教えるときによく使います 例えば友達に
(00:02:05) 雨が降ってるよとか明日はテストだよとか これ美味しいよ
(00:02:12) あの映画面白いよ こんな風に何かを教えるときに使います
(00:02:18) じゃあこのよをねに変えるとどうなるかというと 例えばさっきの明日はテストですよっていうのを
(00:02:28) 明日はテストですねにするとどうなるか ねにすると確認になります確認です
(00:02:38) 知っていることを あの他の人に聞くのが確認です
(00:02:42) 明日はテストですよって言われたらその言われた人話を聞いている人は 明日テストだっていうことを知らないかもしれません
(00:02:53) でも明日はテストですねって言ったら話を聞いている人は明日テストだっていうことを 知っています
(00:03:02) 話してる話してる人も聞いている人も明日はテストだっていうことを知ってるけど でももう1回確認するそれがねの使い方
(00:03:14) あとはちょっとこのねと似ている言葉でよねっていう言葉 テストですねじゃなくてテストですよね
(00:03:24) ねだけじゃなくてよも一緒に使うと今度は さっきの最初に言ったよと違うんですよ
(00:03:32) 明日はテストですよねって言ったら テストですねとちょっと似てる確認なんだけどでもよねの方が
(00:03:42) ちょっとわからない気持ちが強いです だから明日はテストですねっていうのは
(00:03:51) もう明日絶対テスト間違いないっていう気持ちが強い でも明日はテストですよねって言ったらもしかしたら明日じゃないかもしれない
(00:04:02) もしかしたら自分が間違ってるかもしれない そういう気持ちが少しあります
(00:04:08) それが明日はテストですよ明日はテストですね そして明日はテストですよねの使い方の違いです
(00:04:19) まあこの辺の助手の使い方は さっきも言った通り教科書の結構最初の方から出てくるから知ってる人も多いと思うん
(00:04:28) ですが 他の文末表現
(00:04:32) あの文の最後に言う言葉 初級の教科書ではなかなか出てこない言葉もたくさんありますよね
(00:04:41) 例えばはとかさを最後につける時もあります これは自分の意見をちょっと強く言いたい時とかに使う言葉です
(00:04:55) 例えば 友達が
(00:04:58) 今度の試験ダメかもしれないって言ったらそれに対して いやお前なら大丈夫さきっとできるよって言ったりとかね
