ep. 056 - おすすめの漫画2(N4)

(00:00:00) みなさんこんにちは、ともです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のともがちょうどいい日本語で話をします。
(00:00:20) テーマはリクエストもできます。リクエストがある人はメールとかSNSで連絡をください。 皆さんからのメッセージ待ってます。
(00:00:29) さて今日のテーマは 2回目の漫画の紹介です。
(00:00:35) 今日とあとはもう1回漫画の紹介の話をしたいと思います。 今日は
(00:00:43) 少し簡単な日本語で話をします。 そして次はちょっと難しい日本語で話をします。
(00:00:51) ですから日本語の勉強を始めたばかりの人も 日本語が上手な人もどちらも聞いてください。
(00:01:00) それじゃあ今日紹介する漫画はどんなものかというと まずは格闘技の漫画です。
(00:01:08) 格闘技っていうのは例えばボクシングとか レスリングとか日本の格闘技だと空手とか
(00:01:18) 2人の人がパンチとかキックとかで戦うのが格闘技です。 今日はまずは格闘技の漫画を紹介したいと思います。
(00:01:29) 格闘技は俺の趣味ですからね。 じゃあまず一つ目
(00:01:34) えーとこれはすごく有名な漫画だと思います。 マガジンっていう漫画の雑誌に載っているもので
(00:01:44) ボクシングの漫画 初めの一歩という漫画です。
(00:01:49) 主人公は 最初は高校生かな高校生の男の子なんですが
(00:01:56) 名前は幕の内一歩 どんな人かというと実はこの主人公
(00:02:04) 幕の内一歩は最初はとても弱いです。 学校に行くといつもいじめられてしまう人です。
(00:02:13) でもその一歩がある日 高村っていう名前のとても強いボクサーと会います。
(00:02:23) そしてその人にボクシングを教えてもらって ボクシングの面白さを知って
(00:02:31) 最初はとても弱かったんですが練習してどんどん強くなっていって そしていろんな人と戦っていくというそういう漫画です。
(00:02:42) これだけ聞くとすごく普通のストーリーであまり面白くなさそうに聞こえるかも しれませんけど
(00:02:51) でも この漫画には面白いところがたくさんあります。
(00:02:56) 例えばボクシングの漫画ですからもちろんボクシングの試合はとても面白いです。 試合の相手はいつもすごく強い人なんですが
(00:03:08) その強い人にどうやって勝つかとてもよく考えてそしてたくさん練習して 負けそうになることもすごく多いんですがでも
(00:03:21) 最後には勝つ ですからいつもどうやって勝つのか
(00:03:26) ドキドキしながら読むことができます。 主人公の一歩の試合ももちろん面白いんですが
(00:03:33) この漫画は主人公以外の人の試合もとても面白いです 例えば
(00:03:40) 最初に一歩にボクシングを教えてくれた高村っていう人 この人の試合もすごく面白いです
(00:03:49) 高村は一歩にボクシングを教えてくれた人だから当然一歩よりも ボクシングが強くてだから試合の相手もすごく強い人が多いです
(00:04:02) 話が進んでいくと世界チャンピオン 世界で一番強い人との試合もあります
(00:04:10) 初めて高村が世界チャンピオンと試合をした話は 漫画なのに読んでいるとすごくドキドキして緊張
(00:04:20) 自分が試合するみたいに緊張するようなそんな面白い試合があります そしてこの漫画の面白いところは試合だけじゃありません
(00:04:32) ギャグのパートも面白いです ギャグっていうのはあの読んでいると笑ってしまうような面白いところです
(00:04:42) 試合をしているときはもちろん真面目な話ばかりなんですが 試合が終わってから次の試合までに長い時間があるときは
(00:04:52) 時々ギャグの話もあります その話もとても面白いです 漫画を読んでいるとつい笑ってしまうこともたくさんあります
(00:05:03) ボクシングが好きな人はぜひ読んでみてください
(00:05:08) それじゃあその次もう一つ格闘技の漫画 タイトルはホーリーランドです
(00:05:16) 主人公は高校生の男の子でカミシロユウっていう名前の人です このユウはさっきの一歩と同じように
(00:05:28) 最初はとても弱かったんです 昔学校でいじめられていて学校に行くことができなかったこともありました
(00:05:37) でもこのユウはどうやって強くなったかというと ボクシングの本を読んで
(00:05:45) 一人で部屋でずーっと ボクシングのジャブとストレート
(00:05:51) ワンツーっていうパンチですね この2つのパンチを部屋で一人でずーっと
(00:05:58) 練習していたら 他のパンチは全然できないんですけど
(00:06:04) あの他のパンチっていろいろ下からするアッパーとか 横からパンチをするフックとか
(00:06:12) そういうのは全然できなくてただまっすぐ手を出すだけの ジャブとストレート
(00:06:18) この2つのパンチがとても早く強くなって そして
(00:06:25) 喧嘩でいろいろな人に勝っていくという話です このホーリーランドは
(00:06:32) ボクシングの話なんですが さっきの初めの一歩と違って
(00:06:39) スポーツじゃありません 喧嘩です
(00:06:43) 喧嘩の話です ちゃんとリングの中でルールがあって2人でする試合じゃなくて
(00:06:51) 街の中でいろんな人とルールもないところで 喧嘩をします
(00:06:57) ですから最初はUはボクシングのジャブとストレートだけなんですが いろんな人と喧嘩をして戦っていって
(00:07:08) そしてパンチだけじゃなくってキックを覚えたりとか 少し相手を投げることもできたりとか
(00:07:17) いろいろな技を覚えます この漫画の面白いところは何かというと話がとてもリアルなところです
(00:07:29) リアルっていうのは本当にありそうだっていうことです さっき話した初めの一歩は漫画だから
(00:07:38) やっぱり普通の人はできないこととか ちょっと変なところとかそういうのがありますが
(00:07:47) ホーリーランドは街の中でいろんな人と喧嘩をするので本当に自分の中の生活でありそうな そういう話が多いです
(00:07:58) それがこのホーリーランドの面白いところです この漫画を読むと自分も
(00:08:05) ボクシングの本を読むだけで強くなれるような気がします まあ実際は無理だとは思いますけどね
(00:08:13) でもそのぐらいリアルな感じがします このホーリーランドを書いた人は森康二っていう人なんですけど
(00:08:24) この人の漫画は他の漫画もとても面白いです 俺はこの人の漫画を他のも全部読んでるんですけど
(00:08:33) このホーリーランドの次に書いた漫画は自殺党っていう漫画なんですけど これもとても面白かったです
(00:08:44) これは格闘技じゃなくてサバイバルの漫画です どんな話かというと自殺党の自殺
(00:08:54) ちょっと難しい言葉ですけど 自分の自と殺っていうのは殺すっていう意味です
(00:09:03) そしてその島 自殺党は自殺をした人が行く島です
(00:09:11) 例えば 高いビルの上からジャンプしたりとか
(00:09:16) あとは車の前に飛び出したりとか 薬をたくさん飲んだりとかそうやって自殺
(00:09:26) 自分で死のうとした人たちですね その人たちが自分では死ぬことができなくて
(00:09:34) でも普通の生活には戻れなくてそれでその 自殺党他に誰もいない島に連れて行かれてしまうっていう話です
(00:09:47) その島には誰もいないし ルールとか法律もないし警察もいないし本当に何もない島です
(00:09:58) そしてこの島に連れてこられた人たちが 最初は
(00:10:03) 死にたいとか生きることができない 自殺しようって思ってたんですけど
(00:10:10) でも 自分と一緒にその島に連れてこられた他の人たちと一緒にいろいろを協力して
(00:10:19) そして辛いこととか今までできなかったこととか そういうのを頑張っていって最後には
(00:10:27) みんな死ぬのはやめてもう一度頑張ってみようっていうふうに気持ちが変わっていく そういう漫画です
(00:10:35) この漫画の面白いところはその気持ちの変化 最初はみんな死にたいって思っててすごく辛いことばっかりだったんですけど
(00:10:48) でもその気持ちが変わっていってみんなで 明るくなっていく
(00:10:55) それを見るのがすごく面白い漫画です そしてこの漫画の面白いところはそれだけじゃなくて
(00:11:04) 最初にも言ったけどサバイバルの話の書き方がとても面白いです この島には誰もいないし何もないのでもちろんお店もないし
(00:11:18) 電気もないしガスもないし だから毎日食べるものを探すだけでもとても大変です
(00:11:27) だから毎日みんなで山に入って何か食べられるものを探したりとか 海に入って魚をとったりとか
(00:11:37) あとは山の動物を捕まえたりとか そのサバイバル、生きていくためのいろいろな活動がとても面白いです
(00:11:47) さらにこの漫画にはもう一つ面白いところがあって この島には警察もいないしルールもないんです
(00:11:57) ルールがないということはもちろん 人と人の喧嘩もあります
(00:12:05) そして人と人、二人だけじゃなくって 村と村
(00:12:12) 2つのグループの喧嘩 喧嘩っていうかもう戦争ですね
(00:12:20) この2つのグループが戦っていくのも面白いです 考え方が違うからもちろん話をするだけでは問題が解決しません
(00:12:33) ルールもないし警察もいないから 殺されてしまうこともあります
(00:12:39) この2つのグループの問題をどうやって解決するか それもとてもドキドキします
(00:12:48) この人の漫画は本当にドキドキするものが多くて この後どうなるんだろうと思うと気になって
(00:12:57) 他のことができなくなります この自殺島っていう漫画はもう終わっていてその次の漫画
(00:13:05) 今は別の漫画を書いています その漫画も面白いんですけど
(00:13:10) 次の漫画は創世のタイガっていう漫画です これはタイガっていう男の人とあとはその友達
(00:13:21) 大学生のグループが 今から1万年以上前の世界に行ってしまう話です
(00:13:31) 今から1万年以上前ですからもちろん 何にもありません
(00:13:37) 電気もガスも車も自転車も何にもない世界です 米もパンもないから食べるものは動物を獲らなければいけませんが
(00:13:49) 1万年前だとマンモス とっても大きい昔の象ですね
(00:13:55) そのマンモスとかを獲って食べるんですが でも
(00:14:01) 動物を取るための銃なんか絶対ないし鉄もありません 石だけです
(00:14:09) 何も道具がない中 昔の人たちと一緒に
(00:14:14) いろいろな動物を取ったりとか敵と戦ったりとかしていきます この漫画はまだ終わっていません
(00:14:21) 今も話が続いています ですから最後にどうなるかは俺もわかりませんが
(00:14:28) とても面白いのでぜひ読んでみてください さあ今日は4つの漫画を紹介しました
(00:14:36) はじめの一歩とホーリーランドと自殺島 そして創世の大河という4つの漫画です
(00:14:46) どれも面白いし日本語の勉強にもいいと思います ぜひ読んでみてください
(00:14:53) さてそれじゃあ今日はこれで終わりですがこの次もまた漫画の紹介をしたいと思います 皆さんも日本の漫画で好きなものがあったらぜひ俺に教えてください
(00:15:06) それじゃあさようなら
