ep. 057 - おすすめの漫画3(N1)

(00:00:00) みなさんこんにちはトモです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のトモがちょうどいい日本語で話をします。
(00:00:20) テーマはリクエストもできます。リクエストがある人はSNSとかメールとかでメッセージをください。
(00:00:26) リクエストするときは希望のレベルも一緒に教えてください。 皆さんからのメッセージ待ってます。
(00:00:33) さあそれじゃあ今日は前回の続きで漫画の紹介です。 今日紹介する漫画は異世界モノでいこうと思います。
(00:00:44) 異世界の異は異なるっていう字ですね。 別のとか違うとかそういう意味ですけど
(00:00:52) 今この自分たちが住んでいる世界と別の世界の話です。 最近この異世界モノがすごく多くて本屋とかに行くと異世界コーナーとかができて
(00:01:05) できてたりします。 この異世界モノってどんなものかっていうと
(00:01:10) 文字通り異世界を舞台にした漫画なんですけど 最近多いのは
(00:01:17) 舞台は異世界なんだけどでも主人公が今いるこの自分たちの世界 この地球ですねここから
(00:01:29) 別の世界に行ってしまったっていう そういう話がとても多いです。そうじゃないのもあるんですけどね
(00:01:38) まあ最近の流行りというか多いのがその異世界に行ってしまうっていうものですね この異世界モノって始まり方はだいたいみんな同じです
(00:01:49) あの 普通に生活している人がなんか突然事故とかで死んでしまって
(00:01:56) で目が覚めたら違う世界にいたっていうそういう始まりが多いです 死んでから目が覚める前にちょっと別の場所で神様と話をするパターンっていうのも
(00:02:10) 多いですね よくあるのが
(00:02:14) その 別の世界に生まれ変わるんですけど
(00:02:19) だいたい死んでから別の世界に行ってそして 生まれる前の子供とかに変わってそしてそこから新しい人生を始めるっていうそういう
(00:02:30) パターンなんですけど でも生まれる前に別の世界から転生してるから
(00:02:37) 転生っていうのはその別の場所に行ってもう一回生まれ変わることなんだけど その新しい世界に転生するからその時に神様が特別な
(00:02:48) 力をサービスしてくれることっていうのが結構多いです だから
(00:02:55) あの生まれ変わるんですけど生まれた時から すごく
(00:03:00) 頭が良かったり力が強かったり魔法が使えたり っていうような
(00:03:07) そういう特別な人が主人公になります さあそれじゃあこの異世界物のおすすめをいくつか紹介したいと思います
(00:03:17) まず一つ目 これはアニメとかあとはゲームとかいろんなものになってるかな
(00:03:25) 多分異世界物の中ですごい有名だと思うんですけど 転生したらスライムだった件という漫画があります
(00:03:34) これもともとは漫画じゃなくて小説だったんですけど あの今はね漫画でも漫画とかアニメとかいろんなものになってて俺は小説は
(00:03:44) 読んだことないんですが漫画は読んでます でじゃあこれがどんな話なのかっていうと本当にタイトル通りで転生
(00:03:53) まあ日本にいる人が1回死んでしまってそして別の世界でもう1回生まれ変わるんです けどその転生した時に別の世界に行ったら人間じゃなくてスライムだったっていう
(00:04:07) そういう話です スライムっていうのはあのよくゲームとかに
(00:04:13) モンスターとして出てくるんですけど なんて言えばいいかな
(00:04:18) 水みたいな水っていうかゼリーかゼリーみたいなそういう生き物です ゼリーみたいに柔らかくて水みたいで
(00:04:29) で手とか足とか何もない 本当にこうただ食べるだけみたいなそういう生き物は生き物なんですけど
(00:04:38) その主人公の人が 日本で死んでしまって別の世界に転生してそしてスライムになった
(00:04:45) ただスライムになるときにさっき話したように神様みたいなのから ちょっと特別な能力をもらうパターンなんですよ
(00:04:55) で このスライムはいろいろな特別な能力があって普通のスライムと違うからどんどんこのスライムが
(00:05:04) 強くなってそして最後には自分の国を作って そして仲間たちといろいろなことをやっていくっていうそういう話です
(00:05:14) もともとスライムっていうのはどんなゲームでも 一番弱いぐらいのすごーく弱い生き物なんですけど
(00:05:23) でもそのスライムがどんどん強くなっていくっていうそういうギャップが面白い話ですね この漫画は転生するときにすごく強くなるパターンなんですけど
(00:05:34) でも転生するときに全然強くならないパターンもあります これももともと小説だったものが漫画になった話なんですけど
(00:05:44) こっちは反対にね俺はあまり漫画を読んでなくて小説の方を読んでるんですけど リゼロから始める異世界生活という漫画です
(00:05:55) ちょっと長いタイトルなので短くしてリゼロっていうふうに言われています このリゼロっていう漫画は
(00:06:04) 主人公が強くないんです だいたい異世界物って主人公がめっちゃくちゃ強くて
(00:06:11) それでいろんな問題を解決していくっていう話が多いんですけど このリゼロの主人公は普通の人で魔法も使えないし
(00:06:21) 剣とかそういう武器も使えないし本当に普通の人 ただ一つだけ特別なところがあってそれは何かというと
(00:06:32) 死んだら時間を戻してもう一回やり直すことができる そういう力があります
(00:06:40) だからこのリゼロの面白いところは 主人公が何回も死ぬんです
(00:06:47) 死ぬけどでも また時間を戻してやり直してそしてその度にいろいろな問題を
(00:06:57) 力はないから強くないから頭を使ってそして解決していくっていう そこが面白いところですね
(00:07:05) まあ正直リゼロファン俺は漫画よりも元の小説の方が面白いかなと思うんですけどね ただ小説の方は結構
(00:07:15) あの人が死ぬ話なので グロテスクな表現とかがちょっとあるかなぁと思うので
(00:07:22) まあそういうね痛いとか そういう表現がね苦手な人はちょっと気をつけてください
(00:07:30) 話としてはねすごく面白いです さあそれじゃあもう一つ異世界もの
(00:07:35) これは転生じゃなくて 普通の世界と異世界が繋がっているっていう話です
(00:07:43) タイトルは異世界居酒屋のぶです これは普通のあの自分の世界地球と異世界が繋がっているドアがあって
(00:07:56) そしてそのドアを通ると向こう側は異世界 こっち側は自分の世界っていうところがあってそしてそのドアの向こう側
(00:08:06) 異世界に 普通の日本人の普通の居酒屋を作るっていうそういう話です
(00:08:14) そしてこの話の面白いところは何かというと 異世界なんだけど別に魔法を使ってモンスターと戦ったりはしません
(00:08:24) 居酒屋でただ話をしながらご飯を食べるだけなんですけど 日本の料理を異世界の人が食べる
(00:08:33) そしてその時の反応を見るっていうのが面白いところです 日本独特の料理とか
(00:08:42) あの食材の使い方とか それがねあの異世界の人にとってはとても珍しくて新鮮で
(00:08:50) 日本人にとっては当たり前の料理なんだけどでもそれを食べた時の反応がすごく面白いんです こんなの初めて見たらとても美味しいって言ってみんながびっくりして食べるんです
(00:09:02) とにかく日本にあるものは全部珍しいから生ビール飲むだけでみんなびっくりします なんだこれは美味しいって言って
(00:09:12) それがねあのこの漫画の面白いとこですね この漫画の面白いところはその異世界の人たちが日本の食べ物を見てびっくりするっていう
(00:09:22) そういうとこだと思うんですけどもしかしたらこれは 異世界の人たちの反応と
(00:09:29) 外国人が初めて日本に来ていろんなものを見た時の反応とが同じかもしれませんね だから外国人の人はもしかしたらあの面白いっていうかすごい共感できるかもしれませんね
(00:09:44) あーわかる俺もそう思ったっていうようなそんな話があるかもしれません なのでこの漫画は日本人が読むのと外国人が読むのとではまたちょっと面白さが
(00:09:55) 違うかもしれません はいってことで今日はとりあえず3つね異世界の漫画を紹介しました
(00:10:04) 今日3つだけですけど最近異世界ものの漫画ってすっごく多いので 日本にいる人は本屋とかあとは漫画を借りれる
(00:10:14) あの伝え屋とかですねそういうところで異世界ものを探してみるといいと思います 今日俺が紹介したのが
(00:10:22) あの読んでみてすごい面白いと思ったら他にも面白い漫画ってたくさんあると思うので ぜひ探して読んでみてください
(00:10:30) さあそれじゃあ今日はこの辺で終わりにしたいと思います 他にも何かこう日本のもので紹介してほしいものとかあったら俺が知っているものだったら
(00:10:41) いろいろ紹介できると思うのでなんかリクエストがあったらぜひメッセージを送ってください それじゃあさようなら
