ep. 058 - 日本人形(N3)

(00:00:00) みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のTomoがちょうどいい日本語で話をします。
(00:00:21) テーマはリクエストもできます。リクエストがある人はSNSとかメールとかでメッセージをください。 リクエストするときはどのくらいのレベルがいいかも一緒に教えてください。
(00:00:31) みなさんからのメッセージ待ってます。 さてそれじゃあ今日のテーマですが今日は日本人形について話してくださいっていうことなので
(00:00:43) 日本人形についてですね。 ちなみにこのリクエストパータさんというベトナムの方からのリクエストです。
(00:00:51) それじゃあこの日本人形なんですが まず日本人形ってどんなものかっていうのを説明しますと
(00:00:59) いろんな日本人形あるんですが俺が最初に 日本人形って聞いてそしてパッと思い浮かんだものってどんなのかっていうと
(00:01:12) 女の子の人形です。 着物を着ている女の子でそして髪の毛はだいたい肩ぐらいの長さ
(00:01:21) そして前髪は全部同じ長さに揃えてあるっていう そういう人形を思い浮かべました。
(00:01:30) もちろん他にも日本人形っていろいろあるんですけどね。 例えば
(00:01:35) あの日本の人形だと有名なのだと あのひな祭り3月3日の女の子のお祭りの時に
(00:01:45) 女の子が女の子の子供がいるうちでは 人形を飾るんですが
(00:01:52) そのひな人形っていうのも有名ですし あとはこけしとかも日本でよく見ます
(00:02:00) ひな人形の方は結構 細かいところまですごくよく作られているものがあって
(00:02:08) そういうのだとすごく高いですね あのひな人形ってたくさんあるんですけど
(00:02:16) 全部揃えると何万円とか10万円以上するものもたくさんあります 反対にこけしはすごく簡単な作りのものが多いです
(00:02:29) 木の棒を ちょっと削ってそしてそれに絵を描いただけとか
(00:02:35) だからこけしはそんなに高くないですね で俺がさっき言ったあの最初にイメージしたものっていうのは
(00:02:44) 一松人形って言うんですけど これはいろいろな服を着せたりしてそして遊ぶものらしいですね
(00:02:54) 俺はまあ人形で遊んだりはしなかったので その一松人形を買ったことももらったことも全然ないんですけどね
(00:03:04) この日本人形って それぞれに結構いろんな意味があって
(00:03:09) 例えば さっき言ったこけしだとこれは
(00:03:15) なんかいろんな噂っていうか話がありますが まあもともとはこのこけしはお土産のために作ったらしいですね
(00:03:25) そしてひな人形はこれはお土産にしたり遊んだりするためじゃなくて 自分の子供に何か良くないこと
(00:03:35) 病気とか怪我とかですね その良くないことがないように その人形が自分の子供の代わりに怪我をしたり病気をしたりしてくれるように
(00:03:48) そのために作ったっていうふうに言われています 俺がイメージした一松人形はあの子供が遊ぶおもちゃなんですけど
(00:03:58) このひな人形は その病気代わりに病気になってもらうとか子供が元気に育つようにとか
(00:04:05) そういう意味で作られているので使い方が全然違います この日本人形ひな人形とか一松人形とか
(00:04:15) 結構さっきも言ったけど細かいところがすごくよく作られていると すごく値段も高くて高級なものになるんですけど
(00:04:26) 実は俺がこの日本人形って聞いたときに 最初にイメージしたことは全然違うことなんです
(00:04:35) それが何かっていうと 綺麗でも高いでもなくて
(00:04:40) 怖いです 日本人形って怖いんですよ
(00:04:46) 何が怖いかっていうと これは結構有名な話だと思うんですけど
(00:04:52) あの 日本人形って よく怖い話に出てくるもので
(00:04:59) どんなストーリーが多いかというと 夜寝てる間に
(00:05:04) 人形が自分で動いたりとか あとは髪が伸びるとかですね
(00:05:12) この髪が伸びるって本当に有名な話で 日本人なら多分みんな同じようなイメージを持っていると思うんですけど
(00:05:22) 日本人形は ずっと持っていると古くなってくるとどんどん髪が伸びるんですよ
(00:05:29) 本当の人みたいに それで
(00:05:33) その髪が伸びるっていう話があるから 日本人形は怖いなっていうイメージを持っている人が
(00:05:40) 多分俺だけじゃなくて他にもいっぱいいると思うんですよね もちろんこの日本人形
(00:05:46) 人形ですから本当は髪は伸びないですよ 伸びないけどでもなんかそういうね
(00:05:53) 怖い話がたくさんあるんですよ でまぁ実はこれは
(00:06:00) 本当の人みたいに髪が伸びるわけじゃないけど 確かに日本人形は古くなると実際に髪が長くなるらしいです
(00:06:11) 怖いですね でこれなんで髪が長くなるかっていうと
(00:06:16) あの人形の作り方なんですけど だいたい女の子の髪だからまぁ結構髪の毛長くて
(00:06:24) でその髪を作るときに人形の頭の中に すごく長い髪の毛をたくさん入れてそしてそこから
(00:06:35) あの外に髪を出すらしいんですねで 古くなってくるとだんだん
(00:06:41) 外に出ている髪の重さでどんどんあの下に引っ張られて そして頭の中に入っている
(00:06:50) その中の部分の毛も外に出てきてそれで長くなってしまうっていうことらしいです まあ理由がわかればね別に怖くはないんですけど
