ep. 060 - 文法説明(N2)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教授の友がちょうどいい日本語で話をします
話のテーマはリクエストもできますリクエストがある人はメッセージをください お願いします
さあそれじゃあ今日は 文法の話ですリクエストでねちょっといくつかあの文法の使い方について質問された
ので今日はそれに答えたいと思います 今日の文法は n 2ぐらいのレベルですかね
ちょっと難しい文法ですけど頑張って聞いてください n 2ぐらいになるとねやっぱり難しい文法がすごく多くなってきますね
何が難しいかというと あの似てる意味の文法がどんどん多くなってきてどんな時に使えばいいのか
どうやって使い分けたらいいのかっていうのが結構難しいと思います 今日の質問もだいたい同じ意味の言葉なんだけど
でも何が違うのかそれがわからないっていう質問ですね じゃあまずは一つ目の質問ですが一つ目の文法は
しょうがないっていう言葉の使い方 なんとかでしょうがない
そしてこのしょうがないともう一つたまらない まあだいたいどっちも同じような意味なんですけどね
どんな風に使うかというと例えば 来週旅行に行けるからそれが楽しみでしょうがないって言ったりとか
あとは 夏の暑い時に
ビールを飲んだら美味しくてたまらないって言ったりします これで美味しくてたまらないと言ったら簡単に言ったらすっごく美味しいっていう意味ですね
旅行が楽しみでしょうがないっていうのもすごく楽しみだっていう意味です じゃあこの2つはどっちもすごくとかとてもっていう意味なんだけど
どんな風にこの2つを使い分けたらいいのかっていうのが 最初の質問ですね
確かにねこれだいたい同じ意味だしどっちも使える時もあるから あの普通の日本人にね何が違うのって聞いても多分わかんないって言うと思います
なんかこういう言い方をすると俺が普通の日本人じゃないみたいなんだけど まあそこは一応日本語の先生なのでね
こういう言葉の使い方とかを普段よく考えているので まあ説明できるものはね他の人より多いかなと思います
じゃあ何が違うのか 簡単に言うとこの2つはどっちもとてもっていう気持ちを表す言葉なんだけど
その気持ちの 時間の長さ
その気持ちでいる時間が長いときはしょうがないを使って で時間が短いときはたまらないを使います
これがね一番わかりやすい使い方の違いだと思います 例えばさっき言った旅行が楽しみでしょうがないっていうのも
旅行に行くから楽しみだって思っているのは結構時間長いですよね 1週間前とか2週間前とかもしかしたら2、3ヶ月前から旅行の予定を立ててた人は
2、3ヶ月ずっと楽しみの気持ちでいますから だからその気持ちがとても長いですね
