ep. 060 - 文法説明(N2)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:11) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教授の友がちょうどいい日本語で話をします
(00:00:20) 話のテーマはリクエストもできますリクエストがある人はメッセージをください お願いします
(00:00:27) さあそれじゃあ今日は 文法の話ですリクエストでねちょっといくつかあの文法の使い方について質問された
(00:00:36) ので今日はそれに答えたいと思います 今日の文法は n 2ぐらいのレベルですかね
(00:00:42) ちょっと難しい文法ですけど頑張って聞いてください n 2ぐらいになるとねやっぱり難しい文法がすごく多くなってきますね
(00:00:52) 何が難しいかというと あの似てる意味の文法がどんどん多くなってきてどんな時に使えばいいのか
(00:01:03) どうやって使い分けたらいいのかっていうのが結構難しいと思います 今日の質問もだいたい同じ意味の言葉なんだけど
(00:01:14) でも何が違うのかそれがわからないっていう質問ですね じゃあまずは一つ目の質問ですが一つ目の文法は
(00:01:25) しょうがないっていう言葉の使い方 なんとかでしょうがない
(00:01:30) そしてこのしょうがないともう一つたまらない まあだいたいどっちも同じような意味なんですけどね
(00:01:38) どんな風に使うかというと例えば 来週旅行に行けるからそれが楽しみでしょうがないって言ったりとか
(00:01:48) あとは 夏の暑い時に
(00:01:52) ビールを飲んだら美味しくてたまらないって言ったりします これで美味しくてたまらないと言ったら簡単に言ったらすっごく美味しいっていう意味ですね
(00:02:05) 旅行が楽しみでしょうがないっていうのもすごく楽しみだっていう意味です じゃあこの2つはどっちもすごくとかとてもっていう意味なんだけど
(00:02:16) どんな風にこの2つを使い分けたらいいのかっていうのが 最初の質問ですね
(00:02:22) 確かにねこれだいたい同じ意味だしどっちも使える時もあるから あの普通の日本人にね何が違うのって聞いても多分わかんないって言うと思います
(00:02:35) なんかこういう言い方をすると俺が普通の日本人じゃないみたいなんだけど まあそこは一応日本語の先生なのでね
(00:02:43) こういう言葉の使い方とかを普段よく考えているので まあ説明できるものはね他の人より多いかなと思います
(00:02:53) じゃあ何が違うのか 簡単に言うとこの2つはどっちもとてもっていう気持ちを表す言葉なんだけど
(00:03:02) その気持ちの 時間の長さ
(00:03:07) その気持ちでいる時間が長いときはしょうがないを使って で時間が短いときはたまらないを使います
(00:03:16) これがね一番わかりやすい使い方の違いだと思います 例えばさっき言った旅行が楽しみでしょうがないっていうのも
(00:03:25) 旅行に行くから楽しみだって思っているのは結構時間長いですよね 1週間前とか2週間前とかもしかしたら2、3ヶ月前から旅行の予定を立ててた人は
(00:03:39) 2、3ヶ月ずっと楽しみの気持ちでいますから だからその気持ちがとても長いですね
(00:03:45) で あの美味しいものを食べた時の美味しくてたまらないっていうのは その美味しいものを食べた時だけの気持ちですよね
(00:03:55) なのでその時だけがすごい美味しいとかとても美味しいって思ったら 美味しくてたまらないっていうふうに言います
(00:04:07) このたまらないっていう言葉は たまらないの前に美味しくてとか
(00:04:12) あのなんとかでとかねてとかでとか別の言葉をつける時もあるんですけどそれだけで 使うこともできます
(00:04:21) 例えばそのビール飲んだ時にあーたまんないねって言ったりとか 寒い時にあったかいお風呂に入ってあーたまらないって言ったりとか
(00:04:31) そのたまらないだけで使うことができます たまらないだけで言ったらまあとても美味しいとかとても気持ちいいとかそういう意味になります
(00:04:41) でもう一つのしょうがないっていうのはそれだけで使うことができません 来週から旅行ですしょうがないですっていうことはできません
(00:04:51) しょうがないってそれだけで使うとあの なんか悪いことの意味になっちゃうね旅行に行きたくないけどなんか一緒に
(00:04:59) 行かなきゃいけないからしょうがないから行くみたいな なので使い方の違いはこういうところもありますね
(00:05:07) たまらないっていうのはそれだけでも使えるししょうがないっていうのはそれだけじゃ 使えない
(00:05:13) 愛知はこれがね1個目の文法の違いです 1個目っていうかまあ2つの文法の違いね
(00:05:20) ちなみにこれ質問では て仕方がないとてしょうがないっていう言葉の違いっていうのも書かれてたんですけど
(00:05:29) 仕方ないとしょうがないって意味同じなのでこの2つは使い方一緒です たまらないとしょうがないは使い方違うので気をつけてください
(00:05:40) じゃあその次8今度は別の人の質問なんですけども今度はしないととしなければ しなかったらしないことにはっていうこの4つの使い方の違いが質問ですね
(00:05:57) これもまあだいたい同じような意味になるんですけど 確かにね使い方はちょっと違いますね
(00:06:04) 特にないことにはなんていうのは n 2とかで出てくるようなちょっと難しい文法ですね じゃあこの4つの使い方の違いですが
(00:06:16) まずは最初の2つしないととかしなければですね この2つはまあだいたい同じように使うんですけど
(00:06:25) 何かをするときの条件っていう使い方が多いです 何かするときの条件って言ったらちょっとあの分かりにくいかもしれないけど何かを
(00:06:37) するときに必要なものっていう感じですね 例えば
(00:06:42) あの じゃあ日本に旅行に行きたい
(00:06:47) 何が必要ですかっていう話です でその必要なことを言うときに日本に旅行がしたいんだったら
(00:06:56) あのパスポートがなければいけませんよとか 日本に留学するならビザを取らないとダメですよとか
(00:07:05) この必要なものを言うときにないととかなければっていう言い方をよく使います で
(00:07:14) えっとなかったら このととばとたらっていうのは意味がすごく似ているのでね
(00:07:22) この使い分けが難しいっていう人がたくさんいるんですけども 何かをしなかったら
(00:07:28) この使い方ですがこれはその条件とか必要なものっていうんじゃなくて それがなかったらそれをしなかったらこの後どうなりますかっていう質問の
(00:07:43) 質問を考えるときによく使う言葉です 例えば明日雨が降ったらどうする
(00:07:51) 降らなかったらどうするみたいな感じでそのなんとかだったらもしなんとかだったら その後はどうですかみたいなそのどうっていう部分を考えるときはこの
(00:08:04) たらっていうのをよく使いますね ただたらってあの便利な言葉でいろんな意味があって
(00:08:12) だいたいととか場を使うときには たらって言ってもあの問題ない時が多いです
(00:08:20) だから使い方でね困ったら となのかばなのかたらなのかわかんなかったら
(00:08:27) たらって言っとけば だいたいあの意味がわかります間違いじゃなくなります
(00:08:33) ちょっとずるい覚え方だけどね でえっと最後ですね最後はないことにはの使い方
(00:08:42) これ難しい言葉ですねどんな風に使うのかというと例えば 旅行に行きたいけどでも休みを取らないことにはいけない
(00:08:54) とか お金を貯めないことには留学なんてできるわけがないとか
(00:09:01) まあ意味としてはね休みを取らなければ旅行に行けないとか お金を貯めなかったら留学できないとだいたい同じなんですけど
(00:09:13) 一番の使い方の特徴はこのないことにはの後ろは ないっていう言葉があります
(00:09:22) だからないが2つですねないことにはない 例えばそのさっき言ったようなお金を貯めないことには留学できない
(00:09:35) 他の言葉さっき言ったしないととかしなければしなかったらっていうのは後ろはない じゃなくても大丈夫です
(00:09:44) 例えば 明日雨が降らなければ
(00:09:48) ピクニックに行けるねみたいな使い方ですね バーとか通っているのは後ろはないじゃなくてもいいんですけど
