ep. 062 - こどもの日(N3)

みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。
教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のTomoがちょうどいい日本語で話をします。
テーマはリクエストもできます。リクエストがある人はメールとかSNSでメッセージをください。 みなさんからのメッセージ待ってます。
さあ今日は日本の祝日の一つ 子供の日について話したいと思います。
このテーマはインスタグラムでリクエストをもらいました。 リクエストをくれた人はね
本当の名前はわかんないですけど インスタグラムでは忍者って書いてありますね
漢字の勉強しているインスタのアカウントです。すごいですね。 毎日漢字の勉強のための何か画像をアップロードしています。
頑張ってほしいですね。 それじゃあそのリクエストをもらった子供の日ですが
子供の日っていうのは日本の祝日の一つです。 祝日っていうのは
その祝日の祝っていうのはお祝いの漢字です。 何かお祝いをする日を祝日って言うんですが
日本の祝日はだいたい仕事とか学校とかが休みになります。 日本のカレンダーを見ると
休みの日、日曜日は数字が赤で書いてあるんですけど 祝日も赤になっています。
日本の祝日って1年中あるんですけど特に5月の最初、5月の最初とあと4月の最後か
4月の最後から5月の最初の方が休みがたくさんあってこれをゴールデンウィークと言います。
多分ゴールデンウィークは知っている人もいると思いますが このゴールデンウィークの中の一つ
それが子供の日です。 日本に祝日たくさんありますけどじゃあ子供の日はどんなことをするのか
子供の日ってどんな日なのかという説明をしますね。 子供の日は5月5日なんですけどこの5月5日っていうのは
もともとは子供の日じゃなくて 単語の節句って言って
男の子の 成長、男の子が元気に
怪我をしないでちゃんと大人になるようにっていうふうに そういうふうにお祈りをする日でした。
でも後からこの5月5日、同じ日に男の子だけじゃなくて 男の子も女の子もどちらもちゃんと元気に育ちますようにっていうお祈りをする
っていうことが決められました。それが子供の日です。 だから日本ではその5月5日、子供の日なんですけど
この日にすることって言うとその昔の男の子の子供の その時のいろいろな習慣が残っています
じゃあどんな習慣があるのかって言うと まずは有名なものというか日本のどこに行っても見ることができるものだと
こいのぼりというものがあります こいっていうのは魚です。魚の名前です
布を魚の形に切って、そして魚の絵を描いて、それを自分のうちの庭とかに飾る
それがこいのぼりです なんでこい
魚を飾るのかというと こいっていうのは魚の中でも生きる力がとても強い魚です
いろんなところで生きることができます。池とか沼とか川とか だからその体が強くなって病気とかしないで元気に強く生きられるように
このこいのぼりを毎年子供の日に飾ります あとはこいは強いって言うだけじゃなくてこれは中国の古い話なんですけど
こいは 川を登っていって、そしてすごいその激しい川を登り切ったところで竜になるっていう
ふうに言われている話があります 竜っていうのはドラゴンですね
だからそのこいのぼりを飾って そして自分のうちの男の子もこいみたいに川を登って最後にドラゴンみたいに強く
なるようにっていう そういう思いがこいのぼりには入っています
それじゃあ次に子供の日にすること 子供の日に食べるものもあります
何を食べるかというと柏餅です 柏っていうのは木の名前なんですけど
柏餅は餅をその柏の葉っぱでくるむ そういうお菓子です
なんで柏餅を食べるかって言うと 柏の葉っぱはとても丈夫でなかなか木から落ちないから
だから縁起が良いそうです 縁起が良いってわかりますか
何かこうラッキーなことがありそうなものを縁起が良いと言います あと他にね子供の日にすることといえば
家の中に兜を飾ります 兜っていうのは
昔の人がその戦争とかをする時に頭を守るためにかぶっていた ヘルメットみたいなものです
それを兜と言います 兜は頭を守ってくれるものだからそれを飾ることでその子供の体を守って
くださいっていうふうにお祈りするそうです
これが子供の日にすることですね 他にもいろんなのあるんですけどね 多分子供の日に日本に遊びに来たら
鯉のぼりとかあとは柏餅は皆さんも見ることができると思います 鯉のぼりって結構ねいろんなところで飾られています
あと柏餅は子供の日になったらスーパーとかコンビニで買うことができますから 食べてみたい人はねぜひ食べてみてください
この鯉のぼりって 外国の人が見たら結構面白いかもしれません
なんでかっていうと 皆さんが日本に旅行に来て
子供の日に観光地とかあとはちょっと大きい公園とかに行って見ることができる 鯉のぼりってとても大きいです
大きいのだと 一つの鯉が多分3メートルぐらいあるんじゃないかな
本当大きいんですよ それが長い棒に紐でつけられていて
そして風が強いとその鯉が空を泳いでいるみたいに見えます 昔、今よりももっと前で建物が少なかった頃は
男の子がいるうちはみんな結構大きい鯉のぼりを自分の家の庭に出していたと思うんですけど 今は自分の家って言ってもアパートとかマンションに住んでいる人も多いので
マンションとかでね鯉のぼりその3メートルとかの大きい鯉のぼりを出すことはちょっとできないので 今はそういう人
広い庭がない人は家の中で飾る小さい 10センチとか20センチくらいの鯉のぼりを出している人もたくさんいます
この今日話した鯉のぼりとかその兜を飾るとか こういうのって最初に言ったように男の子の
単語の節句っていうお祝いのものだったんですけど それだと女の子は何もないからちょっと寂しいですね
実は日本には女の子の日っていうのもあります 単語の節句は男の子の日女の子の日は3月です
3月のひな祭りという日です ひな祭りもやっぱり子供の女の子の子供のための日ですから人形とかを飾ってその子供が
元気に大きくなりますようにっていうお祈りをします ただやっぱり男の子と違ってね飾るものはちょっと可愛い感じのものが多いような気が
します 男の子は可愛いっていうよりも強くなるものっていう感じがしますね
そのさっきも言った鯉のぼりっていうのは その鯉が強いドラゴンになるための龍になるためのものだし
兜も 戦争の時に頭を守るものですからやっぱり昔の人は
男は強くならなければならないっていう気持ちが強かったんじゃないかなと思います はいそれじゃあこれがね子供の日についてです
ちょっと今日はねゴールデンウィーク終わってから子供の話をしましたが これからも日本の祝日っていろいろありますから
だからその祝日とかね何かイベントがあったらそれについていろんな話をしたいと 思います
それじゃあ今日はこの辺で終わりにしましょうさようなら
