ep. 063 - ことばの覚え方(N3)

(00:00:00) みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のTomoがちょうどいい日本語で話をします。
(00:00:21) テーマはリクエストもできます。リクエストがある人はメールとかSNSとかでメッセージをください。 みなさんからのメッセージ待ってます。
(00:00:30) さあそれじゃあ今日は リクエストとはちょっと違うんですけど
(00:00:37) あの最近メッセージで どうしたら言葉をたくさん覚えられるんですかっていう質問をもらいました。
(00:00:46) なので今日はその外国語を勉強するときにどうやったら言葉をたくさん覚えられるのか っていうことについて
(00:00:57) 話をしたいなと思います。 この言葉の覚え方っていうのは
(00:01:04) 外国語の勉強したことがある人はみんな 大変だって思ってることだと思うんですけども
(00:01:13) もちろんこれは俺も大変だと思ってます。 俺は今はあんまり外国語の勉強してないんですけど
(00:01:22) でも日本人って あの
(00:01:26) 学校で中学校とか高校でみんな英語の勉強をしなければならないので 俺も英語の勉強は学生の時からずっとしていました。
(00:01:38) あとはまあ大学に入ってからもねちょっとこう趣味で勉強はしていました。 やっぱりその日本語の先生って外国語の先生だから自分も
(00:01:50) 外国語を勉強するのは結構好きなんですよ。 でそれで英語は
(00:01:56) まあだいたい中級か上級までは行かないな まあ中級の上の方かな
(00:02:05) JLPTで言ったらだいたいN3より上 N2ぐらいのレベルのテストにはあの
(00:02:16) 合格したことがあるんですけど まあ日本人って結構テストがね好きっていうか得意だから
(00:02:24) あんまり話すことはできないけどテストでは良い点数を取ることができる人が多いんですよ で俺はその英語の勉強をしている時に
(00:02:35) やっぱり言葉をたくさん覚えるのは大変だなと思ってたし あとは今俺は日本に住んでるんだけど
(00:02:44) でもその前にあの4年ぐらい台湾に住んでたから 台湾にいる時はやっぱり中国語の勉強をしてたんですよ
(00:02:55) 台湾では中国語と台湾語と2つの言葉を話してて それであの
(00:03:02) 特に若い人とかはほとんど台湾語は使わないで中国語だけで話す人もいるから だから俺も中国語を話せないと
(00:03:13) ちょっと生活をする時に不便なことがたくさんあるから それで勉強してたんですけど
(00:03:21) やっぱりね新しい言葉を覚えるのって大変でした その勉強の仕方とか
(00:03:30) あとは得意なこととかあまり得意じゃないこととかっていうのは 人によって全部違うと思うから
(00:03:38) もしかしたらね外国語の勉強している人で新しい言葉を覚えるのが すごく得意で全然苦労しないっていう人もいるかもしれないけど
(00:03:50) 俺は結構苦労するんですよ 俺はね覚えるのがあんまり好きじゃないので
(00:03:57) 覚えなきゃいけないこととかは全然できなくて 逆に
(00:04:02) 俺が外国語の勉強する時にこう得意なこととか好きなことっていうのは 発音の練習とかですね
(00:04:12) なんかこう聞いた音を上手に真似をして えっとこう上手に発音するみたいなのは
(00:04:21) 結構ねあの褒められることが多かったです 中国語本当はあんまり話せないんですけど
(00:04:29) 発音が綺麗らしくてそれで 中国語上手ですねみたいなことを言われることが
(00:04:37) 時々ありました でまぁとにかく俺はその英語とか中国語とかで新しい言葉を覚えるのは苦手だったんですけど
(00:04:49) じゃあどうやってその新しい言葉を勉強したかっていうと 一番効果があったなぁって思うのはやっぱり
(00:05:00) たくさん読むこととあとたくさん聞くことですね 特に英語の勉強しているときは
(00:05:08) 英語でいろんなニュースとかを読むようになってから 新しい言葉はすごくたくさん覚えることができました
(00:05:19) あと中国語は読むよりも聞いて覚えた言葉の方が多いんですけど まあそれは中国語を使う国に住んでたから当たり前の話なんですけど
(00:05:30) でもやっぱり本で勉強した言葉より その実際にいろんな人と話をしてそして聞いて覚えた言葉の方が
(00:05:42) 上手に使えたしなかなか忘れないでずっと覚えていることができました でこの新しい言葉をどうやって覚えるか
(00:05:54) 先生の立場からすると新しい言葉をどうやって教えるかっていうことなんですけど これは本当に
(00:06:03) あの難しいテーマでいろんな人がいろんな方法を試してますが それでも絶対にこの方法なら簡単にたくさん覚えられるっていうものは
(00:06:18) やっぱりないんですよ もうしょうがないですねこれは
(00:06:23) ただ 絶対に100%上手になるっていう方法はないんだけど
(00:06:31) でも 効果が結構高いって言われている勉強の方法はあります
(00:06:39) それが何かというと多読です 多読
(00:06:45) 多読っていうのは 多読の多は多いっていう感じで読は読書の読
(00:06:52) 読むっていう感じです つまり
(00:06:56) たくさん読むこと いろんな本をたくさん読むこと
(00:07:01) まあこれ当たり前といえば当たり前なんですけど そのたくさん聞いたり読んだりすれば新しい言葉をたくさん覚えられるのは当たり前なんですけど
(00:07:12) ただ多読をする時に気をつけることっていうのが 難しすぎないできるだけ簡単な
(00:07:22) でも あのすごく簡単すぎるのはダメで100%全部わかる本を読むのはちょっと簡単すぎる
(00:07:33) だいたいこう 読んでて時々
(00:07:39) たまーに知らない言葉が一つとか二つ出てくるぐらい そのぐらいの
(00:07:46) ほんの少しだけ難しいものっていうのを たくさん読んでると言葉が覚えられるっていうふうに言われています
(00:07:55) これが多読のやり方です その何かを読む時に難しすぎる言葉が多いと
(00:08:04) 読んでても何が書いてあるかよくわからないですよね できるだけ簡単でたまーにわからない言葉があるぐらいの
(00:08:15) 難しさだとわからない言葉があっても何が書いてあるか だいたいわかるから
(00:08:23) だから知らない言葉わからない言葉があっても だいたいこういう意味かなっていうふうに考えることができるから
(00:08:33) それで覚えやすくなるんですよ 自分で意味を考えて予想してそれで意味を覚えるから
(00:08:42) あとはたくさん読んでると同じ言葉が何回も出てくるから それで覚えやすくもなります
(00:08:50) たくさん聞くのも同じですね あんまり難しすぎるのをたくさん聞いててもわかんないことが多すぎて
(00:08:59) あんまり覚えられないと思うので できるだけ簡単なもの
(00:09:05) 難しすぎないものを選んで そしてそれをたくさん聞いてると時々わかんない言葉があっても
(00:09:13) だいたいの話がわかれば言葉の意味を考えてそれで覚えることができるので 簡単なのをたくさん聞くといいですね
