ep. 064 - 台湾(N4)

(00:00:00) みなさんこんにちはトモです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のトモがちょうどいい日本語で話をします。
(00:00:22) テーマはリクエストもできます。リクエストがある人はメールとかSNSでメッセージをください。 みなさんからのメッセージ待っています。
(00:00:32) さて今日のテーマは台湾です。 台湾について紹介したいと思います。
(00:00:41) まあなんで日本人の俺が台湾を紹介するんだっていう感じだと思いますが 前もね何回か話したことありますが
(00:00:51) 俺は前に台湾に住んでいたことがあります。 だいたい4年ぐらいですね。4年ってまあ結構長いですよね。
(00:01:04) 4年住んでたらもうそこにもちろん知り合いもたくさんできるし 友達もできるし
(00:01:12) あとは好きな店とか好きな食べ物とか いろんなものがあるので
(00:01:21) 俺は台湾は自分の
(00:01:27) ふるさとじゃないけど でも
(00:01:31) なんていうんだろう 自分が住んでいた町の一つなので
(00:01:36) すごく好きな国の一つです。 でそのなんで
(00:01:43) 台湾の紹介しようかと思ったかっていうと 結構最近日本では台湾が人気で
(00:01:53) 台湾の いい観光地
(00:01:58) 旅行で行った方がいい場所とか そういうのを紹介するテレビとかがすごく多いんですけど
(00:02:07) でもテレビで紹介している場所っていうのは やっぱり
(00:02:14) 有名な場所が多くて 俺が台湾に住んでた時に好きだった場所とかは全然紹介されないんですよ
(00:02:25) なのでね今日はその あんまり紹介されてないけどでもすごくいいところ
(00:02:34) 俺が知ってるすごくいいところっていうのを紹介したいなと思います じゃあまずはその台湾の俺が好きな場所の紹介の前に
(00:02:47) 台湾ってどんな国かっていうのを説明したいと思います 多分これを聞いている人も台湾に行ったことがない人が多いと思いますからね
(00:03:01) 台湾っていうのは日本よりももっと南にある国です 小さい島の国で
(00:03:11) 周りが海だから 海の美味しい食べ物とかあとは綺麗な島とかがたくさんある国です
(00:03:21) よくテレビとかインターネットとかで紹介される有名な場所だと やっぱり台北が多いですね
(00:03:32) 台北っていうのは台湾の首都なんですけど その台北の近くに有名な場所が多いのでそこの紹介をしていることが多いです
(00:03:45) でも俺が住んでいたのは その台北っていう台湾の首都じゃなくてもっと南にあるところで
(00:03:57) 台南っていう町でした なので俺が紹介したいのはこの台南という町です
(00:04:06) 田舎の方なんですけどねでもすごくいいところです 住みやすいしそこに住んでる人もみんないい人だし
(00:04:17) そして何より俺が一番いいなと思うのは この台南は
(00:04:25) 食べ物がすごく美味しいです いろいろな美味しい料理もあるし
(00:04:32) 果物が本当に美味しいものがたくさんあって 多分俺が生まれてから今まで食べた果物の半分ぐらいは
(00:04:47) この台南で食べてるんじゃないかなと思うぐらい 台湾に住んでいる時はたくさん果物を食べていました
(00:04:58) なので台湾に旅行に来る人は ぜひねこの台南に来ていろんな美味しい食べ物を食べて欲しいなと思います
(00:05:12) これね日本の台湾を紹介するテレビとかだと
(00:05:18) だいたい 九份っていう
(00:05:22) 有名な町があるんですけどそういうところの紹介だけで 台南の紹介は全然しないんですけど
(00:05:32) でも俺はこの台南は美味しい食べ物がたくさんあるし 有名な観光地
(00:05:41) 見るところもたくさんあるから すごく旅行にいいところだと思うんですよ
(00:05:49) で その食べ物が美味しいだけじゃなくて
(00:05:54) この台南っていう町には とても大きな夜市があります
(00:06:01) 夜市っていうのは日本語の言い方なんですけど あの
(00:06:06) 中国語だとイエスって言うんですけど あと英語だとナイトマーケットかな
(00:06:14) この台南の夜市っていうのは 俺は台湾の中で一番面白いんじゃないかと思ってます
(00:06:24) 台北にも台北にもっていうか台湾の どこに行っても夜市はあるんですけど
(00:06:33) でも俺は台南の夜市が一番面白いと思ってて それはどうしてかというと
(00:06:41) 台湾の夜市っていうのはだいたい 大きな道の
(00:06:49) 両側 右と左にいろいろな店が並んでいるっていうところが多いんですけど 台南の夜市は
(00:07:00) とても広い場所 すごく広い場所にいろんなお店がたくさん並んでいます
(00:07:09) だから他の場所の夜市と違って道にお店があるんじゃなくて 夜市のためだけの場所にお店がたくさんあるから
(00:07:23) ちょっと特別な感じがしてとても面白いです ちなみにその台南で一番大きい夜市っていうのは花園夜市っていうところで
