ep. 065 - 日本語の違い(N2)

みなさんこんにちは、ともです。 これは日本語を勉強している人のためのボットキャストです。
教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のともが、ちょうどいい日本語で話をします。
さあ今日もリクエストをもらっています。 今日のテーマは日本語の違いについて。 何と何の違いかっていうと
アニメとかドラマとか漫画 こういうので使われている日本語が
あの全部違うので それは何でなんですかっていうそういう質問ですね。
フィリピンのカミルさんという方からのリクエストです。ありがとうございます。 じゃあまずこの質問の答え先に言っちゃうとこれはわざとです。
わざと変えてます。 特に漫画の話し方っていうのは
漫画の中だけの言葉も結構多いです。 普通の人は
まあ一般的な日本語ではこんな話し方はしないっていうものが結構たくさんあります。
なんでかっていうと あの話し方を変えると
その人の性格とか考え方とかそういうのがわかりやすく表現できるからです。
例えばちょっと可愛くしたりとか ちょっと怖い感じにしたりとか
それだけじゃなくて他にも例えば お年寄りの話し方なんていうのもあります。
年寄りの人の話し方とか偉い人の話し方とか お金持ちの人の話し方っていうのもあります。
それから他にも田舎の人の話し方とか あんまり日本語が上手じゃない外国人の話し方とか
昔の人の話し方っていうのもあるし こういうふうにいろんな話し方があって
話し方とかあとはいろんな言葉ですね。 それを使い分けることでそのキャラクターがどんな人なのかっていうのがわかりやすくなります。
その人のキャラクターがわかりやすいっていうと まあ一番簡単なのは私っていう言葉なんですが
多分ね日本語を勉強している人たちって自分のことを私っていう人が多いと思うんですけど まあそれが一番初めに習う言葉だからね
でも漫画の中で私と同じ言葉ってすっごくたくさんあるんです じゃあ今思いつくのをどんどん言っていくとまずもちろん私もあるし
あとは俺 僕
あたし わし
拙者 手前
私 ああそれがしなんていうのもあったなぁ あとなんだろうオイラとか
こんなふうに自分のことを言う言葉って私だけじゃなくていろんなのがあるんですね でそれを使い分けることでその人がどんなキャラクターなのかっていうのがわかりやすく
なります ただ今言った
私と同じ意味の言葉たくさんあるんですが実際に日本人が普通の生活の中で使う言葉は どのくらいあるかっていうとほとんどありません
俺の周りでよく聞くっていうか普通の生活で聞く言葉というと 私俺僕私
ぐらいですね その他のはほとんど聞きません
