ep. 065 - 日本語の違い(N2)

(00:00:00) みなさんこんにちは、ともです。 これは日本語を勉強している人のためのボットキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のともが、ちょうどいい日本語で話をします。
(00:00:20) さあ今日もリクエストをもらっています。 今日のテーマは日本語の違いについて。 何と何の違いかっていうと
(00:00:31) アニメとかドラマとか漫画 こういうので使われている日本語が
(00:00:38) あの全部違うので それは何でなんですかっていうそういう質問ですね。
(00:00:46) フィリピンのカミルさんという方からのリクエストです。ありがとうございます。 じゃあまずこの質問の答え先に言っちゃうとこれはわざとです。
(00:00:58) わざと変えてます。 特に漫画の話し方っていうのは
(00:01:05) 漫画の中だけの言葉も結構多いです。 普通の人は
(00:01:11) まあ一般的な日本語ではこんな話し方はしないっていうものが結構たくさんあります。
(00:01:19) なんでかっていうと あの話し方を変えると
(00:01:25) その人の性格とか考え方とかそういうのがわかりやすく表現できるからです。
(00:01:35) 例えばちょっと可愛くしたりとか ちょっと怖い感じにしたりとか
(00:01:42) それだけじゃなくて他にも例えば お年寄りの話し方なんていうのもあります。
(00:01:50) 年寄りの人の話し方とか偉い人の話し方とか お金持ちの人の話し方っていうのもあります。
(00:01:59) それから他にも田舎の人の話し方とか あんまり日本語が上手じゃない外国人の話し方とか
(00:02:08) 昔の人の話し方っていうのもあるし こういうふうにいろんな話し方があって
(00:02:15) 話し方とかあとはいろんな言葉ですね。 それを使い分けることでそのキャラクターがどんな人なのかっていうのがわかりやすくなります。
(00:02:25) その人のキャラクターがわかりやすいっていうと まあ一番簡単なのは私っていう言葉なんですが
(00:02:35) 多分ね日本語を勉強している人たちって自分のことを私っていう人が多いと思うんですけど まあそれが一番初めに習う言葉だからね
(00:02:46) でも漫画の中で私と同じ言葉ってすっごくたくさんあるんです じゃあ今思いつくのをどんどん言っていくとまずもちろん私もあるし
(00:02:58) あとは俺 僕
(00:03:01) あたし わし
(00:03:04) 拙者 手前
(00:03:08) 私 ああそれがしなんていうのもあったなぁ あとなんだろうオイラとか
(00:03:16) こんなふうに自分のことを言う言葉って私だけじゃなくていろんなのがあるんですね でそれを使い分けることでその人がどんなキャラクターなのかっていうのがわかりやすく
(00:03:29) なります ただ今言った
(00:03:33) 私と同じ意味の言葉たくさんあるんですが実際に日本人が普通の生活の中で使う言葉は どのくらいあるかっていうとほとんどありません
