ep. 068 - パチンコ(N2)

みなさんこんにちは、ともです。これは日本語を勉強している人のためのポッドキャストです。
教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のともが、ちょうどいい日本語で話をします。
テーマはリクエストもできます。リクエストがある人はメールとかSNSでメッセージをください。
みなさんからのメッセージ待ってます。 さあ今日はまたリクエストもらったテーマなんですけど
パチンコについてですね。 今日のテーマはニュージーランドの人からもらいましたリクエスト
ありがとうございます。ニュージーランドの人のリクエストって初めてかな? なんかすごい世界中の国の人からリクエストもらっているので
なんかちょっとびっくりしますね。でもすごく嬉しいです。いろんな国の人に聞いてもらえてありがとうございます。
じゃあですね今日のこのテーマのパチンコなんですが パチンコって
みんなわかるかな? 日本に住んでいる人は多分
あの結構いろんなところにあるからね。見たことがあると思いますが これはギャンブルの一つです。
ギャンブルっていう言葉ちょっと難しいかもしれませんが ギャンブルって何かゲームをしてそしてそのゲームで勝ったらお金がもらえるっていうそういうのが
ギャンブルと言います。 でパチンコは日本のギャンブルの一つなんですけど
やり方が これちょっと言葉だけで説明するの難しいんですけど
なんて言うんだろう。あの小さい あのすごく小さい鉄の
玉を穴に入れるっていうゲームなんですけど いやちょっとこの説明だけじゃわかりにくいですね
パチンコって google で調べてください。そしたらすぐわかります。
まあ多分他の国にもねちょっとあるかもしれませんけど このパチンコって日本には結構昔からあるんですけど
好きな人はねもう本当によく行くみたいです 俺は
1回だけしかしたことありません でその1回でお金がすぐになくなってもう二度とやるもんかと思ってそれから行ってません
大学生の時かな まだ働いてない時だからお金もそんなになくて
それなのに5000円ぐらいが 本当に短い時間で
1時間かかんなかったんじゃないかな30分とか40分とかそのぐらいで あの5000円ぐらいなくなっちゃって
もう絶対やんないって思いました さてそれじゃあパチンコって
俺みたいにすぐにお金がなくなって もう二度とやらないって思う人も結構たくさんいると思うんですけど
じゃあなんで日本にはそんなにたくさんパチンコの店があるのかっていう話なんですけど まあなんでかっていうその正確な理由は俺も知らないんですけど
まあやっぱり一部の人が すっごいたくさんお金を使うからなんでしょうね
パチンコはギャンブルだからお金が増える時もあればもちろん少なくなる時もあります 俺みたいに
じゃあパチンコでどのくらいお金が増えるのかどのくらいお金が減るのかっていうと このどのくらい増えたり減ったりするのかっていう数字を還元率って言うんですけど
ちょっと難しい言葉ですね還元ってつまり戻ってくるお金です どのくらいのお金が戻ってくるのかっていうと
この還元率はパチンコは前に聞いた話だとだいたい80%ぐらいだそうです つまり
100円使ったら80円しか戻ってこない 1万円使ったら8000円しか戻ってこない
80%しかあのもらえないらしいんですよ 必ずじゃなくてあの平均するとですけどね
だから すごいたくさんもらえる時もあるかもしれないし逆に全然お金がなくなるだけっていう時もあるかもしれません
まあそれが普通のギャンブルなんですけど ただこのギャンブルって
楽しいのかもしれないけど悪いところがあって 平均的な還元率は80%
だから何回もやってると絶対に あの持ってるお金はマイナスになるんですよね
80%しか戻ってこないんだから 絶対に80%だからずっとやってるとお金が少なくなるはずなのに
たまーに 勝てる時があるたまにこうお金がすごい
あのもらえちゃうことがあるから だからそのことがもう頭から離れなくて楽しくて
昨日は負けたけどでも今日は勝てるかもしれない 今日はダメだったけどでも明日やったら大丈夫かもしれないからじゃあまたした
みたいな感じで こうパチンコをやめられない人っていうのが結構たくさんいるんですよ
で あのそういう人たちがたくさんいるから日本はパチンコの店が多いのかなと思います
いやーこれ結構本当あの問題もあって 例えば今あの
コロナで 皆さんもわかりますよねこれ世界中の問題ですから
コロナの関係でお店を休みにしているところがすごく多かったんですけど まあそれは国があのコロナの
感染者を広げないためにお店を休みにしてくださいっていう話をしてたから 感染者っていうのはその病気にかかる人のことね
で その国とかあとは都道府県
そういうところがもうほとんど全部のお店 スーパーとかコンビニとかそういうふうに
あの生活の中でね重要な役割を果たしているところは大丈夫だったんですけど その他の飲食店とか
あとは遊ぶところカラオケとか そういうのはもう全部できるだけ休みにしてくださいって言ってたから
だから そのカラオケとかも全部みんなお店を休みにしてたんだけど
少しだけ休みにしないパチンコの店があったんですよ 日本に
本当に少しだけなんですけどね であのパチンコの店もほとんどのところはちゃんと休みにしてました
病気が広がらないように でもその何個かのお店は休みにしないでずっと営業してて
それでそのパチンコが大好きな人たち パチンコがやめられない人たち
そういう人が 自分の家の近くのパチンコは全部休みになってるからって言って
すごい遠くから 空いてるパチンコのお店まで行ってそれで朝からずっとパチンコをやってたっていうのが
ちょっと前にニュースになってて もうそれを見て俺は
なんてひどい話だろうと思いました こういうふうにそのパチンコとかギャンブルとか
何かがやめられないことを中毒って言うんです そのわざわざ遠くから空いてるパチンコの店まで行って朝から店が開く前から
パチンコの前に行って並んで それでずっとやってるような人たちですねもうやめられないやめることができない
そういうのをパチンコ中毒って言います 他にもまあ中毒っていろいろあって例えばアルコール中毒とかお酒がやめられない
このギャンブルもその中毒の人がやっぱりたくさんいるみたいですね パチンコもちゃんとやればちゃんとやるっていうのかな
そのやめられなくなるまでやるんじゃなくてちょっとお金が余った時に お金がもう
なくなってもいい負けてもいいっていうつもりでその余ったお金でちょっとだけやって もしそれで勝てたらまあラッキーだったっていう
そのぐらいでねやるんだったらいいと思うんですけど でもねそのほうやめられなくなるほどずっとやるっていうのはやっぱり良くない
ですよね さっきも言ったけどパチンコの還元率って80%ですからやめられないでずっとやってる人
っていうのはやればやるほどお金が確実に減っていくわけですからね その還元率ってどうやってやるか俺はわかんないけどパチンコのお店の人が
結構自由に買えられるらしいんですよ だいたい還元率何%ぐらいでお店を営業しようかなっていうふうに
だからお店の人が100%よりも上にしない限り 絶対お金が減るってわかってるんだから
だからお金がない人はやめればいいんだけど でもやめられないっていうのが中毒なんですよね
ちなみに日本にはパチンコ以外にもギャンブルって結構たくさんあって 例えば競馬とかあとは競輪とかもですね
競馬っていうのは馬です 馬のレース
あと競輪は馬じゃなくて自転車のレース あと多分これはどこの国にもあると思うんですけど宝くじっていうのももちろん日本にも
あります 宝くじは多分みんなみんなというか
あのやったことがある人が一番多いギャンブルだと思うんですよね ただ日本の宝くじの還元率は
すっごく低くて 何%だっけな確か40%ぐらいだったと思います
すっごい低いんですよ だからもし1万円買ったら
4,000円ぐらいになっちゃう なんか日本のその宝くじって他の国と比べてもすっごい
還元率の低いギャンブルらしいですね だから俺はあんまり日本の宝くじは好きじゃなくてほとんど買ったことがないんですけど
でも あの宝くじって他のギャンブルと比べて多分中毒になりにくい
と思うんですよ パチンコ中毒とか競馬中毒っていうのは聞いたことあるんですけど宝くじ中毒って
聞いたことないんですよ だからまあ
あの安全なギャンブル安全なっていう言い方が正しいかわかんないけど だから還元率はまあすっごい低いけどでも中毒の人を作らない
ある意味いいギャンブルなのかもしれませんね はいじゃあそれがね日本の
あのパチンコとかのギャンブルの話でした はい
えっと ちなみに個人的にパチンコは1回やって負けたのでもう好きじゃありません
あんなのなくなってもいいんじゃないかと思ってます だってあの
そのパチンコ中毒の人とかねたくさんいるみたいですね まあこんなこと言うとちょっとパチンコのお店の人に怒られそうなので
あまり良くないかもしれないですけど でもそのパチンコ中毒になってそしてもう生活がね
自分の生活も家族の生活もめちゃくちゃになっちゃう人とかもいるみたいなので そういう人がねあの出なくなるような何か制度とかがあるといいですね
皆さんもギャンブル ちょっと楽しむぐらいだったらいいですけど
