ep. 068 - パチンコ(N2)

(00:00:00) みなさんこんにちは、ともです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:11) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のともが、ちょうどいい日本語で話をします。
(00:00:21) テーマはリクエストもできます。リクエストがある人はメールとかSNSでメッセージをください。
(00:00:27) みなさんからのメッセージ待ってます。 さあ今日はまたリクエストもらったテーマなんですけど
(00:00:35) パチンコについてですね。 今日のテーマはニュージーランドの人からもらいましたリクエスト
(00:00:43) ありがとうございます。ニュージーランドの人のリクエストって初めてかな? なんかすごい世界中の国の人からリクエストもらっているので
(00:00:54) なんかちょっとびっくりしますね。でもすごく嬉しいです。いろんな国の人に聞いてもらえてありがとうございます。
(00:01:02) じゃあですね今日のこのテーマのパチンコなんですが パチンコって
(00:01:08) みんなわかるかな? 日本に住んでいる人は多分
(00:01:13) あの結構いろんなところにあるからね。見たことがあると思いますが これはギャンブルの一つです。
(00:01:21) ギャンブルっていう言葉ちょっと難しいかもしれませんが ギャンブルって何かゲームをしてそしてそのゲームで勝ったらお金がもらえるっていうそういうのが
(00:01:32) ギャンブルと言います。 でパチンコは日本のギャンブルの一つなんですけど
(00:01:39) やり方が これちょっと言葉だけで説明するの難しいんですけど
(00:01:45) なんて言うんだろう。あの小さい あのすごく小さい鉄の
(00:01:51) 玉を穴に入れるっていうゲームなんですけど いやちょっとこの説明だけじゃわかりにくいですね
(00:01:59) パチンコって google で調べてください。そしたらすぐわかります。
(00:02:05) まあ多分他の国にもねちょっとあるかもしれませんけど このパチンコって日本には結構昔からあるんですけど
(00:02:14) 好きな人はねもう本当によく行くみたいです 俺は
(00:02:21) 1回だけしかしたことありません でその1回でお金がすぐになくなってもう二度とやるもんかと思ってそれから行ってません
(00:02:33) 大学生の時かな まだ働いてない時だからお金もそんなになくて
(00:02:40) それなのに5000円ぐらいが 本当に短い時間で
(00:02:46) 1時間かかんなかったんじゃないかな30分とか40分とかそのぐらいで あの5000円ぐらいなくなっちゃって
(00:02:55) もう絶対やんないって思いました さてそれじゃあパチンコって
(00:03:02) 俺みたいにすぐにお金がなくなって もう二度とやらないって思う人も結構たくさんいると思うんですけど
(00:03:11) じゃあなんで日本にはそんなにたくさんパチンコの店があるのかっていう話なんですけど まあなんでかっていうその正確な理由は俺も知らないんですけど
(00:03:23) まあやっぱり一部の人が すっごいたくさんお金を使うからなんでしょうね
(00:03:31) パチンコはギャンブルだからお金が増える時もあればもちろん少なくなる時もあります 俺みたいに
(00:03:39) じゃあパチンコでどのくらいお金が増えるのかどのくらいお金が減るのかっていうと このどのくらい増えたり減ったりするのかっていう数字を還元率って言うんですけど
(00:03:54) ちょっと難しい言葉ですね還元ってつまり戻ってくるお金です どのくらいのお金が戻ってくるのかっていうと
(00:04:04) この還元率はパチンコは前に聞いた話だとだいたい80%ぐらいだそうです つまり
(00:04:15) 100円使ったら80円しか戻ってこない 1万円使ったら8000円しか戻ってこない
(00:04:23) 80%しかあのもらえないらしいんですよ 必ずじゃなくてあの平均するとですけどね
(00:04:32) だから すごいたくさんもらえる時もあるかもしれないし逆に全然お金がなくなるだけっていう時もあるかもしれません
(00:04:40) まあそれが普通のギャンブルなんですけど ただこのギャンブルって
(00:04:47) 楽しいのかもしれないけど悪いところがあって 平均的な還元率は80%
(00:04:55) だから何回もやってると絶対に あの持ってるお金はマイナスになるんですよね
(00:05:02) 80%しか戻ってこないんだから 絶対に80%だからずっとやってるとお金が少なくなるはずなのに
(00:05:12) たまーに 勝てる時があるたまにこうお金がすごい
(00:05:17) あのもらえちゃうことがあるから だからそのことがもう頭から離れなくて楽しくて
(00:05:26) 昨日は負けたけどでも今日は勝てるかもしれない 今日はダメだったけどでも明日やったら大丈夫かもしれないからじゃあまたした
(00:05:35) みたいな感じで こうパチンコをやめられない人っていうのが結構たくさんいるんですよ
(00:05:42) で あのそういう人たちがたくさんいるから日本はパチンコの店が多いのかなと思います
(00:05:51) いやーこれ結構本当あの問題もあって 例えば今あの
(00:05:59) コロナで 皆さんもわかりますよねこれ世界中の問題ですから
(00:06:04) コロナの関係でお店を休みにしているところがすごく多かったんですけど まあそれは国があのコロナの
(00:06:13) 感染者を広げないためにお店を休みにしてくださいっていう話をしてたから 感染者っていうのはその病気にかかる人のことね
(00:06:25) で その国とかあとは都道府県
(00:06:30) そういうところがもうほとんど全部のお店 スーパーとかコンビニとかそういうふうに
(00:06:38) あの生活の中でね重要な役割を果たしているところは大丈夫だったんですけど その他の飲食店とか
(00:06:48) あとは遊ぶところカラオケとか そういうのはもう全部できるだけ休みにしてくださいって言ってたから
(00:06:56) だから そのカラオケとかも全部みんなお店を休みにしてたんだけど
(00:07:03) 少しだけ休みにしないパチンコの店があったんですよ 日本に
(00:07:09) 本当に少しだけなんですけどね であのパチンコの店もほとんどのところはちゃんと休みにしてました
(00:07:18) 病気が広がらないように でもその何個かのお店は休みにしないでずっと営業してて
(00:07:27) それでそのパチンコが大好きな人たち パチンコがやめられない人たち
(00:07:35) そういう人が 自分の家の近くのパチンコは全部休みになってるからって言って
(00:07:42) すごい遠くから 空いてるパチンコのお店まで行ってそれで朝からずっとパチンコをやってたっていうのが
(00:07:50) ちょっと前にニュースになってて もうそれを見て俺は
(00:07:56) なんてひどい話だろうと思いました こういうふうにそのパチンコとかギャンブルとか
(00:08:06) 何かがやめられないことを中毒って言うんです そのわざわざ遠くから空いてるパチンコの店まで行って朝から店が開く前から
(00:08:20) パチンコの前に行って並んで それでずっとやってるような人たちですねもうやめられないやめることができない
(00:08:29) そういうのをパチンコ中毒って言います 他にもまあ中毒っていろいろあって例えばアルコール中毒とかお酒がやめられない
(00:08:39) このギャンブルもその中毒の人がやっぱりたくさんいるみたいですね パチンコもちゃんとやればちゃんとやるっていうのかな
(00:08:51) そのやめられなくなるまでやるんじゃなくてちょっとお金が余った時に お金がもう
(00:09:00) なくなってもいい負けてもいいっていうつもりでその余ったお金でちょっとだけやって もしそれで勝てたらまあラッキーだったっていう
(00:09:11) そのぐらいでねやるんだったらいいと思うんですけど でもねそのほうやめられなくなるほどずっとやるっていうのはやっぱり良くない
(00:09:21) ですよね さっきも言ったけどパチンコの還元率って80%ですからやめられないでずっとやってる人
(00:09:28) っていうのはやればやるほどお金が確実に減っていくわけですからね その還元率ってどうやってやるか俺はわかんないけどパチンコのお店の人が
(00:09:40) 結構自由に買えられるらしいんですよ だいたい還元率何%ぐらいでお店を営業しようかなっていうふうに
(00:09:49) だからお店の人が100%よりも上にしない限り 絶対お金が減るってわかってるんだから
(00:09:58) だからお金がない人はやめればいいんだけど でもやめられないっていうのが中毒なんですよね
(00:10:07) ちなみに日本にはパチンコ以外にもギャンブルって結構たくさんあって 例えば競馬とかあとは競輪とかもですね
(00:10:18) 競馬っていうのは馬です 馬のレース
(00:10:22) あと競輪は馬じゃなくて自転車のレース あと多分これはどこの国にもあると思うんですけど宝くじっていうのももちろん日本にも
(00:10:34) あります 宝くじは多分みんなみんなというか
(00:10:38) あのやったことがある人が一番多いギャンブルだと思うんですよね ただ日本の宝くじの還元率は
(00:10:48) すっごく低くて 何%だっけな確か40%ぐらいだったと思います
(00:10:55) すっごい低いんですよ だからもし1万円買ったら
(00:11:00) 4,000円ぐらいになっちゃう なんか日本のその宝くじって他の国と比べてもすっごい
(00:11:08) 還元率の低いギャンブルらしいですね だから俺はあんまり日本の宝くじは好きじゃなくてほとんど買ったことがないんですけど
(00:11:19) でも あの宝くじって他のギャンブルと比べて多分中毒になりにくい
(00:11:28) と思うんですよ パチンコ中毒とか競馬中毒っていうのは聞いたことあるんですけど宝くじ中毒って
(00:11:36) 聞いたことないんですよ だからまあ
(00:11:39) あの安全なギャンブル安全なっていう言い方が正しいかわかんないけど だから還元率はまあすっごい低いけどでも中毒の人を作らない
(00:11:52) ある意味いいギャンブルなのかもしれませんね はいじゃあそれがね日本の
(00:11:59) あのパチンコとかのギャンブルの話でした はい
(00:12:05) えっと ちなみに個人的にパチンコは1回やって負けたのでもう好きじゃありません
(00:12:12) あんなのなくなってもいいんじゃないかと思ってます だってあの
(00:12:17) そのパチンコ中毒の人とかねたくさんいるみたいですね まあこんなこと言うとちょっとパチンコのお店の人に怒られそうなので
(00:12:25) あまり良くないかもしれないですけど でもそのパチンコ中毒になってそしてもう生活がね
(00:12:32) 自分の生活も家族の生活もめちゃくちゃになっちゃう人とかもいるみたいなので そういう人がねあの出なくなるような何か制度とかがあるといいですね
(00:12:43) 皆さんもギャンブル ちょっと楽しむぐらいだったらいいですけど
(00:12:47) ハマりすぎないように気をつけてください さあそれじゃあ今日はこの辺で終わりにしたいと思います
(00:12:55) ちなみに今日の日本語のレベルは n 2ぐらいなんですが
(00:13:02) n 2よりもちょっとムズ難しいよね n 2よりもちょっと簡単なぐらいですね n 3よりも難しい文法とか言葉とかはちょっと使ってますが
(00:13:14) 他はあまり難しくならないようにしました あのリクエストをくれたステファンさんがだいたいそのぐらいっていうことなので
(00:13:24) n 3ぐらいの人もね注意して聞くとあのだいたいわかると思うので 今日の話がちょっと難しかったなって思う人は何回も聞いてみてください
(00:13:36) はいじゃあ えっと今日はここまでですさようなら
(00:13:41) me ああああああ
(00:13:45) ああああああああ
