ep. 069 - つけもの(N3)

(00:00:00) みなさんこんにちはTOMOです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします。
(00:00:21) テーマはリクエストもできます。リクエストがある人はメールとかSNSでメッセージをください。 みなさんからのメッセージ待ってます。
(00:00:31) さあ今日は つけものについて
(00:00:36) 話をしたいと思います。 つけものってわかりますかみんな?
(00:00:42) つけものっていうのは日本の 食べ物、食べ物っていうか料理というか
(00:00:49) 野菜の食べ方の一つなんですけど どうやって食べるかというといろいろな野菜を塩とか
(00:01:00) 酢とかあとは味噌とか そういう調味料の中に入れておいてそして味がついたら食べるという
(00:01:12) 食べ方、それがつけものです。 このつけものっていうのは本当にいろいろな野菜をつけものにするんですけど
(00:01:23) 野菜っていうか肉とか魚もねつけものにすることがありますけどね でもスーパーとかに行って一番多いのは
(00:01:33) やっぱり野菜のつけものです。 ちなみにこのつけものっていう食べ物は
(00:01:40) 日本語ではつけものって言うんですけど 同じような料理は他の国にもたくさんあります。
(00:01:48) 皆さんの国にもあるかもしれませんが例えば韓国だとキムチとか あとは
(00:01:57) ピクルスはあれは どこの国が最初だろう
(00:02:01) アメリカとかイギリスかな? よくハンバーガーとかの中にピクルスが入ってますね。
(00:02:08) 今日のテーマはツイッターでリクエストをもらいました。 名前がねちょっと読むの難しいんですけど
(00:02:17) ジーナローレントラモンドさんかな? 外国語の名前って本当難しいですね。
(00:02:24) リクエストありがとうございました。 それじゃあですねこのつけものについてですが
(00:02:30) リクエストでは特にどんな料理と一緒につけものをよく食べるのかっていうのを 知りたいということでしたのでいくつかね紹介したいと思います。
(00:02:44) ただまぁそうは言ってもあんまり
(00:02:49) これとこれがセットっていう組み合わせって つけものでは多くはないんですけどね。
(00:02:57) リクエストの中でその つけものと料理のセットで例えば
(00:03:03) 寿司とガリとか 牛丼と紅生姜って書いてあったけど
(00:03:09) だいたいそのぐらいです。 俺が他に考えたのって言うと
(00:03:15) カレーと福神漬け 福神漬けっていうのはつけものの一つでいろいろな野菜
(00:03:25) 7つぐらいね野菜が中に入っている漬物です。 日本でカレーを食べるときはこの福神漬けっていう漬物と一緒に食べる人も結構多いです。
(00:03:38) あと必ずセットっていうわけではないけど 定食とかあとは
(00:03:45) カツ丼とかそういう日本のご飯のメニューだと たくあんとかあとはきゅうりの漬物とかを一緒に食べることが多いですね。
(00:03:57) たくあんっていうのは大根の漬物のことです。 あとはおにぎりの中に入れる漬物といえば梅干しっていうのがあります。
(00:04:10) 梅干しは梅っていうあのプラムみたいな 果物っていうのかなあれはまあ果物かな
