ep. 072 - 雑誌(N2)

みなさんこんにちはTOMOです これは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします
テーマはリクエストもできますリクエストがある人はメールとか sns でメッセージをください
今日もリクエストもらってます 今日は雑誌について話してくださいっていうことなので
日本でねあのどんな雑誌を売ってるのかっていうのをちょっと話したいなと思います ただえっとですね俺は普段はあんまりね雑誌は読まないので
あの どんな雑誌が売れてるかっていうのは
俺の意見じゃなくて インターネットで調べたいなと思いますが
どうやって調べるかというと いろいろな本を本屋さんのホームページですね
本を売ってるサイトでどんな本が売れてるのかっていうランキングを見ることができるので それを見ながらまあ日本にはどんな雑誌があるのかっていう話をしたいなと思います
それじゃあですねえっと早速そのランキングで1位になっている雑誌見てみましょう どんな雑誌が一番よく売れてるかっていうと
週刊文春ですね この雑誌
俺も実は読んだこと読んだことないというかちゃんと読んだことはないんですけど どんな雑誌かというといろいろなニュースが載ってますね
ニュースというかまあ今ニュースになっている話題について いろいろ詳しく調べたりしてそれでそれについて記事を書いて載せている
そんな雑誌です この雑誌は結構ねスクープを載せることが多いです
スクープを載せる雑誌っていうので結構有名なところなんですけど スクープっていうのは
みんなが知らなかったこととかを すごくこうよく調べてそれで
あのその雑誌が記事にするっていうそういうことなんですけど 例えば今載っている記事のスクープっていうと
黒川検事長の話があります これちょっとねあの日本の政治とかの話なので
日本語を勉強している人は知らない人も多いかもしれませんが 最近日本で話題になってた
あのニュースなんですけど 黒川検事長っていう
検察の人が悪いことをしてそれで仕事を辞めたっていうそういう話があります 検察っていうのは警察じゃないですよ
検察 まあ簡単に言うと何か悪いことした人法律を破った人が
あの本当にそれをしたのかっていうのを調べてそれで裁判にかける その仕事が検察です
でその検察の中でもすごく偉い人が 悪いことをしてたっていうそういうニュースが最近日本であったんですよ
悪いことっていうのは賭け麻雀 まあ麻雀っていうのは
中国から来たゲームの一つなんですけどお金をかけてそのゲームをやってたって いうことなんですね
日本ではお金をかけて何かゲームするのは法律で禁止されているんです だから
検察っていうのは法律を破った人を調べてそしてあの 裁判にかけるっていうそういう仕事をしているのにその自分が法律を破るなんて
絶対にやってはいけないことなので だからまあその黒川検事長っていうのはもうやめちゃったんですけど
今日本ではねインターネットとかでこの黒川元検事長ですね 元検事長の話題がよく上がってます
でこの週刊 週刊文春ね週刊文春でこの
黒川元検事長のどんなスクープがあるのかっていうと 今ねこのインターネットで見てるんですけど
その文春の記事の一覧の中にスクープで載ってるのは黒川検事長が 賭け麻雀をやってたのは3年前からだって言ってるけど
実はそれは嘘で10年以上前からずっとやってたんだっていうそういう記事です これねいろんな問題があるんですけど
黒川元検事長が仕事を辞めるときにこの人が賭け麻雀やってたのは3年前からで そこまで大きな
事件ではないっていうふうに言われてたんですけどでもこの人が嘘をついていて 実は3年前からじゃなくて10年以上前からやってたっていう
そういう記事ですね これ何がまずいのかっていうと
検事長が賭け麻雀をしたっていうのもまずいですよね でそれが3年前からやってたっていうのもまずい そして3年前から3年前からだから
そんなに悪いことじゃないって言ってこの人そんなね 悪いことしたのにあの
仕事を辞めるだけで済んだんですよ しかも仕事を辞めるときに退職金って言ってお金ももらってるんですよ
なんで悪いことしたのに退職金もらって仕事辞めてるんだって言ってそれでいろんな 人にそれは変だろうって言われてたんですけど
でさらにもう一つ問題が出てきて実はこの人は3年前からじゃな3年前からじゃなくて 10年以上前から何回もその賭け麻雀っていうのをやってた
っていう まあそういう記事ですね
こんな風にこの週刊文春っていうのは 芸能人とか政治家とかそういう有名な人たちが嘘をついている
あとは何か悪いことを隠しているっていうのを探してそして記事にするっていうことが 得意わさです
8ちょっと文章の話長くなっちゃいましたけどまぁこのね週刊文春っていうのが あの今週一番売れた雑誌ランキング1位になっています
でその次2番目に売れたのが何かっていうと nhk のラジオ英会話
の雑誌です あのこれはね日本人て英語の勉強が好きなんですよ
なんでだろうね昔から英語の勉強する人が多いんですけど nhk でラジオの英会話の番組をやってるんですよ
でそのラジオの英会話の英会話って英語の会話の勉強ね この英会話の勉強するときに使うテキストの雑誌
それが第2位になってますね そして第3位がさっきの週刊文春と似てるんですけどやっぱり色々なスクープとかを
なせている週刊現代っていう雑誌で でその次が
売れたのが明星 明星っていうのは日本のアイドルの雑誌ですね
特にジャニーズっていうアイドルなんですけどそのアイドルについていろいろなことを書いて あるのがこの明星っていう雑誌です
でその次第5位に入っているのが週刊新潮っていう雑誌 この週刊新潮も最初のランキング1位だった文春と同じような雑誌です
いろいろなスクープを載せたりとかねしています こうやってみると今ランキングの1から5まで見ましたけど
日本人が好きな雑誌 やっぱりねそのニュースに関わるものをみんなよく見るんだなって思うんですけど
まあその中でも特に スクープが大好きなんだなっていうのがわかりますね
いろいろな有名な人や偉い人が嘘をついている悪いことをしている それについて
嘘を暴く記事ですねそういうのが人気ですね で他にもいろんな雑誌はあるんですが
俺が好きな雑誌っていうと俺はねあんまりこのスクープとかは読まないんですけど あとアイドルの雑誌も読まないんですけど
俺が好きなのはあの物です いろんな
便利なものを紹介したりとか こうお店で売ってるものを実際に使ってみてそしてそれが
あのどうだったか本当にこう CMで言ってる通り便利に使えるのかとか
あとは実際に使ってみたら実はそんなに使いやすくなかったみたいなのを調べて載せ たりとかして
で いろんなものについてこれは絶対買うべきだとか
これそんなに良くないから買わなくても大丈夫だよみたいなことを調べて載せて くれる雑誌
そういうのがね結構好きで あの
買い物をする時とかにね何を買うか迷ったらそういう雑誌を見て調べてます どちらかというと女性向きの雑誌でそういうのもあるんですけど
LDKっていう雑誌なんかはね結構面白いと思います 似ている商品をいろんなものを集めてそしてそれを全部使ってみて
どれが一番いいのかっていうランキングを載せてくれる雑誌なんですけど それでねあのどれを買うか迷ったらこれがいいっていうのがよくわかります
さてそれじゃあですねこんな風に日本でいろんな雑誌を買うことができるんですが あの今ねランキングの1から5までをちょっと紹介しましたがこれを30まで見ていくと
どんな雑誌があるのか 一番多いのはどんな雑誌なのかというとですね
やっぱり30まで見てもそのいろんなスクープを載せる雑誌っていうのが 人気なんだなっていうのがわかります
そして次に人気なのは実は英語の雑誌 ランキングの30位まで見ると英語の雑誌が6つも入ってます
俺もこんなにね英語の雑誌が売れているとは思いませんでした 日本人は英語の勉強が好きなようです
あとはまあちょこちょこ違うファッションの雑誌だったりとか あとはディズニーの雑誌なんてのもありますね
えーと男物の雑誌っていうのはあんまりないのかな 男物、まあ男性向けの雑誌なんですけど
