ep. 072 - 雑誌(N2)

(00:00:00) みなさんこんにちはTOMOです これは日本語を勉強している人のためのポッドキャストです
(00:00:07) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします
(00:00:17) テーマはリクエストもできますリクエストがある人はメールとか sns でメッセージをください
(00:00:24) 今日もリクエストもらってます 今日は雑誌について話してくださいっていうことなので
(00:00:32) 日本でねあのどんな雑誌を売ってるのかっていうのをちょっと話したいなと思います ただえっとですね俺は普段はあんまりね雑誌は読まないので
(00:00:46) あの どんな雑誌が売れてるかっていうのは
(00:00:50) 俺の意見じゃなくて インターネットで調べたいなと思いますが
(00:00:57) どうやって調べるかというと いろいろな本を本屋さんのホームページですね
(00:01:05) 本を売ってるサイトでどんな本が売れてるのかっていうランキングを見ることができるので それを見ながらまあ日本にはどんな雑誌があるのかっていう話をしたいなと思います
(00:01:19) それじゃあですねえっと早速そのランキングで1位になっている雑誌見てみましょう どんな雑誌が一番よく売れてるかっていうと
(00:01:31) 週刊文春ですね この雑誌
(00:01:36) 俺も実は読んだこと読んだことないというかちゃんと読んだことはないんですけど どんな雑誌かというといろいろなニュースが載ってますね
(00:01:48) ニュースというかまあ今ニュースになっている話題について いろいろ詳しく調べたりしてそれでそれについて記事を書いて載せている
(00:01:59) そんな雑誌です この雑誌は結構ねスクープを載せることが多いです
(00:02:06) スクープを載せる雑誌っていうので結構有名なところなんですけど スクープっていうのは
(00:02:12) みんなが知らなかったこととかを すごくこうよく調べてそれで
(00:02:20) あのその雑誌が記事にするっていうそういうことなんですけど 例えば今載っている記事のスクープっていうと
(00:02:30) 黒川検事長の話があります これちょっとねあの日本の政治とかの話なので
(00:02:38) 日本語を勉強している人は知らない人も多いかもしれませんが 最近日本で話題になってた
(00:02:47) あのニュースなんですけど 黒川検事長っていう
(00:02:52) 検察の人が悪いことをしてそれで仕事を辞めたっていうそういう話があります 検察っていうのは警察じゃないですよ
(00:03:03) 検察 まあ簡単に言うと何か悪いことした人法律を破った人が
(00:03:11) あの本当にそれをしたのかっていうのを調べてそれで裁判にかける その仕事が検察です
(00:03:20) でその検察の中でもすごく偉い人が 悪いことをしてたっていうそういうニュースが最近日本であったんですよ
(00:03:31) 悪いことっていうのは賭け麻雀 まあ麻雀っていうのは
(00:03:38) 中国から来たゲームの一つなんですけどお金をかけてそのゲームをやってたって いうことなんですね
(00:03:45) 日本ではお金をかけて何かゲームするのは法律で禁止されているんです だから
(00:03:51) 検察っていうのは法律を破った人を調べてそしてあの 裁判にかけるっていうそういう仕事をしているのにその自分が法律を破るなんて
(00:04:03) 絶対にやってはいけないことなので だからまあその黒川検事長っていうのはもうやめちゃったんですけど
(00:04:12) 今日本ではねインターネットとかでこの黒川元検事長ですね 元検事長の話題がよく上がってます
(00:04:20) でこの週刊 週刊文春ね週刊文春でこの
(00:04:28) 黒川元検事長のどんなスクープがあるのかっていうと 今ねこのインターネットで見てるんですけど
(00:04:36) その文春の記事の一覧の中にスクープで載ってるのは黒川検事長が 賭け麻雀をやってたのは3年前からだって言ってるけど
(00:04:48) 実はそれは嘘で10年以上前からずっとやってたんだっていうそういう記事です これねいろんな問題があるんですけど
(00:04:58) 黒川元検事長が仕事を辞めるときにこの人が賭け麻雀やってたのは3年前からで そこまで大きな
(00:05:09) 事件ではないっていうふうに言われてたんですけどでもこの人が嘘をついていて 実は3年前からじゃなくて10年以上前からやってたっていう
(00:05:22) そういう記事ですね これ何がまずいのかっていうと
(00:05:27) 検事長が賭け麻雀をしたっていうのもまずいですよね でそれが3年前からやってたっていうのもまずい そして3年前から3年前からだから
(00:05:41) そんなに悪いことじゃないって言ってこの人そんなね 悪いことしたのにあの
(00:05:49) 仕事を辞めるだけで済んだんですよ しかも仕事を辞めるときに退職金って言ってお金ももらってるんですよ
(00:05:57) なんで悪いことしたのに退職金もらって仕事辞めてるんだって言ってそれでいろんな 人にそれは変だろうって言われてたんですけど
(00:06:06) でさらにもう一つ問題が出てきて実はこの人は3年前からじゃな3年前からじゃなくて 10年以上前から何回もその賭け麻雀っていうのをやってた
(00:06:18) っていう まあそういう記事ですね
(00:06:22) こんな風にこの週刊文春っていうのは 芸能人とか政治家とかそういう有名な人たちが嘘をついている
(00:06:32) あとは何か悪いことを隠しているっていうのを探してそして記事にするっていうことが 得意わさです
(00:06:42) 8ちょっと文章の話長くなっちゃいましたけどまぁこのね週刊文春っていうのが あの今週一番売れた雑誌ランキング1位になっています
(00:06:52) でその次2番目に売れたのが何かっていうと nhk のラジオ英会話
(00:07:01) の雑誌です あのこれはね日本人て英語の勉強が好きなんですよ
(00:07:08) なんでだろうね昔から英語の勉強する人が多いんですけど nhk でラジオの英会話の番組をやってるんですよ
(00:07:20) でそのラジオの英会話の英会話って英語の会話の勉強ね この英会話の勉強するときに使うテキストの雑誌
(00:07:30) それが第2位になってますね そして第3位がさっきの週刊文春と似てるんですけどやっぱり色々なスクープとかを
(00:07:40) なせている週刊現代っていう雑誌で でその次が
(00:07:46) 売れたのが明星 明星っていうのは日本のアイドルの雑誌ですね
(00:07:55) 特にジャニーズっていうアイドルなんですけどそのアイドルについていろいろなことを書いて あるのがこの明星っていう雑誌です
(00:08:06) でその次第5位に入っているのが週刊新潮っていう雑誌 この週刊新潮も最初のランキング1位だった文春と同じような雑誌です
(00:08:19) いろいろなスクープを載せたりとかねしています こうやってみると今ランキングの1から5まで見ましたけど
(00:08:28) 日本人が好きな雑誌 やっぱりねそのニュースに関わるものをみんなよく見るんだなって思うんですけど
(00:08:36) まあその中でも特に スクープが大好きなんだなっていうのがわかりますね
(00:08:43) いろいろな有名な人や偉い人が嘘をついている悪いことをしている それについて
(00:08:51) 嘘を暴く記事ですねそういうのが人気ですね で他にもいろんな雑誌はあるんですが
(00:09:01) 俺が好きな雑誌っていうと俺はねあんまりこのスクープとかは読まないんですけど あとアイドルの雑誌も読まないんですけど
(00:09:11) 俺が好きなのはあの物です いろんな
(00:09:17) 便利なものを紹介したりとか こうお店で売ってるものを実際に使ってみてそしてそれが
(00:09:28) あのどうだったか本当にこう CMで言ってる通り便利に使えるのかとか
(00:09:35) あとは実際に使ってみたら実はそんなに使いやすくなかったみたいなのを調べて載せ たりとかして
(00:09:43) で いろんなものについてこれは絶対買うべきだとか
(00:09:49) これそんなに良くないから買わなくても大丈夫だよみたいなことを調べて載せて くれる雑誌
(00:09:55) そういうのがね結構好きで あの
(00:09:59) 買い物をする時とかにね何を買うか迷ったらそういう雑誌を見て調べてます どちらかというと女性向きの雑誌でそういうのもあるんですけど
(00:10:11) LDKっていう雑誌なんかはね結構面白いと思います 似ている商品をいろんなものを集めてそしてそれを全部使ってみて
(00:10:21) どれが一番いいのかっていうランキングを載せてくれる雑誌なんですけど それでねあのどれを買うか迷ったらこれがいいっていうのがよくわかります
(00:10:33) さてそれじゃあですねこんな風に日本でいろんな雑誌を買うことができるんですが あの今ねランキングの1から5までをちょっと紹介しましたがこれを30まで見ていくと
(00:10:47) どんな雑誌があるのか 一番多いのはどんな雑誌なのかというとですね
(00:10:53) やっぱり30まで見てもそのいろんなスクープを載せる雑誌っていうのが 人気なんだなっていうのがわかります
(00:11:03) そして次に人気なのは実は英語の雑誌 ランキングの30位まで見ると英語の雑誌が6つも入ってます
(00:11:15) 俺もこんなにね英語の雑誌が売れているとは思いませんでした 日本人は英語の勉強が好きなようです
(00:11:24) あとはまあちょこちょこ違うファッションの雑誌だったりとか あとはディズニーの雑誌なんてのもありますね
(00:11:34) えーと男物の雑誌っていうのはあんまりないのかな 男物、まあ男性向けの雑誌なんですけど
(00:11:42) 男性向けのファッション系の雑誌とかそういうのもね結構ありますが ランキングには入ってないみたいです
(00:11:50) ただねこのランキングには入ってなくても 日本の本屋に行くといろんな雑誌があるので
(00:11:57) 自分の趣味の雑誌とかが見つかるととても面白いと思います 結構ね本屋の雑誌コーナー見てると
(00:12:06) こんな雑誌もあるのかってびっくりすることもあるんですが 最近見てね面白いなって思ったのは日本の刀の雑誌
(00:12:17) 日本で有名な刀がねたくさん載せられてて あのいろんな写真とかそれについての説明とかね
(00:12:26) 刀に興味がない人には全然面白くないと思うんですけど 刀が好きな人にとってはねすごく楽しい雑誌だと思います
(00:12:37) そんな風に自分の趣味に合うものがねあればすごい楽しめますので 皆さんも日本に旅行に来たら本屋の雑誌コーナーをぜひ見てみてください
(00:12:48) いろんな雑誌があるのでね楽しいと思います 雑誌ってあの日本語だけじゃなくて写真もたくさん載ってるから
(00:12:56) 自分の趣味の雑誌だと日本語がそんなにわからなくても写真だけで結構楽しいと思います さあこれが日本の雑誌ですが皆さんの国にはどんな雑誌があるのでしょうか
(00:13:10) もしね皆さんの国で私の国にはこんな面白い雑誌がありますっていうのがあったら ぜひ教えてください
(00:13:19) それじゃあ今日はこの辺で終わりにしたいと思います さようなら
