ep. 073 - JLPT公式問題集1の解説-N3文法問題1(N3)

ん
皆さんこんにちは友です これは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
今日はですね jlpt の問題の解説の続きをしたいと思います 前回は文字声ですね
言葉とか漢字とかの問題の解説でしたが今日は文法の方に行こうと思います ということでですね今日のポッドキャストは聞く前にその jlpt の n 3の公式問題集を解いておいてください
それじゃあさっそくね文法の問題1からいきたいとおもいます じゃあ問題1-1
8これは 答えは2番のようにですね
でこれはようにの文法の意味は 8みんなの日本語とかの本を使っている人はね教科書で勉強していると思います
どうしてそれをするのかっていうその目的ですね でこの人は
どうして頑張るのかっていうとそれは試合に勝てるようにですね 試合に勝ちたいと思っている
でちょっとこの問題で注意するのは一番のためにっていうのもまあ大体同じ意味なんです けど
これはね試験の問題を解くために覚えておいてほしいことなんですが ようにとためにの前の動詞の形を見るとどっちを使うか
だいたいわかります 8これはねようにの前が可能形ですね
することができるっていう意味 可能形になってたらようにを使ってそして可能形じゃない普通の言葉
この一番の問題だったら勝てるじゃなくて勝つだったらためにと言います 勝つためにと勝てるようにですね
はいじゃあ続いて2番 82番は
んとこれは答えはこれも2番だね えっとんでこの4番の問題はそうですっていう言葉の使い方です
そうですっていうのはあのいろんな使い方しますけどここではこれからどうなるか っていう予想ですね
でえっと 買えそうもないっていうのはこれから多分買うことができないだろうと思っている
ことですね でこのそうですっていう言葉の使い方ちょっと注意なんですけど
文法のこういう問題だとそうですの反対 否定するときですねないっていうときはそうもないとか
そうにないと言います 多分できるって思ったらできそう
多分できないと思ったらできそうもないかできそうにないのどっちかです で
あのこういう問題テストの問題の時には多分そうもないとそうにないのどっちかを 使うと思うんですけど
ただ日本人と話をするときはちょっと注意でできそうもないの別の言い方で できなそうっていう言い方があります
できないとそうですを使ってできなそうです あとねこれはあの本当は間違った文法だっていうふうには言われますがでも
できなさそうですっていうふうに差を入れて話す人も時々います まあ教科書にない文法ですけどねでも使う人がいるから覚えておくといいですね
じゃあその次今度は3番 83番今度は
ことの使い方8答えは4番ですね でこれはことの使い方なんですけどことっていうのはそれについての内容とか
あとは関係があることっていう意味ですね だから
例えば仕事のことって言ったら仕事に関係があることっていう意味だし 将来のことって言ったら何か将来について関係がある
そういう話のことですね じゃあその次8今度は
うんと4番 これは会話の時によく使う表現ですね
答えは3番です でこれは小さいつとててっていうのでというのはという意味です
でこれは結構会話の時にもねよく使う言葉で皆さんも覚えておくと あの使う機会がある便利な言葉だと思うんですけど
何かわからないものについて質問するときにこの言葉をよく使います まあ問題だとね誰か知らない人について質問してますが例えば
あの佐藤さんってどんな人ですかとか あとは人じゃなくて言葉わからない言葉についても
あのこれが使えます何か話を聞いて わかんない言葉があったら
それってどんな意味ですかって聞いたり まああの丁寧に話すときはねもちろんこの小さいつとてじゃなくてというのはと言っても
大丈夫なんですけどね だから例えば佐藤さんというのはどんな方ですか
みたいな言い方をしてももちろん大丈夫です ただねというのは
ちょっと長いので会話の時は長い言葉より短い言葉をよく使うのでみんなも日本人 と話すときにはこの言葉を覚えておくといいですね
じゃあその次8今度は5番ですね じゃあ今度5番は答えは
えっとこれいつの使い方なんですが4番のいつかですね でいつかっていうのは
あのいつなのかはわからないけどでもっていう時の言葉 それがいつかです
いつか行きたいって言ったらいつ行くかはわかりませんでも行きたいですね えっと他の言葉いつのまにかっていうのは
8それをしたのがいつかはわからないけどっていう時に使います 例えばいつのまにか雪が降っていたとか
いつのまにか服が汚れていたとか これでいつそれが始まったのかわからないっていう使い方です
じゃあその次ですねえっと今度は6番 これはねなんかの使い方ですね
このなんかの使い方ちょっと難しいとは思うんですけどこの問題のなんかの使い方は たくさんある中の一つをとって例えばこれはどうですか
っていう時の言葉です えっとまぁ例えばなんかの使い方ですけど
えっとそうですね例えば 私は肉料理が好きですっていう話をするときに私は例えばハンバーグなんかの肉料理が好き
ですって言ったりとか えっと肉料理っていろいろありますけど例えばその中の一つっていうのでハンバーグっていう
ときにハンバーグなんかって言ったりします
えっとじゃあその次ですねこの7番 7番はえっとこれは
欲しいの使い方なんですが えっと日本語の欲しいの使い方ってちょっと注意で
自分のこと私は何かが欲しいですっていうことはできるんですけど 他の人は
えっと私じゃない別の人については欲しいっていう言葉を使ってはいけないんです 日本語はそういうルールがあります
これ欲しいだけじゃないんですけど欲しいの他に気持ちの言葉 楽しいとか悲しいとか
そういうのは全部あの自分のことだったら 悲しいとか楽しいって言ってもいいんですけど他の人については言えません
他の人の気持ちを言うときには えっとこの問題の答え
2番ですね がっているの形にしないといけません
でまぁこのがっているっていう言葉の使い方ちょっと注意なんですけど 今だけっていう時にはがっているているの形にしますが今じゃなくっていつも
っていう時にはているの形にしないでがあるの形にします まあ例えば
あの子はいつもお菓子を食べたがるとか 食べたいっていうのも気持ちの言葉なので他の人には使えないんですが
いつもお菓子を食べたいと思っている子供だったらあの子はいつもお菓子を食べ たがると言います
で今だけっていうんだったらあの食べたがっている っているの形にしましょう
じゃあその次今度は8番ですねえっとこれは敬語の問題です これは自分が先生の部屋に行くと言っているので
自分が行きますって言うとき謙譲語を使ってうかがうを使いましょう 答えは3番ですね
んでえっと他のは 124全部これは謙譲語じゃなくて尊敬語の形になっているので全部ダメです
自分が行くんだから自分について話すときは謙譲語を使いましょう
じゃあその次ですね 8
今度はこれはアドバイスをするときの表現です 他の人に何か教えてあげるという時の言い方ですね
じゃあそれは答えどれかって言うと何かをしたらどうでしょうかって言います 答え4番ですね
んであのまあこれは a の人がどこかいいところありませんかって聞いているので 教えてあげるアドバイスをあげるからたらどうでしょうの形です
このアドバイスをするっていう日本語の文法は多分皆さん他にもした方がいいとか しない方がいい方がいいっていうのを勉強したことがあるかもしれませんが
8方がいいっていうアドバイスの使い方はちょっと注意であの 2つのもののうちどちらがいいですかっていうアドバイスだったら方がいいと言ってください
2つっていうのは例えば 8病院の話だったら病院に行くかそれとも行かないか
どっちがいいかっていう時ですね 例えば友達が
あの最近体の調子が悪いって言ったら じゃあ早く病院に行った方がいいよ
今その人は病院に行ってないけどでも早く行った方がいい 行くか行かないかのどっちかだからそういう時には方がいいを使いましょう
ちなみにこの9番の問題の 1と2と3は全部何かをお願いするときですね
させてくださいっていうのもでもいいでしょうか もさせてほしいのですがもう全部自分が何かしたいときのお願いの言い方です
これをしてもいいですかっていう意味ですね
じゃあその次10番 えっと今度は
だけとかほどの使い方ですね えっとこれは
4番のだけでです これはだけと後はでを一緒に使ってますね
だけの意味は他のものはありませんという意味ですね 例えば私のクラスの学生は中国人だけですって言ったら
他の国の人はいませんという意味ですね でえっとこの問題は
このお菓子の作り方についてですがそのお菓子の中に入っているもの 小麦粉と卵と砂糖他のものは入っていませんという意味です
でもう一つ助手の使い方がとでですがここではでですね 何を使うかっていう時の言葉はでです
この何を使うかっていうのは道具の時もそうだし料理の材料の時もそうです 道具っていうのは多分日本語の勉強を始めて結構最初の方に皆さんも習ったと思うん
ですけど 例えばペンで書きますとかハサミで切りますとかね
あとはあの 乗り物とかもそうですね車で行きますとか
で何かを作るときも材料で 材料の話をするときもでを使います
じゃあその次811番今度は うーんとまでの使い方ですね
これは2番でまでには終わるですね まずはまでとまでにの使い方の違いを覚えましょう
までっていうのはずっとっていう意味ですね 例えば
今朝は 8時までずっと寝ていましたって言ったら昨日の夜から8時まで途中で1回も起きません
ずーっと寝ていました そのずっとするっていうのがまでの使い方でまでにの使い方は
それの前にっていうのとちょっとに似てますね 例えば明日の10時までにレポートを出してくださいって言ったらその10時より前に
レポートを出してくださいっていう意味になります まあ正確に言うとあの
10時ちょうどに出してもギリギリ大丈夫なので完全に前にと同じではないんですが まあ意味も使い方もだいたい同じですね
であとはまでにの後ろにはをつけるかもうつけるかの違いですが この場合ははをつけて11時半までには終わる
このまでにはって言ったら 一番遅くても11時半でももしかしたら11時半より前
11時20分とか11時とかに終わると思います でも一番遅くても11時半でそれよりは遅くなりませんっていう
一番遅い時間でも11時半ですっていう時のはの使い方です じゃあその次12番今度は
8 答えは3番ですね
これはまずはならの使い方なんですがもしっていう時のならですね もし9時過ぎるなら9時より遅くなるならですね
8で ようならこれは用をつけてますねこの用っていうのは
8はっきり9時過ぎるってわかんないけどちょっとこう 友達と長く話しちゃってこのままだとあの9時より遅くなるかな
多分そうなるかなって考えた時の用の使い方 で答えがようならですね
8じゃあその次最後13番 今度は8
ちょっと長い言葉ですね いろんな言葉が一緒になってますが答えは一番ですね
ない方が良さそうと言ってます 長いですね
