ep. 073 - JLPT公式問題集1の解説-N3文法問題1(N3)

(00:00:00) ん
(00:00:05) 皆さんこんにちは友です これは日本語を勉強している人のためのポッドキャストです
(00:00:11) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:21) 今日はですね jlpt の問題の解説の続きをしたいと思います 前回は文字声ですね
(00:00:30) 言葉とか漢字とかの問題の解説でしたが今日は文法の方に行こうと思います ということでですね今日のポッドキャストは聞く前にその jlpt の n 3の公式問題集を解いておいてください
(00:00:47) それじゃあさっそくね文法の問題1からいきたいとおもいます じゃあ問題1-1
(00:00:52) 8これは 答えは2番のようにですね
(00:00:58) でこれはようにの文法の意味は 8みんなの日本語とかの本を使っている人はね教科書で勉強していると思います
(00:01:08) どうしてそれをするのかっていうその目的ですね でこの人は
(00:01:14) どうして頑張るのかっていうとそれは試合に勝てるようにですね 試合に勝ちたいと思っている
(00:01:22) でちょっとこの問題で注意するのは一番のためにっていうのもまあ大体同じ意味なんです けど
(00:01:30) これはね試験の問題を解くために覚えておいてほしいことなんですが ようにとためにの前の動詞の形を見るとどっちを使うか
(00:01:43) だいたいわかります 8これはねようにの前が可能形ですね
(00:01:49) することができるっていう意味 可能形になってたらようにを使ってそして可能形じゃない普通の言葉
(00:01:59) この一番の問題だったら勝てるじゃなくて勝つだったらためにと言います 勝つためにと勝てるようにですね
(00:02:10) はいじゃあ続いて2番 82番は
(00:02:14) んとこれは答えはこれも2番だね えっとんでこの4番の問題はそうですっていう言葉の使い方です
(00:02:25) そうですっていうのはあのいろんな使い方しますけどここではこれからどうなるか っていう予想ですね
(00:02:33) でえっと 買えそうもないっていうのはこれから多分買うことができないだろうと思っている
(00:02:42) ことですね でこのそうですっていう言葉の使い方ちょっと注意なんですけど
(00:02:48) 文法のこういう問題だとそうですの反対 否定するときですねないっていうときはそうもないとか
(00:02:58) そうにないと言います 多分できるって思ったらできそう
(00:03:05) 多分できないと思ったらできそうもないかできそうにないのどっちかです で
(00:03:13) あのこういう問題テストの問題の時には多分そうもないとそうにないのどっちかを 使うと思うんですけど
(00:03:21) ただ日本人と話をするときはちょっと注意でできそうもないの別の言い方で できなそうっていう言い方があります
(00:03:31) できないとそうですを使ってできなそうです あとねこれはあの本当は間違った文法だっていうふうには言われますがでも
(00:03:42) できなさそうですっていうふうに差を入れて話す人も時々います まあ教科書にない文法ですけどねでも使う人がいるから覚えておくといいですね
(00:03:54) じゃあその次今度は3番 83番今度は
(00:04:00) ことの使い方8答えは4番ですね でこれはことの使い方なんですけどことっていうのはそれについての内容とか
(00:04:12) あとは関係があることっていう意味ですね だから
(00:04:17) 例えば仕事のことって言ったら仕事に関係があることっていう意味だし 将来のことって言ったら何か将来について関係がある
(00:04:28) そういう話のことですね じゃあその次8今度は
(00:04:34) うんと4番 これは会話の時によく使う表現ですね
(00:04:40) 答えは3番です でこれは小さいつとててっていうのでというのはという意味です
(00:04:50) でこれは結構会話の時にもねよく使う言葉で皆さんも覚えておくと あの使う機会がある便利な言葉だと思うんですけど
(00:05:00) 何かわからないものについて質問するときにこの言葉をよく使います まあ問題だとね誰か知らない人について質問してますが例えば
(00:05:12) あの佐藤さんってどんな人ですかとか あとは人じゃなくて言葉わからない言葉についても
(00:05:21) あのこれが使えます何か話を聞いて わかんない言葉があったら
(00:05:28) それってどんな意味ですかって聞いたり まああの丁寧に話すときはねもちろんこの小さいつとてじゃなくてというのはと言っても
(00:05:37) 大丈夫なんですけどね だから例えば佐藤さんというのはどんな方ですか
(00:05:44) みたいな言い方をしてももちろん大丈夫です ただねというのは
(00:05:49) ちょっと長いので会話の時は長い言葉より短い言葉をよく使うのでみんなも日本人 と話すときにはこの言葉を覚えておくといいですね
(00:06:00) じゃあその次8今度は5番ですね じゃあ今度5番は答えは
(00:06:05) えっとこれいつの使い方なんですが4番のいつかですね でいつかっていうのは
(00:06:13) あのいつなのかはわからないけどでもっていう時の言葉 それがいつかです
(00:06:21) いつか行きたいって言ったらいつ行くかはわかりませんでも行きたいですね えっと他の言葉いつのまにかっていうのは
(00:06:32) 8それをしたのがいつかはわからないけどっていう時に使います 例えばいつのまにか雪が降っていたとか
(00:06:42) いつのまにか服が汚れていたとか これでいつそれが始まったのかわからないっていう使い方です
(00:06:51) じゃあその次ですねえっと今度は6番 これはねなんかの使い方ですね
(00:06:59) このなんかの使い方ちょっと難しいとは思うんですけどこの問題のなんかの使い方は たくさんある中の一つをとって例えばこれはどうですか
(00:07:11) っていう時の言葉です えっとまぁ例えばなんかの使い方ですけど
(00:07:18) えっとそうですね例えば 私は肉料理が好きですっていう話をするときに私は例えばハンバーグなんかの肉料理が好き
(00:07:29) ですって言ったりとか えっと肉料理っていろいろありますけど例えばその中の一つっていうのでハンバーグっていう
(00:07:37) ときにハンバーグなんかって言ったりします
(00:07:42) えっとじゃあその次ですねこの7番 7番はえっとこれは
(00:07:49) 欲しいの使い方なんですが えっと日本語の欲しいの使い方ってちょっと注意で
(00:07:56) 自分のこと私は何かが欲しいですっていうことはできるんですけど 他の人は
(00:08:03) えっと私じゃない別の人については欲しいっていう言葉を使ってはいけないんです 日本語はそういうルールがあります
(00:08:11) これ欲しいだけじゃないんですけど欲しいの他に気持ちの言葉 楽しいとか悲しいとか
(00:08:19) そういうのは全部あの自分のことだったら 悲しいとか楽しいって言ってもいいんですけど他の人については言えません
(00:08:28) 他の人の気持ちを言うときには えっとこの問題の答え
